Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BTC
2019-08-07,ADABTC,4.67e-06,4.68e-06,4.62e-06,4.64e-06,960473.76,4.455
2019-08-06,ADABTC,4.76e-06,4.83e-06,4.51e-06,4.66e-06,20456783.98,95.2
2019-08-05,ADABTC,5.11e-06,5.87e-06,4.76e-06,4.76e-06,37180192.01,184.73
2019-08-04,ADABTC,5.31e-06,5.48e-06,5.09e-06,5.11e-06,9167527.07,48.2
2019-08-03,ADABTC,5.43e-06,5.45e-06,5.28e-06,5.32e-06,6066341.03,32.45
2019-08-02,ADABTC,5.63e-06,5.63e-06,5.37e-06,5.47e-06,10530234.5,57.63
2019-08-01,ADABTC,5.97e-06,5.97e-06,5.58e-06,5.66e-06,7305125.45,42.01
2019-07-31,ADABTC,6.22e-06,6.27e-06,5.9e-06,5.97e-06,7981074.12,48.38
2019-07-30,ADABTC,6.31e-06,6.39e-06,6.22e-06,6.24e-06,3498137.4,22.01
2019-07-29,ADABTC,6.22e-06,6.49e-06,6.12e-06,6.35e-06,6537066.53,41.35
2019-07-28,ADABTC,6.31e-06,6.33e-06,6.13e-06,6.22e-06,4112825.75,25.54
2019-07-27,ADABTC,6.38e-06,6.38e-06,6.1e-06,6.32e-06,7484277.78,46.2
2019-07-26,ADABTC,5.91e-06,6.39e-06,5.86e-06,6.38e-06,11878674.8,73.17
2019-07-25,ADABTC,6.01e-06,6.06e-06,5.84e-06,5.91e-06,5153678.6,30.54
2019-07-24,ADABTC,5.64e-06,6.06e-06,5.59e-06,6.01e-06,14718817.24,86.09
2019-07-23,ADABTC,5.76e-06,5.79e-06,5.57e-06,5.64e-06,8101854.75,45.9
2019-07-22,ADABTC,5.76e-06,5.89e-06,5.71e-06,5.76e-06,9188316.64,53.17
2019-07-21,ADABTC,5.82e-06,5.94e-06,5.74e-06,5.76e-06,4317882.22,25.11
2019-07-20,ADABTC,5.66e-06,6.08e-06,5.66e-06,5.82e-06,12930386.44,75.99
2019-07-19,ADABTC,5.51e-06,5.75e-06,5.43e-06,5.66e-06,11356380.61,62.91
2019-07-18,ADABTC,5.69e-06,5.74e-06,5.68e-06,5.73e-06,181103.14,1.035
2019-07-17,ADABTC,5.48e-06,5.95e-06,5.37e-06,5.69e-06,26666203.43,151.33
2019-07-16,ADABTC,5.44e-06,5.6e-06,5.24e-06,5.48e-06,21387955.31,116.66
2019-07-15,ADABTC,5.81e-06,5.81e-06,5.4e-06,5.44e-06,13999651.43,78.45
2019-07-14,ADABTC,5.88e-06,5.94e-06,5.75e-06,5.81e-06,11498313.21,67.18
2019-07-13,ADABTC,5.91e-06,6.12e-06,5.82e-06,5.88e-06,14181609.82,84.27
2019-07-12,ADABTC,5.75e-06,6.14e-06,5.67e-06,5.91e-06,16267689.83,95.26
2019-07-11,ADABTC,5.92e-06,6.0e-06,5.51e-06,5.75e-06,21934357.65,125.1
2019-07-10,ADABTC,6.21e-06,6.21e-06,5.62e-06,5.92e-06,30856880.26,182.21
2019-07-09,ADABTC,6.53e-06,6.55e-06,6.15e-06,6.21e-06,18726714.84,118.2
2019-07-08,ADABTC,7.02e-06,7.17e-06,6.46e-06,6.53e-06,15372910.75,104.86
2019-07-07,ADABTC,6.89e-06,7.02e-06,6.85e-06,7.02e-06,7399405.16,51.24
2019-07-06,ADABTC,6.96e-06,7.05e-06,6.67e-06,6.89e-06,13872755.37,94.67
2019-07-05,ADABTC,6.93e-06,7.08e-06,6.81e-06,6.96e-06,10038540.14,69.46
