Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2019-08-07 03-AM,XMRUSD,123.48,124.02,123.48,124.02,0.0,0.0
2019-08-07 02-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-07 01-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-07 12-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 11-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 10-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 09-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 08-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 07-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 06-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 05-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 04-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 03-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 02-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 01-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 12-PM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 11-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 10-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 09-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 08-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 07-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 06-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 05-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 04-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
2019-08-06 03-AM,XMRUSD,123.48,123.48,123.48,123.48,0.0,0.0
