Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-06-08 09-AM,BCHUSD,1115.86,1116.3,1111.15,1111.19,73.94,82378.4
2018-06-08 08-AM,BCHUSD,1113.06,1119.79,1110.98,1115.86,266.8,297513.79
2018-06-08 07-AM,BCHUSD,1124.15,1124.15,1111.5,1113.06,167.76,187497.43
2018-06-08 06-AM,BCHUSD,1122.5,1126.76,1121.37,1124.15,134.9,151581.53
2018-06-08 05-AM,BCHUSD,1122.39,1125.45,1121.04,1122.5,46.09,51786.01
2018-06-08 04-AM,BCHUSD,1133.12,1133.12,1119.22,1122.39,630.51,708365.18
2018-06-08 03-AM,BCHUSD,1140.21,1140.55,1131.77,1133.12,146.63,166561.66
2018-06-08 02-AM,BCHUSD,1140.4,1141.72,1136.24,1140.21,132.06,150405.79
2018-06-08 01-AM,BCHUSD,1148.08,1148.83,1137.87,1140.4,300.8,344194.11
2018-06-08 12-AM,BCHUSD,1145.11,1149.76,1143.98,1148.08,73.72,84535.81
2018-06-07 11-PM,BCHUSD,1137.12,1145.79,1133.57,1145.11,183.31,209267.05
2018-06-07 10-PM,BCHUSD,1138.41,1139.26,1133.91,1137.12,125.11,142242.48
2018-06-07 09-PM,BCHUSD,1138.74,1140.16,1132.2,1138.41,129.42,146952.72
2018-06-07 08-PM,BCHUSD,1141.52,1141.7,1131,1138.74,225.3,256195.24
2018-06-07 07-PM,BCHUSD,1140.81,1144.63,1139.15,1141.52,94.9,108303.94
2018-06-07 06-PM,BCHUSD,1141.81,1145.73,1138.43,1140.81,95.93,109497.37
2018-06-07 05-PM,BCHUSD,1149.79,1151.79,1138,1141.81,302.55,346255.78
2018-06-07 04-PM,BCHUSD,1140.61,1151,1138,1149.79,127.57,145816.82
2018-06-07 03-PM,BCHUSD,1136.6,1144.45,1130,1140.61,231.69,263300.31
2018-06-07 02-PM,BCHUSD,1145,1147.16,1131.37,1136.6,437.19,497131.42
2018-06-07 01-PM,BCHUSD,1151.6,1154,1144.16,1145,179.68,206500.88
2018-06-07 12-PM,BCHUSD,1145.73,1156.79,1140.12,1151.6,245.65,282201.84
2018-06-07 11-AM,BCHUSD,1139.54,1148.05,1139.54,1145.73,357.92,409694.55
2018-06-07 10-AM,BCHUSD,1146.56,1147.46,1139.01,1139.54,60.58,69237.4
2018-06-07 09-AM,BCHUSD,1144.75,1147.21,1137.25,1146.56,158.25,180773.18
2018-06-07 08-AM,BCHUSD,1148.22,1156,1144,1144.75,176.87,203231.98
2018-06-07 07-AM,BCHUSD,1145.41,1149.68,1144.05,1148.22,21.74,24937.39
2018-06-07 06-AM,BCHUSD,1153,1154.66,1136.92,1145.41,339.74,388700.3
2018-06-07 05-AM,BCHUSD,1151.95,1158.04,1148.58,1153,322.22,371894.3
2018-06-07 04-AM,BCHUSD,1158.11,1159.84,1148.99,1151.95,119.2,137610.84
2018-06-07 03-AM,BCHUSD,1154.34,1162.79,1154.34,1158.11,122.67,142112.68
