Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume LTC
2019-07-03,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-07-02,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-07-01,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-30,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-29,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-28,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-27,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-26,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-25,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-24,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-23,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-22,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-21,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-20,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-19,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-18,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-17,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-16,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-15,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-14,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-13,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-12,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-11,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-10,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-09,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-08,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-07,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-06,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-05,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-04,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-03,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-02,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-06-01,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-31,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-30,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-29,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-28,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-27,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-26,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-25,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-24,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-23,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-22,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-21,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-20,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-19,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-18,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-17,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-16,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-15,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-14,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-13,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-12,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-11,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-10,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-09,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-08,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-07,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-06,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-05,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-04,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-03,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-02,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-05-01,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-30,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-29,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-28,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-27,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-26,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-25,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-24,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-23,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-22,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-21,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-20,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-19,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-18,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-17,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-16,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-15,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-14,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-13,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-12,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-11,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-10,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-09,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-08,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-07,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-06,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-05,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-04,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-03,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-02,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-04-01,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-31,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-30,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-29,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-28,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-27,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-26,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-25,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-24,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-23,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-22,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-21,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-20,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-19,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-18,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-17,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-16,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-15,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-03-14,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
