Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MUSD
2019-07-03,QTUMUSD,2,2,2,2,0.0,0.0
2019-07-02,QTUMUSD,2,2,2,2,0.0,0.0
2019-07-01,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-30,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-29,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-28,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-27,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-26,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-25,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-24,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-23,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-22,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-21,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-20,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-19,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-18,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-17,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-16,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-15,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-14,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-13,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-12,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-11,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-10,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-09,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-08,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-07,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-06,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-05,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-04,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-03,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-02,QTUMUSD,2,2,2,2,0.0,0.0
2019-06-01,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-31,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-30,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-29,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-28,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-27,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-26,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-25,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-24,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-23,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-22,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-21,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-20,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-19,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-18,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-17,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-16,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-15,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-14,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-13,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-12,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-11,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-10,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-09,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-08,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-07,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-06,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-05,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-04,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-03,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-02,QTUMUSD,2,2,2,2,0.0,0.0
2019-05-01,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-30,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-29,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-28,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-27,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-26,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-25,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-24,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-23,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-22,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-21,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-20,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-19,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-18,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-17,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-16,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-15,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-14,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-13,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-12,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-11,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-10,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-09,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-08,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-07,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-06,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-05,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-04,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-03,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-02,QTUMUSD,2,2,2,2,0.0,0.0
2019-04-01,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-31,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-30,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-29,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-28,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-27,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-26,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-25,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-24,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-23,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-22,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-21,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-20,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-19,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-18,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-17,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-16,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-15,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-14,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-13,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-12,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-11,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-10,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-09,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-08,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-07,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-06,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-05,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-04,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-03,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-02,QTUMUSD,2,2,2,2,0.0,0.0
2019-03-01,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-28,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-27,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-26,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-25,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-24,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-23,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-22,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-21,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-20,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-19,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-18,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-17,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-16,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-15,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-14,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-13,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-12,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-11,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-10,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-09,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-08,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-07,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-06,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-05,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-04,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-03,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-02,QTUMUSD,2,2,2,2,0.0,0.0
2019-02-01,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-31,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-30,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-29,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-28,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-27,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-26,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-25,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-24,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-23,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-22,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-21,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-20,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-19,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-18,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-17,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-16,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-15,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-14,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-13,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-12,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-11,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-10,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-09,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-08,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-07,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-06,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-05,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-04,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-03,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-02,QTUMUSD,2,2,2,2,0.0,0.0
2019-01-01,QTUMUSD,2,2,2,2,0.0,0.0
