Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume AUD
2019-07-03,BTCAUD,15500,16535.46,15475,16074.24,471.1,7553836.59
2019-07-02,BTCAUD,15124.98,15598.99,13660.01,15500,837.45,12127738.25
2019-07-01,BTCAUD,15163.91,15900,14307.51,15124.98,632.15,9601399.08
2019-06-30,BTCAUD,16850.14,17328,15127.75,15163.91,548.6,8853823.84
2019-06-29,BTCAUD,17690.77,17773.07,16330.19,16850.14,395.6,6705374.5
2019-06-28,BTCAUD,15859.55,17777,15312.56,17690.77,593.84,9859759.53
2019-06-27,BTCAUD,18667.98,19162.2,14470.01,15859.55,1457.51,24360054.26
2019-06-26,BTCAUD,16888.88,19711.23,16400,18667.98,1167.81,20976413.7
2019-06-25,BTCAUD,15870,17046.08,15853,16888.88,615.35,10079648.46
2019-06-24,BTCAUD,15619.94,15950,15126.79,15870,315.74,4901818.04
2019-06-23,BTCAUD,15359.73,16187.52,15127.3,15619.94,351.62,5460171.01
2019-06-22,BTCAUD,14762.6,16174.47,14605.01,15359.73,840.4,12991877.27
2019-06-21,BTCAUD,13800,14762.6,13788.89,14762.6,388.19,5511103.08
2019-06-20,BTCAUD,13523.12,13898.78,13350,13800,184.83,2511595.64
2019-06-19,BTCAUD,13209.48,13531.07,13147.1,13523.12,160.44,2137581.37
2019-06-18,BTCAUD,13619.82,13619.82,13020.01,13209.48,216.49,2882974.41
2019-06-17,BTCAUD,12935.37,13750,12935.37,13619.82,202.57,2715398.36
2019-06-16,BTCAUD,12810.95,13562.3,12752.66,12935.37,435.51,5734420.9
2019-06-15,BTCAUD,12652.98,12847.62,12511.71,12810.95,229.72,2916794.98
2019-06-14,BTCAUD,11915.32,12694.98,11898.34,12652.98,184.48,2254982.42
2019-06-13,BTCAUD,11800,12068,11700.79,11915.32,156.23,1850991.15
2019-06-12,BTCAUD,11402.16,11872.22,11275,11800,162.46,1879749.96
2019-06-11,BTCAUD,11550,11610,11180.52,11402.16,202.64,2306456.82
2019-06-10,BTCAUD,10998.54,11751.06,10845.77,11550,234.18,2659412.62
2019-06-09,BTCAUD,11419.71,11423.35,10770.2,10998.54,143.87,1598268.24
2019-06-08,BTCAUD,11503.76,11570.04,11220,11419.71,76.18,869526.96
2019-06-07,BTCAUD,11261.32,11639.88,11164.19,11503.76,174.05,1979990.33
2019-06-06,BTCAUD,11266.69,11406.86,10807.66,11261.32,240.61,2678073.18
2019-06-05,BTCAUD,10970,11406.86,10970,11266.69,240.14,2685662.37
2019-06-04,BTCAUD,11742.8,11742.8,10620.86,10970,671.93,7528757.02
2019-06-03,BTCAUD,12634.98,12634.98,11511.31,11742.8,332.07,4029805.7
2019-06-02,BTCAUD,12398.39,12750,12377.35,12634.98,109.49,1374310.81
2019-06-01,BTCAUD,12417.68,12485.2,12262.02,12398.39,89.73,1110171.02
2019-05-31,BTCAUD,12057.54,12440.44,11766.67,12417.68,298.68,3608701.31
2019-05-30,BTCAUD,12599.13,13110.9,11750,12057.54,581.95,7195553.7
2019-05-29,BTCAUD,12618.83,12694.08,12222.88,12599.13,215.38,2688806.44
2019-05-28,BTCAUD,12740,12777.22,12411.25,12618.83,217.09,2739626.61
2019-05-27,BTCAUD,12609.66,12901.01,12550,12740,335.92,4278013.13
2019-05-26,BTCAUD,11703.17,12685.69,11402.69,12609.66,491.8,5972167.29
