Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HRUR
2018-08-22 11-PM,DASHRUR,9561.49,9561.49,9561.49,9561.49,0.0,0.0
2018-08-22 10-PM,DASHRUR,9561.49,9561.49,9561.49,9561.49,0.0,0.0
2018-08-22 09-PM,DASHRUR,9561.49,9704.66,9561.49,9561.49,0.8561,8186.19
2018-08-22 08-PM,DASHRUR,9675.49,9856.11,9561.49,9561.49,0.3083,2966.75
2018-08-22 07-PM,DASHRUR,9675.49,9860.46,9675.49,9675.49,0.1854,1803.61
2018-08-22 06-PM,DASHRUR,9675.49,9675.49,9675.49,9675.49,1.176e-05,0.1138
2018-08-22 05-PM,DASHRUR,9860.46,9860.46,9675.49,9675.49,0.19,1838.23
2018-08-22 04-PM,DASHRUR,9860.46,9860.46,9860.46,9860.46,0.0,0.0
2018-08-22 03-PM,DASHRUR,9658.13,9860.46,9658.13,9860.46,0.2945,2904.19
2018-08-22 02-PM,DASHRUR,9658.13,9658.13,9658.13,9658.13,0.138,1332.92
2018-08-22 01-PM,DASHRUR,9903.2,9903.2,9655.73,9658.13,0.5013,4841.68
2018-08-22 12-PM,DASHRUR,9742.23,9903.21,9742.23,9903.2,0.6017,5958.74
2018-08-22 11-AM,DASHRUR,9900,9900,9658.17,9742.23,1.15,11415.58
2018-08-22 10-AM,DASHRUR,9900,9900,9900,9900,0.0,0.0
2018-08-22 09-AM,DASHRUR,9900,9900,9900,9900,0.0003354,3.32
2018-08-22 08-AM,DASHRUR,10047.24,10047.24,9900,9900,0.0001028,1.02
2018-08-22 07-AM,DASHRUR,9993,10047.24,9992.9,10047.24,0.9548,9571.42
2018-08-22 06-AM,DASHRUR,9781.66,9993,9781.66,9993,0.009071,90.65
2018-08-22 05-AM,DASHRUR,10000,10000,9779.36,9781.66,0.09714,953.7
2018-08-22 04-AM,DASHRUR,9948.31,10000,9948.31,10000,0.002464,24.64
2018-08-22 03-AM,DASHRUR,9948.31,9948.31,9948.31,9948.31,0.0,0.0
2018-08-22 02-AM,DASHRUR,9808.92,9948.31,9808.92,9948.31,0.1597,1582.44
2018-08-22 01-AM,DASHRUR,9781.66,9808.92,9653,9808.92,0.1408,1379.22
2018-08-22 12-AM,DASHRUR,9781.66,9781.66,9781.66,9781.66,0.0,0.0
2018-08-21 11-PM,DASHRUR,9653,9781.66,9653,9781.66,0.07907,773.48
2018-08-21 10-PM,DASHRUR,9781.65,9781.66,9653,9653,0.1056,1030.32
2018-08-21 09-PM,DASHRUR,9650,9781.66,9650,9781.65,0.08179,800.0
2018-08-21 08-PM,DASHRUR,9781.66,9942.06,9650,9650,0.1377,1344.69
2018-08-21 07-PM,DASHRUR,9780.06,9781.66,9780.06,9781.66,0.08223,804.33
2018-08-21 06-PM,DASHRUR,9781.66,9781.66,9780.06,9780.06,0.1227,1199.87
2018-08-21 05-PM,DASHRUR,9603,9781.66,9603,9781.66,0.08728,853.78
2018-08-21 04-PM,DASHRUR,9601,9603,9601,9603,0.009846,94.55
2018-08-21 03-PM,DASHRUR,9781.66,9781.66,9600.1,9601,0.4038,3902.43
2018-08-21 02-PM,DASHRUR,10052.81,10052.81,9781.66,9781.66,2.17,21521.3
2018-08-21 01-PM,DASHRUR,10052.81,10052.81,10052.81,10052.81,0.0,0.0
2018-08-21 12-PM,DASHRUR,9948,10052.81,9948,10052.81,1.82,18098.45
2018-08-21 11-AM,DASHRUR,10098.04,10098.04,9948,9948,1.09,10822.01
2018-08-21 10-AM,DASHRUR,10098.04,10098.04,10098.04,10098.04,0.0,0.0
2018-08-21 09-AM,DASHRUR,10243.75,10243.75,9948,10098.04,0.1635,1627.58
2018-08-21 08-AM,DASHRUR,9948,10243.75,9948,10243.75,0.3375,3456.96
2018-08-21 07-AM,DASHRUR,10000.1,10000.1,9948,9948,0.4761,4737.09
2018-08-21 06-AM,DASHRUR,10345.52,10345.52,10000.1,10000.1,0.02274,227.43
2018-08-21 05-AM,DASHRUR,10345.52,10345.52,10345.52,10345.52,0.0,0.0
2018-08-21 04-AM,DASHRUR,10357.74,10357.74,10345.52,10345.52,0.02605,269.47
2018-08-21 03-AM,DASHRUR,10047.79,10357.74,10047.79,10357.74,0.01535,159.04
2018-08-21 02-AM,DASHRUR,10047.79,10047.79,10047.79,10047.79,0.0,0.0
2018-08-21 01-AM,DASHRUR,10047.79,10047.79,10047.79,10047.79,0.0,0.0
2018-08-21 12-AM,DASHRUR,10047.79,10047.79,10047.79,10047.79,0.0,0.0
2018-08-20 11-PM,DASHRUR,10047.79,10047.79,10047.79,10047.79,0.1546,1553.37
2018-08-20 10-PM,DASHRUR,10047.79,10047.79,10047.79,10047.79,0.2702,2714.55
2018-08-20 09-PM,DASHRUR,10051.51,10051.51,10047.79,10047.79,0.47,4722.85
2018-08-20 08-PM,DASHRUR,10055.37,10419.09,10051.51,10051.51,0.005262,53.81
2018-08-20 07-PM,DASHRUR,10055.37,10055.37,10055.37,10055.37,0.0,0.0
2018-08-20 06-PM,DASHRUR,10455.77,10455.77,10055.37,10055.37,0.01543,155.14
2018-08-20 05-PM,DASHRUR,10455.77,10455.77,10455.77,10455.77,0.0,0.0
2018-08-20 04-PM,DASHRUR,10200.1,10455.77,10200.1,10455.77,0.1005,1039.67
2018-08-20 03-PM,DASHRUR,10200.1,10200.1,10200.1,10200.1,0.0,0.0
2018-08-20 02-PM,DASHRUR,10200.1,10200.1,10200.1,10200.1,0.02673,272.66
2018-08-20 01-PM,DASHRUR,10200.1,10200.1,10200.1,10200.1,0.121,1234.41
2018-08-20 12-PM,DASHRUR,10200.1,10200.1,10200.1,10200.1,0.0,0.0
2018-08-20 11-AM,DASHRUR,10047.79,10200.1,10047.79,10200.1,0.2696,2741.84
2018-08-20 10-AM,DASHRUR,10249.75,10249.75,10047.79,10047.79,0.3335,3352.94
2018-08-20 09-AM,DASHRUR,10249.75,10249.75,10249.75,10249.75,0.1559,1597.44
2018-08-20 08-AM,DASHRUR,10400.1,10746.49,10249.75,10249.75,0.2703,2862.32
2018-08-20 07-AM,DASHRUR,10442.54,10749.99,10400.1,10400.1,0.0562,584.51
2018-08-20 06-AM,DASHRUR,10445.84,10445.84,10442.54,10442.54,0.001308,13.66
2018-08-20 05-AM,DASHRUR,10445.84,10445.84,10445.84,10445.84,0.0,0.0
2018-08-20 04-AM,DASHRUR,10761.53,10761.53,10445.84,10445.84,0.02116,221.03
2018-08-20 03-AM,DASHRUR,10761.53,10761.53,10761.53,10761.53,0.0,0.0
2018-08-20 02-AM,DASHRUR,10761.53,10761.53,10761.53,10761.53,0.0,0.0
2018-08-20 01-AM,DASHRUR,10761.53,10761.53,10761.53,10761.53,0.0,0.0
2018-08-20 12-AM,DASHRUR,10761.53,10761.53,10761.53,10761.53,0.0,0.0
2018-08-19 11-PM,DASHRUR,10761.53,10761.53,10761.53,10761.53,0.0,0.0
2018-08-19 10-PM,DASHRUR,10425.34,10761.53,10425.34,10761.53,0.08294,892.54
2018-08-19 09-PM,DASHRUR,10613.58,10613.58,10400.1,10425.34,0.248,2612.63
2018-08-19 08-PM,DASHRUR,10609.96,10949.47,10609.96,10613.58,0.01518,161.19
2018-08-19 07-PM,DASHRUR,10606.49,10609.96,10606.49,10609.96,0.002897,30.73
2018-08-19 06-PM,DASHRUR,10758.53,10956.4,10606.49,10606.49,0.3451,3724.12
2018-08-19 05-PM,DASHRUR,10758.53,10758.53,10758.53,10758.53,0.0,0.0
2018-08-19 04-PM,DASHRUR,10770.01,10770.01,10758.53,10758.53,0.02435,262.28
2018-08-19 03-PM,DASHRUR,10906.35,10906.35,10770.01,10770.01,0.02463,265.3
2018-08-19 02-PM,DASHRUR,10318.71,10906.35,10318.71,10906.35,0.3588,3850.48
2018-08-19 01-PM,DASHRUR,10318.71,10318.71,10318.71,10318.71,0.0,0.0
2018-08-19 12-PM,DASHRUR,10629.42,10629.42,10318.71,10318.71,0.02241,231.23
2018-08-19 11-AM,DASHRUR,10632.64,10632.64,10500,10629.42,0.05456,576.42
2018-08-19 10-AM,DASHRUR,10632.64,10632.64,10632.64,10632.64,0.0,0.0
2018-08-19 09-AM,DASHRUR,10636.18,10636.18,10300,10632.64,0.1485,1550.99
2018-08-19 08-AM,DASHRUR,10257.56,10636.18,10257.56,10636.18,0.1182,1257.48
2018-08-19 07-AM,DASHRUR,10182.9,10644.24,10182.9,10257.56,0.6714,6963.09
2018-08-19 06-AM,DASHRUR,10148.27,10182.9,10148.27,10182.9,0.006019,61.29
2018-08-19 05-AM,DASHRUR,10148.27,10148.27,10148.27,10148.27,0.0,0.0
2018-08-19 04-AM,DASHRUR,10423.42,10423.42,10148.27,10148.27,0.01877,190.49
2018-08-19 03-AM,DASHRUR,10423.42,10423.42,10423.42,10423.42,0.0,0.0
2018-08-19 02-AM,DASHRUR,10455.77,10455.77,10423.42,10423.42,0.1251,1304.34
2018-08-19 01-AM,DASHRUR,10455.77,10455.77,10455.77,10455.77,0.0,0.0
2018-08-19 12-AM,DASHRUR,10449.1,10455.77,10449.1,10455.77,0.0384,401.55
2018-08-18 11-PM,DASHRUR,10352.25,10449.1,10352.25,10449.1,0.002451,25.61
2018-08-18 10-PM,DASHRUR,10341.26,10352.25,10092.66,10352.25,0.0005768,5.91
2018-08-18 09-PM,DASHRUR,10341.26,10341.26,10341.26,10341.26,0.0,0.0
2018-08-18 08-PM,DASHRUR,10341.26,10341.26,10341.26,10341.26,0.0,0.0
2018-08-18 07-PM,DASHRUR,9979.73,10341.26,9979.73,10341.26,0.09267,958.3
2018-08-18 06-PM,DASHRUR,9979.73,9979.73,9979.73,9979.73,0.0,0.0
2018-08-18 05-PM,DASHRUR,10600,10665.93,9848.83,9979.73,0.4417,4569.17
2018-08-18 04-PM,DASHRUR,10600,10600,10600,10600,0.02783,295.01
2018-08-18 03-PM,DASHRUR,11205.91,11205.91,10600,10600,0.03617,395.98
2018-08-18 02-PM,DASHRUR,11205.91,11205.91,11205.91,11205.91,0.0,0.0
2018-08-18 01-PM,DASHRUR,11205.91,11205.91,11205.91,11205.91,0.0,0.0
2018-08-18 12-PM,DASHRUR,11205.91,11205.91,11205.91,11205.91,0.0,0.0
2018-08-18 11-AM,DASHRUR,10863.49,11205.91,10863.49,11205.91,3.14,35175.64
2018-08-18 10-AM,DASHRUR,10904.03,10942.84,10863.49,10863.49,1.02,11154.63
2018-08-18 09-AM,DASHRUR,10989.12,10989.12,10904.02,10904.03,0.4232,4614.07
2018-08-18 08-AM,DASHRUR,10989.12,10989.12,10989.12,10989.12,0.0,0.0
2018-08-18 07-AM,DASHRUR,10994.73,10994.73,10989.12,10989.12,0.0001484,1.63
2018-08-18 06-AM,DASHRUR,11300.1,11400.1,10994.73,10994.73,0.5409,5983.66
2018-08-18 05-AM,DASHRUR,11435.33,11435.33,11300.1,11300.1,0.1595,1823.7
2018-08-18 04-AM,DASHRUR,11062.56,11800,11062.56,11435.33,3.43,40205.75
2018-08-18 03-AM,DASHRUR,11057.89,11392.71,11057.89,11062.56,0.1716,1954.58
2018-08-18 02-AM,DASHRUR,11057.89,11057.89,11057.89,11057.89,0.0,0.0
2018-08-18 01-AM,DASHRUR,10907.53,11389.33,10907.53,11057.89,0.002098,23.75
2018-08-18 12-AM,DASHRUR,10907.53,10907.53,10907.53,10907.53,0.0,0.0
2018-08-17 11-PM,DASHRUR,11387.59,11387.59,10907.53,10907.53,0.01169,127.51
2018-08-17 10-PM,DASHRUR,10681.07,11392.71,10681.07,11387.59,0.402,4539.57
2018-08-17 09-PM,DASHRUR,10678.06,10681.07,10678.06,10681.07,0.02236,238.81
2018-08-17 08-PM,DASHRUR,10987.11,10987.11,10678.06,10678.06,0.03389,364.5
2018-08-17 07-PM,DASHRUR,10888.34,10987.11,10888.34,10987.11,0.7278,7924.9
2018-08-17 06-PM,DASHRUR,10888.34,10989.11,10888.34,10888.34,0.1949,2121.9
2018-08-17 05-PM,DASHRUR,10815.41,10989.12,10815.41,10888.34,0.1678,1836.57
2018-08-17 04-PM,DASHRUR,10844.5,10946.54,10815.41,10815.41,0.8262,9029.95
2018-08-17 03-PM,DASHRUR,10600,10844.5,10600,10844.5,0.05088,551.74
