Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume KRW
2019-08-07,ETCKRW,7080,7130,7035,7075,8305.38,58881220.36
2019-08-06,ETCKRW,7400,7440,6960,7080,91306.09,659986563.64
2019-08-05,ETCKRW,7230,7485,7205,7400,65852.39,482858061.45
2019-08-04,ETCKRW,6990,7260,6905,7230,41443.23,294857585.02
2019-08-03,ETCKRW,7060,7100,6965,6990,21713.65,152422216.99
2019-08-02,ETCKRW,7080,7185,6815,7060,56436.73,396593926.41
2019-08-01,ETCKRW,7195,7225,6935,7080,33856.91,238885603.71
2019-07-31,ETCKRW,7060,7265,6960,7195,36883.01,262237438.95
2019-07-30,ETCKRW,7060,7105,6935,7060,17436.54,122560295.14
2019-07-29,ETCKRW,7070,7250,6995,7060,20804.06,147442879.53
2019-07-28,ETCKRW,7140,7210,6725,7070,21243.29,149877122.71
2019-07-27,ETCKRW,7415,7505,6980,7140,45389.61,326233104.26
2019-07-26,ETCKRW,7190,7470,7040,7415,31939.09,231279122.84
2019-07-25,ETCKRW,7280,7445,7130,7190,32448.04,236257139.46
2019-07-24,ETCKRW,7235,7395,6860,7280,66925.97,472133809.68
2019-07-23,ETCKRW,7585,7585,7150,7235,55335.7,404615341.56
2019-07-22,ETCKRW,7440,7740,7430,7585,157763.08,1195070026.36
2019-07-21,ETCKRW,7310,7505,7155,7440,73499.72,541015011.7
2019-07-20,ETCKRW,6990,7480,6980,7310,78010.32,565813126.36
2019-07-19,ETCKRW,7140,7175,6800,6990,83118.64,579994693.95
2019-07-18,ETCKRW,6870,6895,6715,6875,2193.85,14902840.3
2019-07-17,ETCKRW,6470,7120,6290,6870,141572.29,956641183.71
2019-07-16,ETCKRW,7015,7320,6350,6470,196058.97,1323976612.19
2019-07-15,ETCKRW,6850,7085,6240,7015,261576.35,1726605151.15
2019-07-14,ETCKRW,8015,8045,6785,6850,121937.46,884667841.06
2019-07-13,ETCKRW,8170,8175,7795,8015,97449.08,776144334.57
2019-07-12,ETCKRW,8035,8275,7805,8170,49551.02,399100713.79
2019-07-11,ETCKRW,8775,8790,7525,8035,112819.7,901808536.74
2019-07-10,ETCKRW,9380,9430,8310,8775,108417.56,965342173.85
2019-07-09,ETCKRW,9535,9640,9265,9380,63357.62,599365879.11
2019-07-08,ETCKRW,9510,9560,9380,9535,38509.29,364290234.3
2019-07-07,ETCKRW,9445,9550,9345,9510,25522.75,241261175.33
2019-07-06,ETCKRW,9520,9580,9335,9445,29335.55,277189022.52
2019-07-05,ETCKRW,9375,9540,9225,9520,35855.46,335671080.78
2019-07-04,ETCKRW,9500,9840,9275,9375,82266.45,784070018.39
2019-07-03,ETCKRW,9390,9660,9230,9500,61035.51,575341393.22
2019-07-02,ETCKRW,9550,9680,8855,9390,106607.05,988565769.49
2019-07-01,ETCKRW,9715,9890,8955,9550,127485.61,1210251611.71
2019-06-30,ETCKRW,10180,10580,9650,9715,161378.14,1628324897.63
2019-06-29,ETCKRW,10130,10230,9615,10180,153436.32,1519492168.45
2019-06-28,ETCKRW,9625,10290,9500,10130,194912.0,1910488544.92
2019-06-27,ETCKRW,10220,10220,9115,9625,149385.84,1431165377.84
2019-06-26,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-25,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-24,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-23,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-22,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-21,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-20,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-19,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-18,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-17,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-16,ETCKRW,10220,10220,10220,10220,0.0,0.0
2019-06-15,ETCKRW,10360,10390,10050,10220,44093.99,452840085.71
2019-06-14,ETCKRW,10290,10390,9845,10360,113575.45,1154477499.58
2019-06-13,ETCKRW,10440,10500,10190,10290,157626.37,1626232107.93
2019-06-12,ETCKRW,10000,10610,9875,10440,189728.65,1921161355.8
2019-06-11,ETCKRW,10150,10170,9800,10000,164740.03,1637744256.8
2019-06-10,ETCKRW,10060,10270,9775,10150,197820.14,1982803829.75
2019-06-09,ETCKRW,10360,10500,9865,10060,155949.78,1576213324.03
2019-06-08,ETCKRW,10040,10830,9910,10360,374690.87,3902074141.54
2019-06-07,ETCKRW,9670,10210,9475,10040,233144.17,2286084283.68
2019-06-06,ETCKRW,9990,10060,9010,9670,231221.67,2203873054.68
2019-06-05,ETCKRW,10210,10400,9565,9990,415426.83,4157377773.72
2019-06-04,ETCKRW,11490,11540,9500,10210,652759.32,6950403761.96
2019-06-03,ETCKRW,11470,12110,11040,11490,639491.13,7439778170.22
2019-06-02,ETCKRW,10390,11760,10370,11470,677712.74,7580647172.05
2019-06-01,ETCKRW,10440,10760,10180,10390,321597.06,3377602332.71
2019-05-31,ETCKRW,9855,10530,9645,10440,233218.08,2344199627.97
2019-05-30,ETCKRW,9765,10720,9575,9855,709691.28,7245098769.16
2019-05-29,ETCKRW,9765,10140,9155,9765,289714.72,2824840955.19
2019-05-28,ETCKRW,9605,10010,9400,9765,297076.13,2898841408.39
2019-05-27,ETCKRW,9085,9825,9000,9605,213908.41,1990137821.09
2019-05-26,ETCKRW,8665,9180,8395,9085,199112.04,1733354421.15
2019-05-25,ETCKRW,8750,8795,8590,8665,59792.08,519110750.12
2019-05-24,ETCKRW,8535,8890,8345,8750,155989.38,1349850276.55
2019-05-23,ETCKRW,8405,8595,8020,8535,131355.65,1092711645.31
