Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume ELTC
2019-07-03,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-07-02,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-07-01,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-30,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-29,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-28,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-27,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-26,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-25,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-24,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-23,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-22,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-21,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-20,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-19,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-18,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-17,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-16,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-15,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
2019-06-14,DOGELTC,6.773e-05,6.773e-05,6.773e-05,6.773e-05,0.0,0.0
