Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume USD
2018-08-22 11-PM,BTGUSD,14.65,14.65,14.65,14.65,0.0,0.0
2018-08-22 10-PM,BTGUSD,14.65,14.65,14.65,14.65,0.0,0.0
2018-08-22 09-PM,BTGUSD,14.52,14.85,14.51,14.65,5.32,77.27
2018-08-22 08-PM,BTGUSD,14.97,15.03,14.52,14.52,3.11,45.21
2018-08-22 07-PM,BTGUSD,14.79,14.97,14.52,14.97,19.52,287.24
2018-08-22 06-PM,BTGUSD,14.53,14.79,14.52,14.79,5.38,78.19
2018-08-22 05-PM,BTGUSD,15.49,15.49,14.53,14.53,16.48,245.4
2018-08-22 04-PM,BTGUSD,15.49,15.49,15.49,15.49,0.0,0.0
2018-08-22 03-PM,BTGUSD,15.49,15.49,14.55,15.49,23.15,347.45
2018-08-22 02-PM,BTGUSD,15.6,15.6,14.53,15.49,9.89,151.58
2018-08-22 01-PM,BTGUSD,15,15.6,15,15.6,89.27,1381.68
2018-08-22 12-PM,BTGUSD,15.17,15.34,14.52,15,113.37,1695.88
2018-08-22 11-AM,BTGUSD,14.53,15.17,14.53,15.17,23.82,357.4
2018-08-22 10-AM,BTGUSD,14.99,14.99,14.53,14.53,0.1225,1.78
2018-08-22 09-AM,BTGUSD,14.99,14.99,14.99,14.99,2.53,38.0
2018-08-22 08-AM,BTGUSD,15.35,15.35,14.99,14.99,2.59,38.77
2018-08-22 07-AM,BTGUSD,15.54,15.54,14.81,15.35,71.46,1071.53
2018-08-22 06-AM,BTGUSD,15.56,15.56,15.54,15.54,0.5,7.77
2018-08-22 05-AM,BTGUSD,15.56,15.56,15.56,15.56,0.0,0.0
2018-08-22 04-AM,BTGUSD,15.45,15.56,15.45,15.56,0.02712,0.4201
2018-08-22 03-AM,BTGUSD,14.8,15.45,14.8,15.45,0.007118,0.11
2018-08-22 02-AM,BTGUSD,14.8,14.8,14.8,14.8,0.0,0.0
2018-08-22 01-AM,BTGUSD,14.52,14.8,14.52,14.8,2.29,33.89
2018-08-22 12-AM,BTGUSD,14.52,14.52,14.52,14.52,0.8421,12.23
2018-08-21 11-PM,BTGUSD,15,15,14.52,14.52,2.64,38.75
2018-08-21 10-PM,BTGUSD,15.4,15.4,15,15,0.8415,12.62
2018-08-21 09-PM,BTGUSD,15.4,15.4,15.4,15.4,0.007144,0.11
2018-08-21 08-PM,BTGUSD,15,15.4,14.51,15.4,29.38,436.44
2018-08-21 07-PM,BTGUSD,15.48,15.48,15,15,2.11,32.33
2018-08-21 06-PM,BTGUSD,14.8,15.48,14.8,15.48,21.76,336.97
2018-08-21 05-PM,BTGUSD,15.11,15.5,14.8,14.8,30.36,464.96
2018-08-21 04-PM,BTGUSD,15.11,15.11,15.11,15.11,3.53,53.39
2018-08-21 03-PM,BTGUSD,15.21,15.21,15.11,15.11,1.27,19.27
2018-08-21 02-PM,BTGUSD,15.31,15.31,15.21,15.21,1.9,28.9
2018-08-21 01-PM,BTGUSD,15.31,15.31,15.31,15.31,0.0,0.0
2018-08-21 12-PM,BTGUSD,15.31,15.31,15.31,15.31,1.82,27.83
2018-08-21 11-AM,BTGUSD,15.31,15.31,15.31,15.31,1.01,15.42
2018-08-21 10-AM,BTGUSD,15.57,15.57,15.31,15.31,8.28,126.96
2018-08-21 09-AM,BTGUSD,15.57,15.57,15.57,15.57,0.0,0.0
2018-08-21 08-AM,BTGUSD,15.62,15.62,15.57,15.57,1.61,25.14
2018-08-21 07-AM,BTGUSD,15.39,15.62,15.39,15.62,2.58,39.69
2018-08-21 06-AM,BTGUSD,15.33,15.39,15.33,15.39,0.8061,12.37
2018-08-21 05-AM,BTGUSD,15.11,15.33,15.11,15.33,3.4,52.07
2018-08-21 04-AM,BTGUSD,15.11,15.11,15.11,15.11,0.0,0.0
2018-08-21 03-AM,BTGUSD,15.11,15.11,15.11,15.11,0.0,0.0
2018-08-21 02-AM,BTGUSD,15.11,15.11,15.11,15.11,0.0,0.0
2018-08-21 01-AM,BTGUSD,15.11,15.11,15.11,15.11,0.0,0.0
2018-08-21 12-AM,BTGUSD,15.11,15.11,15.11,15.11,0.0,0.0
2018-08-20 11-PM,BTGUSD,15.2,15.2,15.11,15.11,4.38,66.43
2018-08-20 10-PM,BTGUSD,15.19,15.86,15.19,15.2,11.85,186.17
2018-08-20 09-PM,BTGUSD,15.19,15.19,15.19,15.19,0.0,0.0
2018-08-20 08-PM,BTGUSD,15.77,15.86,15.19,15.19,31.88,502.19
2018-08-20 07-PM,BTGUSD,15.79,15.79,15.77,15.77,42.22,665.88
