Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MAI,Volume DETH
2018-06-15,MAIDETH,0.00066,0.000671,0.000647,0.000665,746310.0,491.23
2018-06-14,MAIDETH,0.000632,0.000675,0.00062,0.00066,1665470.0,1079.03
2018-06-13,MAIDETH,0.000651,0.000676,0.000627,0.000632,1373530.0,889.55
2018-06-12,MAIDETH,0.000686,0.000689,0.00064,0.000651,1344450.0,897.89
2018-06-11,MAIDETH,0.000643,0.000686,0.000636,0.000686,1233670.0,808.04
2018-06-10,MAIDETH,0.000716,0.000719,0.000621,0.000643,1497390.0,1029.11
2018-06-09,MAIDETH,0.000742,0.000747,0.000713,0.000716,1013340.0,739.77
2018-06-08,MAIDETH,0.000785,0.000787,0.000741,0.000742,1053900.0,801.23
2018-06-07,MAIDETH,0.000777,0.000789,0.000758,0.000785,1035470.0,799.25
2018-06-06,MAIDETH,0.000815,0.000824,0.000754,0.000777,1225530.0,972.58
2018-06-05,MAIDETH,0.000817,0.000827,0.000771,0.000815,792070.0,629.25
2018-06-04,MAIDETH,0.000802,0.000837,0.000795,0.000817,363260.0,296.79
2018-06-03,MAIDETH,0.000783,0.000817,0.000756,0.000802,255740.0,200.79
2018-06-02,MAIDETH,0.000775,0.000799,0.000753,0.000783,233870.0,180.77
2018-06-01,MAIDETH,0.000784,0.000809,0.000756,0.000775,255350.0,200.22
2018-05-31,MAIDETH,0.000762,0.000816,0.000753,0.000784,249140.0,195.3
2018-05-30,MAIDETH,0.000746,0.000811,0.000738,0.000762,265920.0,205.41
2018-05-29,MAIDETH,0.000783,0.000792,0.000722,0.000746,264880.0,202.32
2018-05-28,MAIDETH,0.000773,0.000857,0.000744,0.000783,314160.0,248.14
2018-05-27,MAIDETH,0.000739,0.000827,0.000722,0.000773,2086740.0,1593.42
2018-05-26,MAIDETH,0.000837,0.000837,0.000736,0.000739,208920.0,157.17
2018-05-25,MAIDETH,0.000689,0.00086,0.000683,0.000837,666130.0,478.73
2018-05-24,MAIDETH,0.000677,0.000731,0.000635,0.000689,2340490.0,1585.92
2018-05-23,MAIDETH,0.000631,0.000677,0.000599,0.000677,2602210.0,1632.11
2018-05-22,MAIDETH,0.000534,0.000648,0.00053,0.000631,1767780.0,1032.44
2018-05-21,MAIDETH,0.000545,0.000552,0.000519,0.000534,1157710.0,618.75
2018-05-20,MAIDETH,0.000503,0.000545,0.000496,0.000545,878540.0,449.23
2018-05-19,MAIDETH,0.000498,0.000514,0.000486,0.000503,789410.0,393.52
2018-05-18,MAIDETH,0.000483,0.000506,0.000468,0.000498,523100.0,255.49
2018-05-17,MAIDETH,0.00047,0.000492,0.00047,0.000483,238430.0,115.55
2018-05-16,MAIDETH,0.000533,0.000533,0.000461,0.00047,345610.0,173.02
2018-05-15,MAIDETH,0.000519,0.000542,0.000519,0.000533,239610.0,126.95
2018-05-14,MAIDETH,0.0005,0.000541,0.0005,0.000519,73930.0,39.07
2018-05-13,MAIDETH,0.000546,0.000546,0.0005,0.0005,4580.0,2.34
2018-05-12,MAIDETH,0.000503,0.000555,0.000503,0.000546,7830.0,4.29
2018-05-11,MAIDETH,0.000494,0.000514,0.000485,0.000503,3320.0,1.65
2018-05-10,MAIDETH,0.000459,0.000537,0.000449,0.000494,11300.0,5.6
2018-05-09,MAIDETH,0.000463,0.000469,0.000455,0.000459,3220.0,1.49
2018-05-08,MAIDETH,0.00047,0.000481,0.000462,0.000463,5240.0,2.48
2018-05-07,MAIDETH,0.000463,0.000493,0.000454,0.00047,5720.0,2.67
2018-05-06,MAIDETH,0.00047,0.00047,0.000456,0.000463,11710.0,5.37
2018-05-05,MAIDETH,0.000489,0.000494,0.000461,0.00047,7160.0,3.36
2018-05-04,MAIDETH,0.000499,0.000503,0.00048,0.000489,32780.0,16.32
2018-05-03,MAIDETH,0.000546,0.000546,0.000496,0.000499,132970.0,68.24
2018-05-02,MAIDETH,0.000574,0.000576,0.000534,0.000546,6650.0,3.62
2018-05-01,MAIDETH,0.000578,0.000589,0.000557,0.000574,17470.0,9.94
2018-04-30,MAIDETH,0.000547,0.000578,0.00053,0.000578,283350.0,153.79
2018-04-29,MAIDETH,0.000549,0.000558,0.000536,0.000547,140380.0,76.76
2018-04-28,MAIDETH,0.000556,0.000561,0.000522,0.000549,118520.0,64.44
2018-04-27,MAIDETH,0.000569,0.000584,0.000553,0.000556,222000.0,126.04
2018-04-26,MAIDETH,0.000582,0.000586,0.000556,0.000569,289670.0,164.26
2018-04-25,MAIDETH,0.000572,0.000596,0.000559,0.000582,214460.0,123.24
2018-04-24,MAIDETH,0.000588,0.000588,0.000558,0.000572,151580.0,86.44
2018-04-23,MAIDETH,0.000596,0.000598,0.000577,0.000588,181440.0,106.45
2018-04-22,MAIDETH,0.000608,0.000619,0.000581,0.000596,308700.0,183.74
2018-04-21,MAIDETH,0.000629,0.000642,0.000597,0.000608,232110.0,142.36
2018-04-20,MAIDETH,0.000642,0.000661,0.000624,0.000629,148440.0,94.82
2018-04-19,MAIDETH,0.000699,0.000699,0.000641,0.000642,24480.0,16.51
2018-04-18,MAIDETH,0.000658,0.000705,0.000658,0.000699,12030.0,8.25
2018-04-17,MAIDETH,0.000647,0.000685,0.000642,0.000658,10490.0,6.92
2018-04-16,MAIDETH,0.000674,0.000683,0.000639,0.000647,107220.0,71.36
2018-04-15,MAIDETH,0.000651,0.00069,0.000643,0.000674,142270.0,93.32
2018-04-14,MAIDETH,0.000664,0.000675,0.000643,0.000651,252110.0,166.65
2018-04-13,MAIDETH,0.000635,0.000679,0.000633,0.000664,254980.0,168.24
2018-04-12,MAIDETH,0.000659,0.00069,0.000635,0.000635,262600.0,172.95
2018-04-11,MAIDETH,0.000679,0.000679,0.000639,0.000659,226860.0,150.22
2018-04-10,MAIDETH,0.000651,0.000738,0.00064,0.000679,340420.0,228.99
2018-04-09,MAIDETH,0.000689,0.000706,0.000637,0.000651,249860.0,165.8
2018-04-08,MAIDETH,0.000676,0.000696,0.000663,0.000689,337790.0,229.27
2018-04-07,MAIDETH,0.000654,0.000682,0.00065,0.000676,340060.0,226.38
2018-04-06,MAIDETH,0.000622,0.00067,0.000619,0.000654,479510.0,308.16
2018-04-05,MAIDETH,0.000648,0.000656,0.000622,0.000622,315060.0,200.95
2018-04-04,MAIDETH,0.00066,0.000671,0.000647,0.000648,275450.0,181.61
2018-04-03,MAIDETH,0.000651,0.000692,0.000651,0.00066,223370.0,149.5
2018-04-02,MAIDETH,0.000617,0.000661,0.000617,0.000651,232510.0,148.61
2018-04-01,MAIDETH,0.000578,0.000619,0.000578,0.000617,106280.0,63.39
2018-03-31,MAIDETH,0.000553,0.000582,0.000542,0.000578,282010.0,160.14
2018-03-30,MAIDETH,0.000606,0.000607,0.000545,0.000553,304760.0,180.4
2018-03-29,MAIDETH,0.000577,0.000612,0.000573,0.000606,354240.0,211.36
2018-03-28,MAIDETH,0.000568,0.000579,0.000551,0.000577,279900.0,157.38
2018-03-27,MAIDETH,0.00054,0.000587,0.000538,0.000568,456240.0,257.74
2018-03-26,MAIDETH,0.000543,0.000563,0.000535,0.00054,258820.0,140.95
2018-03-25,MAIDETH,0.000553,0.00056,0.000511,0.000543,277640.0,149.19
2018-03-24,MAIDETH,0.000568,0.000587,0.000552,0.000553,287350.0,164.75
2018-03-23,MAIDETH,0.000575,0.000584,0.00055,0.000568,267350.0,150.94
2018-03-22,MAIDETH,0.000534,0.000587,0.000525,0.000575,330630.0,182.87
2018-03-21,MAIDETH,0.000602,0.000603,0.000438,0.000534,652490.0,341.03
2018-03-20,MAIDETH,0.00053,0.000609,0.000528,0.000602,311140.0,178.89
2018-03-19,MAIDETH,0.000514,0.000558,0.000506,0.00053,294080.0,156.23
2018-03-18,MAIDETH,0.000493,0.00053,0.000478,0.000514,270660.0,136.07
2018-03-17,MAIDETH,0.000483,0.000504,0.000473,0.000493,303920.0,146.17
2018-03-16,MAIDETH,0.000482,0.000486,0.00046,0.000483,125620.0,59.97
2018-03-15,MAIDETH,0.000475,0.000482,0.000442,0.000482,74690.0,34.3
2018-03-14,MAIDETH,0.000468,0.000481,0.000463,0.000475,6560.0,3.11
2018-03-13,MAIDETH,0.000457,0.000474,0.000441,0.000468,72580.0,33.22
2018-03-12,MAIDETH,0.000452,0.000469,0.000443,0.000457,7510.0,3.43
2018-03-11,MAIDETH,0.000418,0.00046,0.000405,0.000452,61170.0,25.42
2018-03-10,MAIDETH,0.00042,0.000432,0.000415,0.000418,5850.0,2.5
2018-03-09,MAIDETH,0.00042,0.000446,0.00041,0.00042,9330.0,3.98
2018-03-08,MAIDETH,0.000452,0.000456,0.000418,0.00042,12150.0,5.33
2018-03-07,MAIDETH,0.000446,0.000476,0.000427,0.000452,261690.0,119.43
2018-03-06,MAIDETH,0.000464,0.000479,0.000438,0.000446,147180.0,66.42
2018-03-05,MAIDETH,0.00047,0.000491,0.000455,0.000464,162860.0,76.56
2018-03-04,MAIDETH,0.000478,0.000478,0.000445,0.00047,258930.0,118.44
2018-03-03,MAIDETH,0.000469,0.000498,0.000455,0.000478,208680.0,99.32
2018-03-02,MAIDETH,0.000451,0.000479,0.00042,0.000469,217950.0,96.94
2018-03-01,MAIDETH,0.000463,0.000463,0.000413,0.000451,206650.0,89.78
2018-02-28,MAIDETH,0.000405,0.00047,0.000405,0.000463,283850.0,124.47
2018-02-27,MAIDETH,0.000411,0.000416,0.000394,0.000405,173970.0,70.44
2018-02-26,MAIDETH,0.000411,0.000424,0.000394,0.000411,120140.0,49.3
2018-02-25,MAIDETH,0.000425,0.000425,0.000404,0.000411,122500.0,50.86
2018-02-24,MAIDETH,0.000439,0.000459,0.000425,0.000425,94790.0,41.84
2018-02-23,MAIDETH,0.00049,0.000504,0.000434,0.000439,359560.0,172.95
2018-02-22,MAIDETH,0.000504,0.000523,0.000467,0.00049,490900.0,244.58
2018-02-21,MAIDETH,0.000487,0.000545,0.000478,0.000504,435610.0,220.9
