Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PAY,Volume ETH
2019-08-07,PAYETH,0.0005824,0.0005824,0.0005824,0.0005824,0.0,0.0
2019-08-06,PAYETH,0.000595,0.0006423,0.000575,0.0005824,12519.22,7.462
2019-08-05,PAYETH,0.0006941,0.0006941,0.0006941,0.0006941,0.0,0.0
2019-08-04,PAYETH,0.0006725,0.0007123,0.0006333,0.0006941,2865.77,1.944
2019-08-03,PAYETH,0.0007039,0.0007039,0.0007039,0.0007039,0.0,0.0
2019-08-02,PAYETH,0.0007039,0.0007039,0.0007039,0.0007039,0.0,0.0
2019-08-01,PAYETH,0.00072,0.00072,0.0007038,0.0007039,171.69,0.1215
2019-07-31,PAYETH,0.0008699,0.00092,0.00072,0.00072,18458.04,15.36
2019-07-30,PAYETH,0.0006426,0.00085,0.0006426,0.000798,41751.76,32.48
2019-07-29,PAYETH,0.0005888,0.0005888,0.0005888,0.0005888,0.0,0.0
2019-07-28,PAYETH,0.0005888,0.0005888,0.0005888,0.0005888,0.0,0.0
2019-07-27,PAYETH,0.000603,0.000603,0.000563,0.0005888,15154.43,8.809
2019-07-26,PAYETH,0.0006209,0.0006209,0.0006209,0.0006209,0.0,0.0
2019-07-25,PAYETH,0.0006209,0.0006209,0.0006209,0.0006209,0.0,0.0
2019-07-24,PAYETH,0.0006209,0.0006209,0.0006209,0.0006209,0.0,0.0
2019-07-23,PAYETH,0.0006209,0.0006209,0.0006209,0.0006209,0.0,0.0
2019-07-22,PAYETH,0.0005982,0.0006223,0.0005982,0.0006209,1173.75,0.7262
2019-07-21,PAYETH,0.0006017,0.000621,0.0005982,0.0005982,1446.81,0.8805
2019-07-20,PAYETH,0.0006217,0.0006238,0.0005824,0.0006017,5147.79,3.113
2019-07-19,PAYETH,0.000591,0.0006287,0.0005823,0.0006217,46509.52,27.56
2019-07-18,PAYETH,0.0006023,0.0006171,0.0006023,0.0006171,5.357,0.003305
2019-07-17,PAYETH,0.0006052,0.0006555,0.0005767,0.0006023,75452.72,45.17
