Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume SNM,Volume BTC
2019-07-03,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-07-02,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-07-01,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-30,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-29,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-28,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-27,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-26,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-25,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-24,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-23,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-22,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-21,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-20,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-19,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-18,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-17,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-16,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-15,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-14,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-13,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-12,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-11,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-10,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-09,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-08,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-07,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-06,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-05,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-04,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-03,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-02,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
2019-06-01,SNMBTC,8.89e-06,8.89e-06,8.89e-06,8.89e-06,0.0,0.0
