Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZAI,Volume FJPY
2019-07-03,ZAIFJPY,0.2598,0.2637,0.257,0.259,5343793.3,1393230.94
2019-07-02,ZAIFJPY,0.2566,0.262,0.245,0.2598,25218300.2,6381103.55
2019-07-01,ZAIFJPY,0.268,0.2719,0.25,0.2566,34622582.3,8933794.92
2019-06-30,ZAIFJPY,0.2823,0.286,0.268,0.268,19234245.8,5324668.22
2019-06-29,ZAIFJPY,0.2884,0.2884,0.276,0.2823,13073810.6,3660990.59
2019-06-28,ZAIFJPY,0.28,0.29,0.2799,0.2884,15333253.5,4377966.32
2019-06-27,ZAIFJPY,0.3011,0.305,0.268,0.28,55466103.5,15743347.08
2019-06-26,ZAIFJPY,0.3064,0.31,0.291,0.3011,60184222.3,18188646.52
2019-06-25,ZAIFJPY,0.2898,0.3087,0.2877,0.3064,21558749.3,6353250.32
2019-06-24,ZAIFJPY,0.2924,0.2999,0.2861,0.2898,8028791.7,2327973.7
2019-06-23,ZAIFJPY,0.2907,0.298,0.2827,0.2924,15515705.5,4523041.14
2019-06-22,ZAIFJPY,0.28,0.2938,0.273,0.2907,41348556.0,11621873.64
2019-06-21,ZAIFJPY,0.3105,0.3147,0.2699,0.28,89872030.9,25828185.44
2019-06-20,ZAIFJPY,0.3131,0.315,0.2897,0.3105,52785417.0,15722921.55
2019-06-19,ZAIFJPY,0.29,0.32,0.2835,0.3131,22019777.3,6625135.77
2019-06-18,ZAIFJPY,0.2872,0.2968,0.2716,0.29,29955221.2,8554824.62
2019-06-17,ZAIFJPY,0.27,0.2998,0.2625,0.2872,48277284.3,13770213.44
2019-06-16,ZAIFJPY,0.2655,0.2789,0.25,0.27,37089701.5,9760382.98
2019-06-15,ZAIFJPY,0.25,0.2878,0.25,0.2655,36402100.0,9601879.71
2019-06-14,ZAIFJPY,0.2532,0.255,0.246,0.25,17298380.6,4335394.1
2019-06-13,ZAIFJPY,0.2365,0.254,0.2365,0.2532,30379500.0,7444125.87
2019-06-12,ZAIFJPY,0.2512,0.256,0.234,0.2365,42669233.0,10259152.91
2019-06-11,ZAIFJPY,0.2602,0.2615,0.2451,0.2512,18831971.9,4769742.69
2019-06-10,ZAIFJPY,0.252,0.29,0.2375,0.2602,74624991.8,19511029.44
2019-06-09,ZAIFJPY,0.238,0.2539,0.2365,0.252,35687066.4,8757387.64
2019-06-08,ZAIFJPY,0.2458,0.2588,0.23,0.238,44760814.3,10827891.15
2019-06-07,ZAIFJPY,0.2114,0.281,0.2088,0.2458,149635048.4,37547718.96
2019-06-06,ZAIFJPY,0.2099,0.214,0.207,0.2114,10468365.7,2201286.15
2019-06-05,ZAIFJPY,0.208,0.2124,0.2061,0.2099,18145408.8,3782743.75
2019-06-04,ZAIFJPY,0.211,0.2121,0.2065,0.208,17737294.5,3701749.55
2019-06-03,ZAIFJPY,0.217,0.219,0.21,0.211,13038048.5,2794430.23
2019-06-02,ZAIFJPY,0.21,0.218,0.2078,0.217,18776747.5,4013514.39
2019-06-01,ZAIFJPY,0.2133,0.222,0.205,0.21,37114294.8,7906752.5
2019-05-31,ZAIFJPY,0.207,0.2153,0.204,0.2133,25196961.9,5300054.5
2019-05-30,ZAIFJPY,0.2071,0.22,0.205,0.207,23574784.6,4937831.39
2019-05-29,ZAIFJPY,0.2072,0.209,0.206,0.2071,13030568.2,2701226.18
2019-05-28,ZAIFJPY,0.2098,0.2138,0.205,0.2072,14644452.8,3062211.65
2019-05-27,ZAIFJPY,0.2129,0.2148,0.2054,0.2098,19538267.8,4113559.92
2019-05-26,ZAIFJPY,0.2033,0.213,0.2024,0.2129,9827851.8,2048046.35
2019-05-25,ZAIFJPY,0.2067,0.2085,0.2001,0.2033,13282794.5,2724458.15
2019-05-24,ZAIFJPY,0.205,0.2084,0.2033,0.2067,11895536.4,2458774.73
2019-05-23,ZAIFJPY,0.2016,0.205,0.198,0.205,11531407.6,2318489.66
2019-05-22,ZAIFJPY,0.2098,0.2102,0.2013,0.2016,15612441.9,3224873.33
2019-05-21,ZAIFJPY,0.207,0.2101,0.206,0.2098,8878936.8,1855481.55
2019-05-20,ZAIFJPY,0.2135,0.2145,0.2007,0.207,11590341.6,2400763.02
2019-05-19,ZAIFJPY,0.2055,0.2149,0.202,0.2135,18293109.4,3780891.7
2019-05-18,ZAIFJPY,0.2098,0.2104,0.2,0.2055,12602101.9,2566635.55
2019-05-17,ZAIFJPY,0.2119,0.213,0.1973,0.2098,25436523.4,5170544.21
2019-05-16,ZAIFJPY,0.215,0.229,0.2049,0.2119,54276921.9,11606146.37
2019-05-15,ZAIFJPY,0.2049,0.2302,0.2038,0.215,50308259.6,10666618.72
2019-05-14,ZAIFJPY,0.2005,0.2116,0.2003,0.2049,26564667.3,5452345.58
2019-05-13,ZAIFJPY,0.199,0.203,0.1981,0.2005,13499728.6,2707623.99
2019-05-12,ZAIFJPY,0.2051,0.2051,0.198,0.199,17431849.7,3512624.33
2019-05-11,ZAIFJPY,0.2031,0.214,0.196,0.2051,47279698.6,9545759.04
2019-05-10,ZAIFJPY,0.1955,0.2049,0.1955,0.2031,18895400.2,3764247.25
