Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume SNT,Volume ETH
2019-07-03,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-07-02,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-07-01,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-30,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-29,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-28,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-27,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-26,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-25,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-24,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-23,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-22,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-21,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-20,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-19,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-18,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-17,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-16,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-15,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-14,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-13,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-12,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-11,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-10,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-09,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-08,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-07,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-06,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
2019-06-05,SNTETH,0.0001772,0.0001772,0.0001772,0.0001772,0.0,0.0
