Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT
2019-08-07,LTCUSDT,92.99,93.41,92.26,93.05,18551.87,1724306.16
2019-08-06,LTCUSDT,96.56,99.32,91,92.99,356152.03,33900963.94
2019-08-05,LTCUSDT,92.64,106.77,92.64,96.56,669121.2,66156358.8
2019-08-04,LTCUSDT,94.17,94.8,90.11,92.64,201002.19,18576479.44
2019-08-03,LTCUSDT,94.76,96.7,93.51,94.17,181620.32,17281875.73
2019-08-02,LTCUSDT,98.64,98.77,92.52,94.76,273741.3,26261915.54
2019-08-01,LTCUSDT,98.76,100.59,95.23,98.64,246741.88,24163102.28
2019-07-31,LTCUSDT,90.15,99.95,89.81,98.76,270919.89,25888139.19
2019-07-30,LTCUSDT,90.33,92.71,88.5,90.15,162084.86,14658208.22
2019-07-29,LTCUSDT,90,92.26,87.48,90.33,227222.51,20493604.47
2019-07-28,LTCUSDT,88.79,90.9,83.13,90,188288.43,16603788.81
2019-07-27,LTCUSDT,94.06,96.09,86.67,88.79,204534.83,18524953.88
2019-07-26,LTCUSDT,93.22,94.52,89.83,94.06,128320.7,11865994.56
2019-07-25,LTCUSDT,94.5,96.67,91.06,93.22,219661.71,20701862.41
2019-07-24,LTCUSDT,90.15,97.45,86.8,94.5,340266.53,31210688.2
2019-07-23,LTCUSDT,95.31,95.35,88.62,90.15,255908.14,23398495.33
2019-07-22,LTCUSDT,99.7,100.91,91.14,95.31,301079.8,28715000.68
2019-07-21,LTCUSDT,100.25,101.41,96.4,99.7,237833.6,23463513.52
2019-07-20,LTCUSDT,98.23,105.88,97.42,100.25,337421.19,34091609.67
2019-07-19,LTCUSDT,101.16,101.26,94.73,98.23,350118.34,34175607.89
2019-07-18,LTCUSDT,89.95,90.44,86.87,89.09,35171.82,3104344.39
2019-07-17,LTCUSDT,79.61,94.65,71,89.95,582112.07,50578249.56
2019-07-16,LTCUSDT,90.43,91.9,76.6,79.61,460482.59,38288091.02
2019-07-15,LTCUSDT,89.66,92.99,84.6,90.43,369172.79,32869332.24
2019-07-14,LTCUSDT,101.03,101.9,87.58,89.66,403388.72,37478831.09
2019-07-13,LTCUSDT,104.86,105.03,97.64,101.03,222722.33,22594532.37
2019-07-12,LTCUSDT,102.98,107.02,100.65,104.86,198512.93,20709496.17
2019-07-11,LTCUSDT,108.31,108.33,95.21,102.98,537780.87,54642647.65
2019-07-10,LTCUSDT,119.24,120.13,102.5,108.31,472054.96,51905195.72
2019-07-09,LTCUSDT,122.92,124.08,117.64,119.24,222947.95,26891986.93
2019-07-08,LTCUSDT,119.48,125.07,117.77,122.92,209879.55,25208763.63
2019-07-07,LTCUSDT,118.31,120.35,117,119.48,137864.78,16349812.06
2019-07-06,LTCUSDT,118.35,121.8,117.06,118.31,148220.23,17657169.24
2019-07-05,LTCUSDT,119.61,120.99,116.22,118.35,215650.32,25630026.83
2019-07-04,LTCUSDT,121.36,127.03,118.51,119.61,357102.83,43729065.15
2019-07-03,LTCUSDT,118.77,123.15,116.78,121.36,352214.38,42268427.81
2019-07-02,LTCUSDT,123.17,124,112.63,118.77,449632.37,52719298.59
2019-07-01,LTCUSDT,123.25,127.03,113.82,123.17,582848.21,70505498.22
2019-06-30,LTCUSDT,133.86,137.44,120.54,123.25,765492.01,99871807.4
2019-06-29,LTCUSDT,120.01,137,116,133.86,617331.19,78653350.85
2019-06-28,LTCUSDT,116.01,122.19,114.49,120.01,441066.23,52204244.98
2019-06-27,LTCUSDT,132.25,133.5,111.82,116.01,880779.17,105461673.09
2019-06-26,LTCUSDT,136.33,138.5,127.5,132.25,629352.42,84976316.38
2019-06-25,LTCUSDT,135.77,138.63,129.75,136.33,327942.05,44157812.01
2019-06-24,LTCUSDT,137.5,137.52,132.65,135.77,258596.21,34969926.9
2019-06-23,LTCUSDT,142.26,143.34,136.15,137.5,263528.86,36988978.1
2019-06-22,LTCUSDT,138.28,145.9,136.01,142.26,639352.08,90336908.73
2019-06-21,LTCUSDT,135.46,141.29,131,138.28,375574.32,51637275.1
2019-06-20,LTCUSDT,136.43,136.75,133,135.46,226850.96,30603464.78
2019-06-19,LTCUSDT,135.22,139.5,133.5,136.43,355856.2,48749992.34
2019-06-18,LTCUSDT,133.8,136.84,128,135.22,383578.13,50981766.26
2019-06-17,LTCUSDT,136.45,136.82,131.53,133.8,291121.6,39110384.57
2019-06-16,LTCUSDT,137.54,138.2,133.15,136.45,376799.6,51131358.6
2019-06-15,LTCUSDT,132,139.5,132,137.54,373143.02,50640929.67
2019-06-14,LTCUSDT,130.55,133.03,125.22,132,440196.86,57021252.4
2019-06-13,LTCUSDT,135.32,136.52,127.92,130.55,454267.63,60411885.67
2019-06-12,LTCUSDT,135.69,143.19,129.86,135.32,956734.71,131533302.37
2019-06-11,LTCUSDT,129.15,138.56,124.85,135.69,799044.28,104404632.41
2019-06-10,LTCUSDT,114.66,130.12,112.54,129.15,745348.84,91954336.32
2019-06-09,LTCUSDT,118.01,118.94,111.02,114.66,406002.53,46769068.58
2019-06-08,LTCUSDT,116.71,119.7,113.5,118.01,436290.37,50746744.97
2019-06-07,LTCUSDT,111.19,121,109.53,116.71,586160.38,67659595.44
2019-06-06,LTCUSDT,103.66,112.07,101,111.19,466044.8,49057396.04
2019-06-05,LTCUSDT,102.2,105.21,100.11,103.66,366662.43,37664431.9
2019-06-04,LTCUSDT,105.99,106.8,98.13,102.2,644335.58,66269633.89
