Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume RUR
2019-07-03,BCHRUR,26500,26500,25297.15,25303.22,0.005,126.49
2019-07-02,BCHRUR,26198.86,26500,23000,26500,0.5322,13062.57
2019-07-01,BCHRUR,26000.03,27498,22841.82,26198.86,0.6477,15812.08
2019-06-30,BCHRUR,27500,27875.47,24854.65,26000.03,1.197,31077.88
2019-06-29,BCHRUR,25790.75,28613.86,16000,27500,0.6885,16743.5
2019-06-28,BCHRUR,24100,27900.63,24100,25790.75,0.3267,8874.28
2019-06-27,BCHRUR,26750,29945.37,24000,24100,4.091,100992.51
2019-06-26,BCHRUR,29500,32000,26750,26750,1.977,58615.33
2019-06-25,BCHRUR,28500,29500,26631.03,29500,3.066,86338.44
2019-06-24,BCHRUR,26625.1,29500,19980,28500,3.556,92133.16
2019-06-23,BCHRUR,27999.07,28996.52,25975.03,26625.1,1.404,39919.65
2019-06-22,BCHRUR,26930,28500,24957.11,27999.07,2.101,57147.71
2019-06-21,BCHRUR,25694.18,27000,24911.13,25331.17,0.4767,12087.46
2019-06-20,BCHRUR,26278.5,26278.5,25000,25694.18,0.1367,3484.27
2019-06-19,BCHRUR,25346.34,26530.92,22577.4,26278.5,3.862,100480.49
2019-06-18,BCHRUR,27225.06,27225.06,25258.59,25346.34,0.9157,24019.5
2019-06-17,BCHRUR,26396.76,27225.06,25004.33,27225.06,1.142,30663.98
2019-06-16,BCHRUR,26196.86,27495.36,25075.9,26396.76,0.4116,10996.06
2019-06-15,BCHRUR,25777.67,26823.2,25101,26196.86,1.989,51826.03
2019-06-14,BCHRUR,26331.76,26783.23,25172,25777.67,1.002,25689.78
2019-06-13,BCHRUR,25555.87,27022.22,24641.87,26331.76,4.303,112122.54
2019-06-12,BCHRUR,25440.52,27495.36,25125.06,25555.87,1.15,29666.45
2019-06-11,BCHRUR,25219.33,25539.93,24583.37,25440.52,1.692,42742.71
2019-06-10,BCHRUR,25250.4,25844.11,25000.73,25219.33,1.261,31980.57
2019-06-09,BCHRUR,25960.16,26309.58,25204.78,25250.4,0.477,12163.52
2019-06-08,BCHRUR,26518.51,26518.51,25558.75,25960.16,0.3939,10208.46
2019-06-07,BCHRUR,25849.33,28000,25685.09,26518.51,1.88,49077.53
2019-06-06,BCHRUR,25822.64,25987.07,24631.03,25849.33,0.9076,23123.94
2019-06-05,BCHRUR,24800,26867.31,24800,25822.64,1.18,30487.16
2019-06-04,BCHRUR,26714.11,26714.11,24500,24800,2.39,62447.61
2019-06-03,BCHRUR,28229.12,28587.64,26643.13,26714.11,2.56,71213.11
