Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume USD
2019-07-03,TRXUSD,0.03448,0.03448,0.03263,0.03379,5330.89,178.35
2019-07-02,TRXUSD,0.03331,0.03451,0.031,0.03448,111702.19,3635.08
2019-07-01,TRXUSD,0.03399,0.03578,0.032,0.03331,77781.76,2610.1
2019-06-30,TRXUSD,0.03588,0.0365,0.03399,0.03399,32880.5,1161.2
2019-06-29,TRXUSD,0.0348,0.0375,0.0331,0.03588,112482.3,3962.23
2019-06-28,TRXUSD,0.0327,0.03581,0.03234,0.0348,85837.38,2932.53
2019-06-27,TRXUSD,0.03893,0.03966,0.03234,0.0327,257638.33,8868.64
2019-06-26,TRXUSD,0.03832,0.04121,0.03638,0.03893,218908.13,8709.01
2019-06-25,TRXUSD,0.03786,0.04047,0.03786,0.0392,93209.73,3679.89
2019-06-24,TRXUSD,0.038,0.03959,0.0362,0.03808,108246.53,4172.18
2019-06-23,TRXUSD,0.03736,0.03861,0.03658,0.038,125186.27,4703.79
2019-06-22,TRXUSD,0.03321,0.038,0.0331,0.03736,293944.47,10688.83
2019-06-21,TRXUSD,0.03366,0.03428,0.0332,0.03321,70647.4,2387.13
2019-06-20,TRXUSD,0.03384,0.03435,0.0331,0.03366,76013.62,2577.19
2019-06-19,TRXUSD,0.03318,0.0344,0.03318,0.03384,25483.74,859.0
2019-06-18,TRXUSD,0.03395,0.03395,0.03304,0.03318,46188.59,1551.12
2019-06-17,TRXUSD,0.03368,0.03395,0.03298,0.03395,24446.84,815.8
2019-06-16,TRXUSD,0.0334,0.03449,0.03312,0.03368,58328.24,1965.08
2019-06-15,TRXUSD,0.0331,0.0345,0.0331,0.0334,18544.56,624.41
2019-06-14,TRXUSD,0.03391,0.03415,0.0326,0.0331,49157.43,1641.39
2019-06-13,TRXUSD,0.03462,0.035,0.03371,0.03391,104010.9,3578.81
2019-06-12,TRXUSD,0.03263,0.035,0.0325,0.03462,91174.66,3097.72
2019-06-11,TRXUSD,0.03232,0.0331,0.03172,0.03263,61147.31,1983.08
2019-06-10,TRXUSD,0.03117,0.03313,0.031,0.03232,92255.58,2960.98
2019-06-09,TRXUSD,0.0334,0.03394,0.031,0.03117,74208.63,2359.15
2019-06-08,TRXUSD,0.03463,0.0349,0.03339,0.0334,31699.29,1080.31
2019-06-07,TRXUSD,0.03339,0.03535,0.03289,0.03463,33149.47,1138.38
2019-06-06,TRXUSD,0.03513,0.03531,0.03235,0.03339,50313.34,1701.43
2019-06-05,TRXUSD,0.036,0.03699,0.03441,0.03513,98584.8,3512.42
2019-06-04,TRXUSD,0.035,0.038,0.03338,0.036,186661.19,6653.92
2019-06-03,TRXUSD,0.03999,0.04,0.035,0.035,175380.01,6701.94
2019-06-02,TRXUSD,0.03797,0.04081,0.03746,0.03999,203082.18,7952.65
2019-06-01,TRXUSD,0.03342,0.0392,0.03316,0.03797,191652.43,7125.34
2019-05-31,TRXUSD,0.03213,0.0335,0.03149,0.03342,116382.22,3786.42
2019-05-30,TRXUSD,0.03441,0.03579,0.03149,0.03213,145429.53,4964.05
2019-05-29,TRXUSD,0.03402,0.03491,0.03264,0.03441,89164.61,3026.67
2019-05-28,TRXUSD,0.0346,0.03574,0.0322,0.03402,139149.74,4720.73
2019-05-27,TRXUSD,0.0309,0.03505,0.03028,0.0346,430785.38,14240.55
2019-05-26,TRXUSD,0.02785,0.03106,0.02741,0.0309,178835.87,5204.34
2019-05-25,TRXUSD,0.02751,0.02841,0.02741,0.02785,103037.05,2843.13
2019-05-24,TRXUSD,0.02757,0.02849,0.02701,0.02751,103194.95,2924.69
2019-05-23,TRXUSD,0.02682,0.02757,0.0261,0.02757,35496.24,946.76
2019-05-22,TRXUSD,0.0293,0.02949,0.02675,0.02682,97844.74,2737.1
2019-05-21,TRXUSD,0.0276,0.02949,0.0276,0.0293,51610.63,1465.4
2019-05-20,TRXUSD,0.02889,0.02889,0.02675,0.0276,17904.01,490.33
2019-05-19,TRXUSD,0.02726,0.02899,0.02627,0.02889,39651.62,1116.64
2019-05-18,TRXUSD,0.02733,0.02799,0.026,0.02726,38155.2,1045.15
2019-05-17,TRXUSD,0.0285,0.029,0.02537,0.02733,166770.97,4403.8
2019-05-16,TRXUSD,0.03053,0.033,0.0276,0.0285,385408.53,11632.01
2019-05-15,TRXUSD,0.027,0.03192,0.02631,0.03053,452368.96,13409.96
2019-05-14,TRXUSD,0.02478,0.0275,0.0242,0.027,166708.21,4409.42
2019-05-13,TRXUSD,0.02452,0.02556,0.0242,0.02478,75869.23,1896.22
2019-05-12,TRXUSD,0.02473,0.02586,0.0238,0.02452,75010.08,1846.57
2019-05-11,TRXUSD,0.02399,0.0258,0.02309,0.02473,159997.64,4046.77
2019-05-10,TRXUSD,0.02378,0.024,0.0224,0.02399,85811.88,1989.46
2019-05-09,TRXUSD,0.0254,0.0254,0.0233,0.02378,100057.88,2422.02
2019-05-08,TRXUSD,0.02404,0.02542,0.02395,0.0254,122212.24,3021.18
2019-05-07,TRXUSD,0.02459,0.02488,0.02425,0.02488,17538.66,426.56
2019-05-06,TRXUSD,0.0237,0.0246,0.0236,0.02459,51428.23,1230.81
2019-05-05,TRXUSD,0.02372,0.02415,0.0235,0.0237,41938.1,997.93
2019-05-04,TRXUSD,0.02401,0.02486,0.0235,0.02372,114282.92,2746.86
2019-05-03,TRXUSD,0.02438,0.02438,0.02388,0.02401,56540.27,1356.68
2019-05-02,TRXUSD,0.02432,0.0248,0.02399,0.02438,41377.32,1008.1
2019-05-01,TRXUSD,0.025,0.02503,0.024,0.02432,25154.64,619.57
2019-04-30,TRXUSD,0.02386,0.02542,0.02386,0.025,38465.62,945.82
2019-04-29,TRXUSD,0.02544,0.02544,0.02369,0.02386,30744.08,740.31
2019-04-28,TRXUSD,0.02475,0.02564,0.02474,0.02549,12427.55,309.65
2019-04-27,TRXUSD,0.025,0.02566,0.02474,0.02475,1011.98,25.13
2019-04-26,TRXUSD,0.02498,0.02655,0.0242,0.025,37145.58,922.14
2019-04-25,TRXUSD,0.025,0.0265,0.0242,0.02498,78164.44,1960.01
2019-04-24,TRXUSD,0.02668,0.02668,0.0242,0.025,137256.65,3457.92
2019-04-23,TRXUSD,0.02622,0.02718,0.02595,0.02668,77963.23,2066.99
2019-04-22,TRXUSD,0.02641,0.027,0.02568,0.02622,15015.59,396.34
2019-04-21,TRXUSD,0.02743,0.02743,0.0251,0.02641,118779.37,3093.26
2019-04-20,TRXUSD,0.02769,0.02769,0.02692,0.02743,83125.32,2270.74
2019-04-19,TRXUSD,0.02814,0.02814,0.02715,0.02769,108010.4,2989.55
2019-04-18,TRXUSD,0.02826,0.02826,0.02761,0.02814,33621.39,940.87
2019-04-17,TRXUSD,0.028,0.0285,0.0273,0.02826,100999.27,2794.05
2019-04-16,TRXUSD,0.02802,0.02857,0.02731,0.028,50414.66,1417.26
2019-04-15,TRXUSD,0.02782,0.0288,0.0273,0.02802,125603.12,3510.87
2019-04-14,TRXUSD,0.0273,0.02782,0.0273,0.02782,9805.69,270.13
2019-04-13,TRXUSD,0.0276,0.02823,0.0273,0.0273,31130.09,866.72
2019-04-12,TRXUSD,0.02801,0.02813,0.02703,0.0276,87003.38,2404.16
2019-04-11,TRXUSD,0.03105,0.03105,0.02701,0.02801,261726.14,7487.09
2019-04-10,TRXUSD,0.0313,0.032,0.03052,0.03105,128550.37,4065.71
2019-04-09,TRXUSD,0.03115,0.032,0.02925,0.0313,57561.42,1775.47
2019-04-08,TRXUSD,0.02999,0.03199,0.029,0.03115,9383.34,291.87
2019-04-07,TRXUSD,0.02787,0.02999,0.02748,0.02999,36406.77,1068.16
2019-04-06,TRXUSD,0.02785,0.02881,0.02748,0.02787,14625.67,405.09
2019-04-05,TRXUSD,0.026,0.02884,0.026,0.02785,4283.27,118.52
2019-04-04,TRXUSD,0.027,0.02731,0.02512,0.026,26271.56,692.86
2019-04-03,TRXUSD,0.0273,0.02986,0.027,0.027,23553.8,679.95
2019-04-02,TRXUSD,0.0246,0.0273,0.0246,0.0273,30839.7,816.8
2019-04-01,TRXUSD,0.02388,0.02535,0.0238,0.0246,6872.35,168.57
2019-03-31,TRXUSD,0.0236,0.0243,0.0236,0.02388,5152.74,122.96
2019-03-30,TRXUSD,0.0241,0.0241,0.0236,0.0236,10018.2,238.4
