Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume USD
2018-08-20 05-AM,XVGUSD,0.01457,0.01457,0.01457,0.01457,0.0,0.0
2018-08-20 04-AM,XVGUSD,0.01457,0.01457,0.01457,0.01457,0.0,0.0
2018-08-20 03-AM,XVGUSD,0.01457,0.01457,0.01457,0.01457,0.0,0.0
2018-08-20 02-AM,XVGUSD,0.01457,0.01457,0.01457,0.01457,0.0,0.0
2018-08-20 01-AM,XVGUSD,0.01498,0.01498,0.01457,0.01457,21.63,0.3193
2018-08-20 12-AM,XVGUSD,0.01498,0.01498,0.01498,0.01498,0.0,0.0
2018-08-19 11-PM,XVGUSD,0.01498,0.01498,0.01498,0.01498,0.0,0.0
2018-08-19 10-PM,XVGUSD,0.01499,0.01499,0.01456,0.01498,1350.12,19.94
2018-08-19 09-PM,XVGUSD,0.01499,0.01499,0.01452,0.01499,687.95,10.03
2018-08-19 08-PM,XVGUSD,0.01448,0.01499,0.01448,0.01499,1396.71,20.67
2018-08-19 07-PM,XVGUSD,0.01448,0.01448,0.01448,0.01448,0.0,0.0
2018-08-19 06-PM,XVGUSD,0.01416,0.01449,0.01401,0.01448,8373.07,119.63
2018-08-19 05-PM,XVGUSD,0.01433,0.01449,0.01414,0.01416,326.15,4.65
2018-08-19 04-PM,XVGUSD,0.01456,0.01456,0.01433,0.01433,20705.68,298.96
2018-08-19 03-PM,XVGUSD,0.0147,0.0148,0.01456,0.01456,51418.84,749.11
2018-08-19 02-PM,XVGUSD,0.0148,0.01568,0.0147,0.0147,14047.0,210.04
2018-08-19 01-PM,XVGUSD,0.01441,0.01541,0.01441,0.0148,2858.39,43.49
2018-08-19 12-PM,XVGUSD,0.01448,0.0146,0.0144,0.01441,265.84,3.87
2018-08-19 11-AM,XVGUSD,0.0139,0.01448,0.0138,0.01448,4829.16,68.58
2018-08-19 10-AM,XVGUSD,0.01392,0.01394,0.0139,0.0139,2418.38,33.69
2018-08-19 09-AM,XVGUSD,0.0139,0.01392,0.0139,0.01392,10.0,0.1392
2018-08-19 08-AM,XVGUSD,0.01428,0.01428,0.0139,0.0139,310.52,4.32
2018-08-19 07-AM,XVGUSD,0.01427,0.01428,0.01427,0.01428,120.01,1.71
2018-08-19 06-AM,XVGUSD,0.014,0.01427,0.01368,0.01427,5176.74,73.72
2018-08-19 05-AM,XVGUSD,0.0141,0.0141,0.014,0.014,1195.84,16.74
2018-08-19 04-AM,XVGUSD,0.0141,0.0141,0.0141,0.0141,505.5,7.13
2018-08-19 03-AM,XVGUSD,0.014,0.0141,0.014,0.0141,826.36,11.63
2018-08-19 02-AM,XVGUSD,0.01449,0.01449,0.014,0.014,595.26,8.33
2018-08-19 01-AM,XVGUSD,0.01449,0.01449,0.01449,0.01449,0.0,0.0
2018-08-19 12-AM,XVGUSD,0.0141,0.01449,0.01402,0.01449,1109.83,15.65
2018-08-18 11-PM,XVGUSD,0.01402,0.0141,0.01402,0.0141,4476.31,63.12
2018-08-18 10-PM,XVGUSD,0.01368,0.01402,0.01368,0.01402,4344.13,60.85
2018-08-18 09-PM,XVGUSD,0.01366,0.01401,0.01366,0.01368,8923.34,124.9
2018-08-18 08-PM,XVGUSD,0.014,0.014,0.01366,0.01366,4353.86,60.03
2018-08-18 07-PM,XVGUSD,0.01353,0.01401,0.01353,0.014,4790.65,67.08
2018-08-18 06-PM,XVGUSD,0.0135,0.01444,0.0135,0.01353,170.21,2.32
2018-08-18 05-PM,XVGUSD,0.01469,0.01469,0.0135,0.0135,3997.85,54.23
2018-08-18 04-PM,XVGUSD,0.0139,0.01493,0.01375,0.01469,4020.35,57.35
2018-08-18 03-PM,XVGUSD,0.01452,0.015,0.0135,0.0139,33615.77,465.18
2018-08-18 02-PM,XVGUSD,0.01446,0.01452,0.0141,0.01452,13960.46,201.9
2018-08-18 01-PM,XVGUSD,0.01525,0.01525,0.014,0.01446,33247.67,487.27
2018-08-18 12-PM,XVGUSD,0.01499,0.01525,0.01499,0.01525,26957.94,410.01
2018-08-18 11-AM,XVGUSD,0.01485,0.01499,0.01485,0.01499,1338.22,20.07
2018-08-18 10-AM,XVGUSD,0.01485,0.01485,0.01485,0.01485,1498.05,22.25
2018-08-18 09-AM,XVGUSD,0.01485,0.01485,0.01485,0.01485,50.0,0.7425
2018-08-18 08-AM,XVGUSD,0.01505,0.01505,0.01485,0.01485,3421.25,50.81
2018-08-18 07-AM,XVGUSD,0.01544,0.01544,0.01503,0.01505,10187.16,153.31
2018-08-18 06-AM,XVGUSD,0.01505,0.01544,0.01505,0.01544,100.0,1.54
2018-08-18 05-AM,XVGUSD,0.01503,0.01544,0.01503,0.01505,1080.9,16.29
2018-08-18 04-AM,XVGUSD,0.01501,0.0152,0.01501,0.01503,6226.0,94.4
2018-08-18 03-AM,XVGUSD,0.0153,0.0153,0.01501,0.01501,15017.96,228.74
2018-08-18 02-AM,XVGUSD,0.0153,0.0153,0.0153,0.0153,3500.0,53.55
2018-08-18 01-AM,XVGUSD,0.0158,0.0158,0.0153,0.0153,3893.41,60.0
2018-08-18 12-AM,XVGUSD,0.0153,0.0158,0.0153,0.0158,695.18,10.79
2018-08-17 11-PM,XVGUSD,0.01495,0.0153,0.01495,0.0153,4683.4,71.26
2018-08-17 10-PM,XVGUSD,0.0148,0.0152,0.0148,0.01495,10633.64,159.28
2018-08-17 09-PM,XVGUSD,0.01499,0.0152,0.0148,0.0148,36570.73,552.42
2018-08-17 08-PM,XVGUSD,0.015,0.01515,0.01447,0.01499,36956.62,553.67
2018-08-17 07-PM,XVGUSD,0.01498,0.01514,0.01473,0.015,9227.22,137.59
2018-08-17 06-PM,XVGUSD,0.0152,0.0152,0.01474,0.01498,13923.96,206.68
2018-08-17 05-PM,XVGUSD,0.01504,0.0152,0.01504,0.0152,46739.89,709.46
2018-08-17 04-PM,XVGUSD,0.01454,0.01504,0.0142,0.01504,16516.43,240.64
2018-08-17 03-PM,XVGUSD,0.01499,0.015,0.01454,0.01454,128174.8,1921.87
2018-08-17 02-PM,XVGUSD,0.0144,0.015,0.0144,0.01499,174697.56,2618.21
2018-08-17 01-PM,XVGUSD,0.0144,0.0144,0.0144,0.0144,0.0,0.0
2018-08-17 12-PM,XVGUSD,0.01425,0.0144,0.01356,0.0144,2962.17,42.43
2018-08-17 11-AM,XVGUSD,0.01446,0.01446,0.01425,0.01425,8258.2,117.92
2018-08-17 10-AM,XVGUSD,0.01449,0.01487,0.01443,0.01446,60912.1,881.02
2018-08-17 09-AM,XVGUSD,0.01498,0.01498,0.01449,0.01449,29352.63,425.38
2018-08-17 08-AM,XVGUSD,0.01481,0.01505,0.0144,0.01498,950.68,13.78
2018-08-17 07-AM,XVGUSD,0.0158,0.01589,0.01481,0.01481,6639.76,100.56
2018-08-17 06-AM,XVGUSD,0.01469,0.0158,0.0141,0.0158,4406.31,64.42
2018-08-17 05-AM,XVGUSD,0.0143,0.01488,0.01386,0.01469,14340.06,206.2
2018-08-17 04-AM,XVGUSD,0.0135,0.0143,0.0135,0.0143,14071.3,200.73
2018-08-17 03-AM,XVGUSD,0.01346,0.01484,0.01346,0.0135,4166.63,56.38
2018-08-17 02-AM,XVGUSD,0.0139,0.01495,0.01346,0.01346,94357.71,1312.68
2018-08-17 01-AM,XVGUSD,0.01169,0.0139,0.01169,0.0139,15044.11,191.78
2018-08-17 12-AM,XVGUSD,0.01169,0.01169,0.01169,0.01169,0.0,0.0
2018-08-16 11-PM,XVGUSD,0.01165,0.0124,0.01165,0.01169,8770.83,107.47
2018-08-16 10-PM,XVGUSD,0.01228,0.01228,0.01152,0.01165,452.5,5.26
2018-08-16 09-PM,XVGUSD,0.01206,0.01228,0.01202,0.01228,2327.72,28.04
2018-08-16 08-PM,XVGUSD,0.0122,0.01229,0.01206,0.01206,656.22,8.02
2018-08-16 07-PM,XVGUSD,0.0124,0.0124,0.01205,0.0122,20604.29,248.63
2018-08-16 06-PM,XVGUSD,0.0124,0.0124,0.01208,0.0124,2974.58,36.49
2018-08-16 05-PM,XVGUSD,0.01224,0.0124,0.01224,0.0124,2643.44,32.55
2018-08-16 04-PM,XVGUSD,0.01186,0.01224,0.01186,0.01224,435.84,5.34
2018-08-16 03-PM,XVGUSD,0.0118,0.01238,0.0118,0.01186,8291.35,100.67
2018-08-16 02-PM,XVGUSD,0.01125,0.0124,0.01125,0.0118,23958.72,287.93
2018-08-16 01-PM,XVGUSD,0.01197,0.01197,0.01125,0.01125,19203.98,225.6
2018-08-16 12-PM,XVGUSD,0.01239,0.01239,0.01197,0.01197,6704.97,80.39
2018-08-16 11-AM,XVGUSD,0.012,0.01239,0.012,0.01239,20.0,0.2478
2018-08-16 10-AM,XVGUSD,0.012,0.012,0.012,0.012,0.0,0.0
2018-08-16 09-AM,XVGUSD,0.01197,0.012,0.01197,0.012,3333.67,40.0
2018-08-16 08-AM,XVGUSD,0.01145,0.012,0.01145,0.01197,13094.95,156.29
2018-08-16 07-AM,XVGUSD,0.01183,0.01183,0.01144,0.01145,5483.54,64.58
2018-08-16 06-AM,XVGUSD,0.0117,0.01183,0.0117,0.01183,10.0,0.1183
2018-08-16 05-AM,XVGUSD,0.01176,0.01176,0.0117,0.0117,4315.12,50.48
2018-08-16 04-AM,XVGUSD,0.01176,0.01249,0.01176,0.01176,5543.28,65.2
2018-08-16 03-AM,XVGUSD,0.01176,0.01176,0.01176,0.01176,0.0,0.0
2018-08-16 02-AM,XVGUSD,0.01196,0.0126,0.01176,0.01176,5740.95,69.32
2018-08-16 01-AM,XVGUSD,0.01196,0.012,0.01196,0.01196,15843.88,189.72
2018-08-16 12-AM,XVGUSD,0.01181,0.01196,0.01181,0.01196,522.72,6.25
2018-08-15 11-PM,XVGUSD,0.01252,0.01252,0.01181,0.01181,682.21,8.12
2018-08-15 10-PM,XVGUSD,0.01254,0.01254,0.01252,0.01252,278.94,3.49
2018-08-15 09-PM,XVGUSD,0.0119,0.01254,0.01175,0.01254,25555.37,300.71
2018-08-15 08-PM,XVGUSD,0.01206,0.01206,0.0119,0.0119,5949.89,71.08
2018-08-15 07-PM,XVGUSD,0.01245,0.01245,0.01206,0.01206,10434.55,127.59
2018-08-15 06-PM,XVGUSD,0.0125,0.0126,0.01232,0.01245,4675.12,58.24
2018-08-15 05-PM,XVGUSD,0.01231,0.0126,0.01231,0.0125,18412.53,226.88
2018-08-15 04-PM,XVGUSD,0.01222,0.0127,0.01222,0.01231,56400.59,712.58
2018-08-15 03-PM,XVGUSD,0.0125,0.01266,0.01222,0.01222,20176.76,254.24
2018-08-15 02-PM,XVGUSD,0.01241,0.0125,0.01221,0.0125,49105.09,612.67
2018-08-15 01-PM,XVGUSD,0.01241,0.01241,0.01227,0.01241,251.44,3.1
2018-08-15 12-PM,XVGUSD,0.0121,0.01241,0.012,0.01241,5520.75,67.57
2018-08-15 11-AM,XVGUSD,0.0123,0.0123,0.01208,0.0121,4639.95,56.44
2018-08-15 10-AM,XVGUSD,0.0125,0.0125,0.01207,0.0123,3276.78,39.88
2018-08-15 09-AM,XVGUSD,0.01243,0.0125,0.01215,0.0125,10209.27,125.41
2018-08-15 08-AM,XVGUSD,0.01212,0.01243,0.01212,0.01243,8740.14,107.13
2018-08-15 07-AM,XVGUSD,0.01235,0.01235,0.01212,0.01212,5294.58,65.07
2018-08-15 06-AM,XVGUSD,0.01198,0.01235,0.01198,0.01235,1224.35,15.12
2018-08-15 05-AM,XVGUSD,0.01214,0.0122,0.01198,0.01198,4499.54,54.66
2018-08-15 04-AM,XVGUSD,0.012,0.01263,0.012,0.01214,1489.6,18.33
2018-08-15 03-AM,XVGUSD,0.01269,0.01269,0.01198,0.012,11995.36,144.1
2018-08-15 02-AM,XVGUSD,0.01278,0.01278,0.01179,0.01269,1771.66,22.26
2018-08-15 01-AM,XVGUSD,0.0117,0.01278,0.0117,0.01278,62.6,0.8
2018-08-15 12-AM,XVGUSD,0.0118,0.01279,0.0117,0.0117,1392.45,16.9
2018-08-14 11-PM,XVGUSD,0.01147,0.0118,0.0113,0.0118,53497.95,614.02
2018-08-14 10-PM,XVGUSD,0.01109,0.01147,0.01109,0.01147,10028.15,114.21
2018-08-14 09-PM,XVGUSD,0.01118,0.01149,0.01109,0.01109,35386.91,396.63
