Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
2019-08-04 07-AM,BTCKRW,12681000,12689000,12610000,12615000,164.64,2082800251.16
2019-08-04 06-AM,BTCKRW,12531000,12687000,12513000,12681000,258.99,3266423748.05
2019-08-04 05-AM,BTCKRW,12541000,12595000,12460000,12531000,416.41,5220164682.55
2019-08-04 04-AM,BTCKRW,12744000,12744000,12492000,12541000,632.15,7954615878.09
2019-08-04 03-AM,BTCKRW,12787000,12794000,12650000,12744000,438.62,5580280871.7
2019-08-04 02-AM,BTCKRW,12865000,12865000,12780000,12787000,182.92,2341961457.54
2019-08-04 01-AM,BTCKRW,12837000,12877000,12829000,12865000,113.8,1463637999.27
2019-08-04 12-AM,BTCKRW,12791000,12877000,12783000,12837000,199.53,2562537820.18
2019-08-03 11-PM,BTCKRW,12821000,12821000,12772000,12791000,77.9,996650490.58
2019-08-03 10-PM,BTCKRW,12836000,12837000,12774000,12821000,56.38,722230729.74
2019-08-03 09-PM,BTCKRW,12860000,12875000,12804000,12836000,63.78,819003739.33
2019-08-03 08-PM,BTCKRW,12816000,12869000,12791000,12860000,47.67,611884422.84
2019-08-03 07-PM,BTCKRW,12832000,12870000,12766000,12816000,122.74,1573489275.5
2019-08-03 06-PM,BTCKRW,12810000,12840000,12794000,12832000,42.4,543597369.09
2019-08-03 05-PM,BTCKRW,12780000,12836000,12769000,12810000,115.88,1484851764.74
2019-08-03 04-PM,BTCKRW,12685000,12797000,12676000,12780000,92.63,1180644205.44
2019-08-03 03-PM,BTCKRW,12770000,12786000,12663000,12685000,149.5,1900425708.26
2019-08-03 02-PM,BTCKRW,12788000,12799000,12741000,12770000,70.13,895816006.35
2019-08-03 01-PM,BTCKRW,12700000,12811000,12688000,12788000,186.22,2378589061.35
2019-08-03 12-PM,BTCKRW,12739000,12739000,12626000,12700000,320.28,4056894032.12
2019-08-03 11-AM,BTCKRW,12776000,12782000,12731000,12739000,88.59,1129312467.34
2019-08-03 10-AM,BTCKRW,12750000,12783000,12720000,12776000,144.16,1838158452.2
2019-08-03 09-AM,BTCKRW,12799000,12862000,12740000,12750000,245.8,3142762741.96
2019-08-03 08-AM,BTCKRW,12827000,12830000,12761000,12799000,116.52,1491549407.81
2019-08-03 07-AM,BTCKRW,12795000,12847000,12757000,12827000,163.03,2085963608.16
2019-08-03 06-AM,BTCKRW,12799000,12826000,12762000,12795000,118.62,1518076624.86
2019-08-03 05-AM,BTCKRW,12865000,12881000,12729000,12799000,239.56,3065407808.35
2019-08-03 04-AM,BTCKRW,12807000,12865000,12801000,12865000,188.07,2412456002.26
2019-08-03 03-AM,BTCKRW,12874000,12876000,12786000,12807000,375.42,4817476968.58
2019-08-03 02-AM,BTCKRW,12690000,12888000,12625000,12874000,575.28,7352163436.97
2019-08-03 01-AM,BTCKRW,12577000,12734000,12574000,12690000,327.91,4155342287.64
2019-08-03 12-AM,BTCKRW,12586000,12622000,12542000,12577000,167.89,2112178366.3
2019-08-02 11-PM,BTCKRW,12562000,12592000,12550000,12586000,140.63,1767802134.55
2019-08-02 10-PM,BTCKRW,12469000,12571000,12460000,12562000,121.08,1515513476.5
2019-08-02 09-PM,BTCKRW,12405000,12498000,12359000,12469000,211.15,2621857856.45
2019-08-02 08-PM,BTCKRW,12512000,12518000,12397000,12405000,174.41,2168538162.98
2019-08-02 07-PM,BTCKRW,12555000,12557000,12482000,12512000,85.0,1065261806.19
2019-08-02 06-PM,BTCKRW,12509000,12575000,12500000,12555000,74.68,936548732.19
2019-08-02 05-PM,BTCKRW,12461000,12538000,12450000,12509000,144.95,1811690354.75
2019-08-02 04-PM,BTCKRW,12687000,12775000,12410000,12461000,640.75,8054440382.27
2019-08-02 03-PM,BTCKRW,12600000,12710000,12545000,12687000,374.28,4738214139.06
2019-08-02 02-PM,BTCKRW,12569000,12607000,12510000,12600000,158.14,1986548046.54
2019-08-02 01-PM,BTCKRW,12561000,12590000,12537000,12569000,173.27,2177029133.62
2019-08-02 12-PM,BTCKRW,12486000,12587000,12481000,12561000,144.81,1813931001.6
2019-08-02 11-AM,BTCKRW,12473000,12549000,12473000,12486000,180.03,2253569368.18
2019-08-02 10-AM,BTCKRW,12452000,12505000,12432000,12473000,123.38,1539153827.21
2019-08-02 09-AM,BTCKRW,12503000,12538000,12420000,12452000,226.39,2826927311.01
2019-08-02 08-AM,BTCKRW,12534000,12539000,12456000,12503000,345.17,4311689426.6
2019-08-02 07-AM,BTCKRW,12499000,12610000,12494000,12534000,495.04,6221343174.0
