Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MSGD
2019-07-03,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-07-02,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-07-01,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-30,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-29,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-28,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-27,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-26,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-25,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-24,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-23,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-22,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-21,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-20,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-19,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-18,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-17,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-16,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-15,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-14,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-13,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-12,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-11,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-10,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-09,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-08,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-07,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-06,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-05,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-04,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-03,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-02,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-01,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-31,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-30,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-29,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-28,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-27,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-26,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-25,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-24,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-23,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-22,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
