Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume BTC
2019-07-02 05-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-02 04-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-02 03-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-02 02-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-02 01-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-02 12-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 11-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 10-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 09-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 08-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 07-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 06-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 05-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 04-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 03-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 02-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 01-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 12-PM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 11-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 10-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 09-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 08-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 07-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 06-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 05-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 04-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 03-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 02-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
2019-07-01 01-AM,BCHBTC,0.0751,0.0751,0.0751,0.0751,0.0,0.0
