Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume IDR
2019-07-03,BTCIDR,154990000,165988000,154990000,162490000,2.919,474193167.3
2019-07-02,BTCIDR,156100000,156100000,140050000,154990000,9.36,1378739545.58
2019-07-01,BTCIDR,160000000,166000000,150000000,156100000,4.977,782161922.52
2019-06-30,BTCIDR,172309000,173500000,158100000,160000000,4.463,739537349.82
2019-06-29,BTCIDR,178799000,178799000,166500000,172309000,6.515,1116784468.04
2019-06-28,BTCIDR,162295000,185000000,156003000,178799000,9.45,1588557457.35
2019-06-27,BTCIDR,192900000,197799000,140005000,162295000,16.53,2814468080.22
2019-06-26,BTCIDR,166000000,200000000,166000000,192900000,10.18,1879023456.99
2019-06-25,BTCIDR,155240000,166000000,155010000,166000000,5.349,864411305.39
2019-06-24,BTCIDR,154083000,157990000,152005000,155240000,2.582,400345416.72
2019-06-23,BTCIDR,153499000,157500000,148500000,154083000,4.613,704618366.92
2019-06-22,BTCIDR,143500000,159984000,143500000,153499000,8.291,1274391079.5
2019-06-21,BTCIDR,136128000,143500000,133300000,143500000,6.444,897379173.42
2019-06-20,BTCIDR,131995000,136439000,130011000,136128000,2.196,292765661.91
2019-06-19,BTCIDR,129153000,131999000,128232000,131995000,3.301,429281277.06
2019-06-18,BTCIDR,130498000,131000000,128230000,129153000,3.177,412060537.85
2019-06-17,BTCIDR,126452000,130900000,126452000,130498000,2.712,350953425.72
2019-06-16,BTCIDR,123890000,128750000,123870000,126452000,2.714,342942151.71
2019-06-15,BTCIDR,120949000,123890000,119006000,123890000,1.631,199213033.85
2019-06-14,BTCIDR,116771000,120950000,116600000,120949000,1.636,194303305.04
2019-06-13,BTCIDR,115650000,117997000,115601000,116771000,2.105,245700438.66
2019-06-12,BTCIDR,114996000,117500000,113507000,115650000,4.049,468557978.05
2019-06-11,BTCIDR,117163000,118000000,111103000,114996000,4.591,528964034.52
