Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume AUD
2019-07-03,XRPAUD,0.5701,0.5818,0.561,0.5716,604977.83,347271.31
2019-07-02,XRPAUD,0.5763,0.5846,0.5412,0.5701,1596502.27,895722.98
2019-07-01,XRPAUD,0.5553,0.5983,0.553,0.5763,1151517.4,662058.79
2019-06-30,XRPAUD,0.605,0.6075,0.5553,0.5553,1254873.45,730626.71
2019-06-29,XRPAUD,0.6052,0.6093,0.5785,0.605,978574.2,576736.33
2019-06-28,XRPAUD,0.5778,0.6098,0.57,0.6052,2023535.35,1184564.77
2019-06-27,XRPAUD,0.6661,0.6742,0.558,0.5778,5760583.94,3508535.11
2019-06-26,XRPAUD,0.6748,0.707,0.6397,0.6661,5062954.05,3446714.68
2019-06-25,XRPAUD,0.686,0.688,0.6561,0.6748,1833757.97,1235719.55
2019-06-24,XRPAUD,0.671,0.686,0.6422,0.686,1720200.43,1139694.45
2019-06-23,XRPAUD,0.6789,0.698,0.6655,0.671,2179960.15,1490560.35
2019-06-22,XRPAUD,0.6442,0.7333,0.6407,0.6789,6102469.5,4135907.99
2019-06-21,XRPAUD,0.6249,0.653,0.6246,0.6442,1501625.57,960743.63
2019-06-20,XRPAUD,0.6301,0.6352,0.6123,0.6249,887669.04,553126.47
2019-06-19,XRPAUD,0.6184,0.6366,0.6166,0.6301,816312.05,511404.49
2019-06-18,XRPAUD,0.65,0.66,0.6135,0.6184,1840383.68,1175116.0
2019-06-17,XRPAUD,0.6199,0.6699,0.6135,0.65,2313370.04,1481396.21
2019-06-16,XRPAUD,0.5941,0.6311,0.592,0.6199,2071314.17,1255372.45
2019-06-15,XRPAUD,0.5898,0.5959,0.5817,0.5941,629320.73,371024.78
2019-06-14,XRPAUD,0.58,0.5899,0.5719,0.5898,770713.63,446779.62
2019-06-13,XRPAUD,0.5799,0.5908,0.5754,0.58,587510.27,343236.96
2019-06-12,XRPAUD,0.5676,0.583,0.5601,0.5799,606516.24,346732.9
2019-06-11,XRPAUD,0.5759,0.5846,0.558,0.5676,756473.62,428707.11
2019-06-10,XRPAUD,0.557,0.5848,0.5506,0.5759,893511.56,508134.62
2019-06-09,XRPAUD,0.5909,0.5919,0.54,0.557,1422058.31,796161.48
2019-06-08,XRPAUD,0.6076,0.6101,0.5808,0.5909,513873.94,307305.06
2019-06-07,XRPAUD,0.6038,0.6193,0.5965,0.6076,830314.49,503305.41
2019-06-06,XRPAUD,0.5834,0.6096,0.5627,0.6038,1339951.96,782615.55
2019-06-05,XRPAUD,0.572,0.5914,0.5634,0.5834,1450605.1,834578.82
2019-06-04,XRPAUD,0.61,0.611,0.5542,0.572,3011665.94,1772364.79
2019-06-03,XRPAUD,0.6392,0.6689,0.61,0.61,2107025.24,1342062.4
2019-06-02,XRPAUD,0.6237,0.6448,0.6203,0.6392,1020504.58,647232.94
2019-06-01,XRPAUD,0.638,0.6429,0.6123,0.6237,661956.19,416522.16
2019-05-31,XRPAUD,0.6163,0.6407,0.5944,0.638,1785868.29,1100478.62
2019-05-30,XRPAUD,0.645,0.69,0.5945,0.6163,4569928.55,2961473.49
2019-05-29,XRPAUD,0.647,0.6629,0.6081,0.645,2884404.61,1834645.86
2019-05-28,XRPAUD,0.634,0.6671,0.61,0.647,3010937.23,1921784.21
2019-05-27,XRPAUD,0.5946,0.644,0.5875,0.634,2345936.61,1432394.14
2019-05-26,XRPAUD,0.5601,0.6,0.5457,0.5946,1251656.33,719183.71
2019-05-25,XRPAUD,0.5552,0.5718,0.5529,0.5601,367534.79,207011.29
2019-05-24,XRPAUD,0.5534,0.5746,0.5424,0.5552,741689.77,414761.23
2019-05-23,XRPAUD,0.5497,0.5599,0.5302,0.5534,1200803.53,652599.08
2019-05-22,XRPAUD,0.5791,0.6,0.5402,0.5497,1195219.63,676220.6
2019-05-21,XRPAUD,0.5781,0.5983,0.566,0.5791,1171020.85,677729.67
2019-05-20,XRPAUD,0.6111,0.6111,0.552,0.5781,1458800.02,841895.54
2019-05-19,XRPAUD,0.5426,0.6247,0.5411,0.6111,2364888.3,1395913.3
2019-05-18,XRPAUD,0.5689,0.5776,0.5351,0.5426,1236273.75,686267.86
2019-05-17,XRPAUD,0.61,0.6167,0.5211,0.5689,5064248.7,2791575.65
2019-05-16,XRPAUD,0.663,0.6975,0.5686,0.61,5841469.42,3690271.96
2019-05-15,XRPAUD,0.5911,0.675,0.5895,0.663,4968858.67,3119860.43
2019-05-14,XRPAUD,0.47,0.6028,0.4661,0.5911,7723858.07,4227061.76
2019-05-13,XRPAUD,0.4418,0.4794,0.4414,0.47,1416566.5,661378.25
2019-05-12,XRPAUD,0.4629,0.4745,0.4374,0.4418,1234115.76,560244.07
2019-05-11,XRPAUD,0.4251,0.485,0.4245,0.4629,1879032.67,851324.73
2019-05-10,XRPAUD,0.419,0.4321,0.4162,0.4251,686086.91,291899.63
2019-05-09,XRPAUD,0.4248,0.4311,0.4165,0.419,482262.68,204708.26
2019-05-08,XRPAUD,0.4215,0.4289,0.4182,0.4248,123458.42,52245.6
2019-05-07,XRPAUD,0.4294,0.4341,0.4263,0.4271,204548.98,87954.42
2019-05-06,XRPAUD,0.4268,0.4319,0.4202,0.4294,428305.81,181731.27
2019-05-05,XRPAUD,0.4252,0.4308,0.4225,0.4268,574609.35,245850.29
2019-05-04,XRPAUD,0.4316,0.4444,0.4205,0.4252,404482.97,173256.02
2019-05-03,XRPAUD,0.425,0.439,0.4231,0.4316,497299.85,214691.99
2019-05-02,XRPAUD,0.4265,0.4304,0.422,0.425,295579.88,125858.34
2019-05-01,XRPAUD,0.4362,0.438,0.4216,0.4265,363157.51,155927.31
2019-04-30,XRPAUD,0.4107,0.4386,0.4082,0.4362,591019.74,252277.91
2019-04-29,XRPAUD,0.4165,0.4179,0.4061,0.4107,410184.54,169493.9
2019-04-28,XRPAUD,0.4192,0.4215,0.4125,0.4165,143760.25,60010.89
2019-04-27,XRPAUD,0.4217,0.4247,0.415,0.4192,138737.4,58002.49
2019-04-26,XRPAUD,0.4115,0.4217,0.4061,0.4217,662692.7,274205.86
2019-04-25,XRPAUD,0.43,0.4397,0.4041,0.4115,879616.35,369891.69
2019-04-24,XRPAUD,0.455,0.4596,0.4207,0.43,1229043.11,534120.37
2019-04-23,XRPAUD,0.456,0.4641,0.4543,0.455,607545.24,278949.72
2019-04-22,XRPAUD,0.454,0.4683,0.45,0.456,304985.1,139853.83
2019-04-21,XRPAUD,0.4596,0.4649,0.4479,0.454,601171.59,274897.02
2019-04-20,XRPAUD,0.465,0.4695,0.4554,0.4596,206055.1,95805.29
2019-04-19,XRPAUD,0.4732,0.4732,0.462,0.465,123792.5,57588.34
2019-04-18,XRPAUD,0.469,0.4862,0.4688,0.4732,526502.12,250798.04
2019-04-17,XRPAUD,0.4597,0.4776,0.4495,0.469,452630.63,208009.3
2019-04-16,XRPAUD,0.4484,0.4597,0.4427,0.4597,247600.23,111404.89
2019-04-15,XRPAUD,0.4616,0.4667,0.441,0.4484,713497.86,323712.72
2019-04-14,XRPAUD,0.4576,0.463,0.4545,0.4616,190416.73,87178.46
2019-04-13,XRPAUD,0.4583,0.4735,0.4553,0.4576,243881.07,112400.62
2019-04-12,XRPAUD,0.465,0.4662,0.45,0.4583,660746.98,301722.3
2019-04-11,XRPAUD,0.494,0.4972,0.455,0.465,2192803.82,1033731.69
2019-04-10,XRPAUD,0.4925,0.5043,0.4901,0.494,554132.55,275782.83
2019-04-09,XRPAUD,0.5076,0.5076,0.489,0.4925,538355.2,266650.66
2019-04-08,XRPAUD,0.506,0.52,0.4956,0.5076,1069155.15,545035.93
2019-04-07,XRPAUD,0.4967,0.5144,0.4934,0.506,567093.84,285941.58
2019-04-06,XRPAUD,0.5093,0.5104,0.489,0.4967,590107.01,293635.87
2019-04-05,XRPAUD,0.4656,0.5277,0.4643,0.5093,3084346.62,1557852.4
2019-04-04,XRPAUD,0.4827,0.49,0.4561,0.4656,963359.77,457874.86
2019-04-03,XRPAUD,0.4928,0.52,0.4645,0.4827,4240500.93,2095340.25
2019-04-02,XRPAUD,0.44,0.5,0.4374,0.4928,3077013.31,1448114.7
2019-04-01,XRPAUD,0.4325,0.441,0.4319,0.44,207629.38,90821.66
2019-03-31,XRPAUD,0.438,0.4398,0.431,0.4325,332953.68,144867.02
2019-03-30,XRPAUD,0.4346,0.4481,0.4321,0.438,389718.42,171644.59
2019-03-29,XRPAUD,0.4295,0.4367,0.4291,0.4346,190577.52,82437.07
2019-03-28,XRPAUD,0.4364,0.4364,0.4273,0.4295,280786.37,121284.08
2019-03-27,XRPAUD,0.4212,0.4364,0.4212,0.4364,358940.4,154173.38
