Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
2019-07-03,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-07-02,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-07-01,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-30,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-29,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-28,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-27,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-26,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-25,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-24,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-23,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-22,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-21,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-20,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-19,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-18,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-17,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-16,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-15,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-14,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-13,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-12,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-11,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-10,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-09,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-08,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-07,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-06,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-05,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-04,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-03,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-02,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-06-01,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-31,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-30,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-29,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-28,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-27,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-26,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-25,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-24,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-23,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-22,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-21,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-20,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-19,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-18,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-17,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-16,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-15,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-14,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-13,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-12,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-11,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-10,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-09,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-08,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-07,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-06,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-05,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-04,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-03,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-02,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-05-01,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-30,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-29,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-28,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-27,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-26,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-25,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-24,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-23,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-22,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-21,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-20,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-19,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-18,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-17,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-16,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-15,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-14,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-13,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-12,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-11,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-10,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-09,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-08,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-07,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-06,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-05,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-04,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-03,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-02,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-04-01,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-31,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-30,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-29,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-28,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-27,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-26,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-25,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-24,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-23,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-22,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-21,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-20,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-19,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-18,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-17,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-16,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-15,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-14,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-13,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-12,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-11,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-10,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-09,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-08,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-07,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-06,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-05,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-04,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-03,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-02,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-03-01,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-28,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-27,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-26,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-25,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-24,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-23,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-22,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-21,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-20,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-19,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-18,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-17,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-16,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-15,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-14,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-13,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-12,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-11,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-10,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-09,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-08,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-07,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-06,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-05,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-04,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-03,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-02,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-02-01,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-31,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-30,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-29,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-28,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-27,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-26,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-25,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-24,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-23,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-22,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
2019-01-21,XVGBTC,1.85e-06,1.85e-06,1.85e-06,1.85e-06,0.0,0.0
