Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume RUR
2019-07-03,EOSRUR,336.42,377,336.42,351.76,17.41,6519.8
2019-07-02,EOSRUR,367.99,374,322.99,336.42,218.3,75554.33
2019-07-01,EOSRUR,335.09,367.99,307.5,367.99,217.0,70270.76
2019-06-30,EOSRUR,365.07,377.69,331,335.09,81.01,29076.53
2019-06-29,EOSRUR,373.43,373.43,350,365.07,224.05,80207.07
2019-06-28,EOSRUR,334.01,373.43,321,373.43,143.92,52335.99
2019-06-27,EOSRUR,365,390.8,315,334.01,799.38,288039.5
2019-06-26,EOSRUR,365,402,365,365,614.09,239732.48
2019-06-25,EOSRUR,380.05,398.13,330.29,365,371.72,142841.31
2019-06-24,EOSRUR,353,440,318,380.05,583.21,218104.83
2019-06-23,EOSRUR,379,384,349,353,191.99,69149.6
2019-06-22,EOSRUR,365,384.2,360,379,634.42,236254.56
2019-06-21,EOSRUR,374,384,365,365,75.73,28264.23
2019-06-20,EOSRUR,399.89,399.89,374,374,24.51,9230.78
2019-06-19,EOSRUR,384,399.89,374,399.89,12.06,4572.83
2019-06-18,EOSRUR,407.9,413,384,400,104.99,42079.07
2019-06-17,EOSRUR,382,408,382,407.9,64.35,25448.22
2019-06-16,EOSRUR,389.24,410,377,382,97.36,38800.28
2019-06-15,EOSRUR,364,389.24,364,389.24,120.18,45600.79
2019-06-14,EOSRUR,372,383,364,364,136.79,50224.84
2019-06-13,EOSRUR,372,389.24,372,372,45.99,17454.58
2019-06-12,EOSRUR,374,387,371.49,372,111.72,42885.9
2019-06-11,EOSRUR,391.29,391.29,371,374,87.32,32824.91
2019-06-10,EOSRUR,369,391.29,369,391.29,159.49,60231.5
2019-06-09,EOSRUR,384.98,385,369,369,3.056,1148.4
2019-06-08,EOSRUR,387.01,389,368.56,384.98,18.75,7130.04
2019-06-07,EOSRUR,378.88,391.27,356.11,387.01,119.37,44509.07
2019-06-06,EOSRUR,375,393.79,365,378.88,103.4,38811.3
2019-06-05,EOSRUR,404.87,404.87,370,375,155.22,58560.56
2019-06-04,EOSRUR,404.09,416.95,375,404.87,333.38,130118.15
2019-06-03,EOSRUR,464.8,464.8,403.77,404.09,257.2,111497.68
2019-06-02,EOSRUR,455,466.1,440.07,464.8,113.44,51677.79
2019-06-01,EOSRUR,433.8,500,433.8,455,336.39,158208.01
2019-05-31,EOSRUR,384.96,482,367.68,433.8,460.14,194997.62
2019-05-30,EOSRUR,394.26,410,363,384.96,317.06,122523.24
2019-05-29,EOSRUR,397,410,362,394.26,155.59,61072.72
2019-05-28,EOSRUR,369.05,400,350,397,347.73,131728.71
2019-05-27,EOSRUR,344,369.05,331.28,369.05,521.43,188107.22
2019-05-26,EOSRUR,342,344,323.31,344,159.31,54696.11
2019-05-25,EOSRUR,344,344,331,342,196.03,66901.55
2019-05-24,EOSRUR,344,344,326.24,344,149.84,51330.58
2019-05-23,EOSRUR,344.01,344.13,320,344,9.69,3201.93
2019-05-22,EOSRUR,330,348.4,320,344.01,152.76,51012.14
2019-05-21,EOSRUR,339.66,344.53,330,330,30.12,9975.29
2019-05-20,EOSRUR,325,355,325,339.66,29.84,10232.48
2019-05-19,EOSRUR,343.17,355,317.5,325,317.07,107947.39
2019-05-18,EOSRUR,341,350,306.46,343.17,307.2,105866.91
2019-05-17,EOSRUR,359,359,300,341,92.42,30141.66
2019-05-16,EOSRUR,370.88,378,340,359,408.65,146326.89
2019-05-15,EOSRUR,340,377,320.59,370.88,585.35,207450.23
2019-05-14,EOSRUR,331.21,355,319.07,340,530.65,178451.04
2019-05-13,EOSRUR,321.64,340,318.2,331.21,184.93,60538.67
2019-05-12,EOSRUR,313.58,348,313.58,321.64,428.66,145316.82
2019-05-11,EOSRUR,311,323.38,301.79,313.58,254.92,81009.75
2019-05-10,EOSRUR,317.97,319.08,299.98,311,50.76,15464.18
2019-05-09,EOSRUR,308.57,320,308.57,317.97,51.81,16183.72
2019-05-08,EOSRUR,297.6,309.13,288.57,308.57,1.45,428.26
2019-05-07,EOSRUR,288.37,306,287.33,287.82,5.6,1672.92
2019-05-06,EOSRUR,290,302,288.37,288.37,6.17,1787.31
2019-05-05,EOSRUR,289.95,302,286.52,290,129.48,37579.4
2019-05-04,EOSRUR,292,299.5,277.9,289.95,73.62,21216.97
2019-05-03,EOSRUR,269.54,292,269.54,292,18.74,5361.86
2019-05-02,EOSRUR,283.43,283.43,268.42,269.54,86.62,23540.39
2019-05-01,EOSRUR,273.43,291.84,273,283.43,10.34,2844.13
2019-04-30,EOSRUR,285,294.55,273,273.43,33.31,9408.42
2019-04-29,EOSRUR,295,295,285,285,10.09,2915.99
2019-04-28,EOSRUR,301.87,301.87,289.63,295,11.1,3228.3
2019-04-27,EOSRUR,289.19,302,289,301.87,14.13,4085.77
2019-04-26,EOSRUR,289.77,308,275,289.19,47.83,14035.03
2019-04-25,EOSRUR,320.11,320.11,282,289.77,10.73,3189.59
2019-04-24,EOSRUR,311.24,332,300,320.11,20.83,6471.36
2019-04-23,EOSRUR,316.48,335,311.24,311.24,59.41,19610.63
2019-04-22,EOSRUR,325,331.63,314.26,316.48,33.41,10747.52
2019-04-21,EOSRUR,334.62,334.62,311.34,325,53.89,17401.56
2019-04-20,EOSRUR,334.91,335.11,316.16,334.62,42.09,13693.78
2019-04-19,EOSRUR,320.23,335.15,310.11,334.91,140.08,45294.5
2019-04-18,EOSRUR,317,335.17,317,320.23,25.61,8315.16
2019-04-17,EOSRUR,335.17,335.17,317,317,55.24,17903.38
2019-04-16,EOSRUR,327,337.36,318.37,335.17,103.35,33684.87
2019-04-15,EOSRUR,322.3,347,322.3,327,228.16,77053.23
2019-04-14,EOSRUR,324,344,322.3,322.3,130.6,43078.16
2019-04-13,EOSRUR,343,344,323.7,324,75.38,25725.75
2019-04-12,EOSRUR,339.69,343,323.65,343,197.72,66324.71
2019-04-11,EOSRUR,347,347,321.84,339.69,130.23,42535.6
2019-04-10,EOSRUR,331,347,320,347,131.27,43612.41
2019-04-09,EOSRUR,330,331,304,331,101.06,33014.1
2019-04-08,EOSRUR,306,330,306,330,18.42,5847.34
2019-04-07,EOSRUR,301,306,288.49,306,138.94,41964.75
2019-04-06,EOSRUR,287.32,310,287.32,301,38.55,11724.73
2019-04-05,EOSRUR,277.03,310,277.03,287.32,45.07,13770.98
2019-04-04,EOSRUR,303,305,260.19,277.03,107.7,32390.66
2019-04-03,EOSRUR,280,347,269.1,303,51.63,15306.28
2019-04-02,EOSRUR,260,280,254,280,20.17,5356.44
2019-04-01,EOSRUR,260,267,254,260,7.39,1901.05
2019-03-31,EOSRUR,250,267,250,260,20.38,5327.01
2019-03-30,EOSRUR,254,260,242.1,250,8.41,2087.33
2019-03-29,EOSRUR,257,257.9,236,254,39.8,9786.3
2019-03-28,EOSRUR,255,260,234.01,257,7.41,1845.44
2019-03-27,EOSRUR,230,262,225.3,255,19.07,4595.48
2019-03-26,EOSRUR,228.23,230,225,230,13.57,3089.3
2019-03-25,EOSRUR,228.24,228.24,221,228.23,45.04,10243.13
2019-03-24,EOSRUR,234.1,234.1,225,228.24,26.08,5943.73
2019-03-23,EOSRUR,230,235,230,234.1,12.67,2971.03
2019-03-22,EOSRUR,219.9,230,219.9,230,10.52,2337.7
2019-03-21,EOSRUR,230,230,217.5,219.9,1.28,293.67
2019-03-20,EOSRUR,217.5,230,217.5,230,2.18,501.04
2019-03-19,EOSRUR,236,236,217.45,217.5,10.56,2375.34
2019-03-18,EOSRUR,227.44,236,224.68,236,2.02,475.55
2019-03-17,EOSRUR,226.21,235,226.21,227.44,0.3978,93.49
2019-03-16,EOSRUR,227,231.08,214,226.21,0.7457,170.61
2019-03-15,EOSRUR,218,227,211,227,3.48,782.77
2019-03-14,EOSRUR,209,218,209,218,0.2263,47.43
2019-03-13,EOSRUR,208,218,208,209,0.04103,8.61
2019-03-12,EOSRUR,226.46,228,208,208,8.34,1756.37
2019-03-11,EOSRUR,227.03,227.03,212,226.46,8.29,1760.56
2019-03-10,EOSRUR,236,236,227.03,227.03,0.3472,79.85
2019-03-09,EOSRUR,229,236,223,236,1.78,407.99
2019-03-08,EOSRUR,230,230,223,223,1.0,223.78
2019-03-07,EOSRUR,233,233,230,230,0.1558,35.84
2019-03-06,EOSRUR,235,235,220,233,4.33,964.55
2019-03-05,EOSRUR,210.82,220,210.02,220,3.01,655.0
2019-03-04,EOSRUR,224.57,224.57,211,211,0.0004944,0.1043
2019-03-03,EOSRUR,224.57,225.58,216.22,224.57,0.6118,137.11
2019-03-02,EOSRUR,220,235,220,228,0.01162,2.67
2019-03-01,EOSRUR,226.12,226.12,220,220,0.9569,210.52
2019-02-28,EOSRUR,217.12,235,217.12,226.12,22.96,5345.71
2019-02-27,EOSRUR,212.55,218.65,212.55,217.12,2.79,609.17
2019-02-26,EOSRUR,229.2,229.58,212.55,212.55,14.27,3270.99
2019-02-25,EOSRUR,221.01,229.58,210.34,229.2,4.63,1034.46
2019-02-24,EOSRUR,247,249,220.38,221.01,1.92,467.66
2019-02-23,EOSRUR,225,247,217.37,247,3.7,898.54
2019-02-22,EOSRUR,213.3,225,213.3,225,1.12,247.78
2019-02-21,EOSRUR,216.77,236,213.3,213.3,7.68,1665.82
2019-02-20,EOSRUR,210,226.01,201.38,210,10.05,2111.14
2019-02-19,EOSRUR,209.41,217,189.82,210,239.41,47812.39
2019-02-18,EOSRUR,183.69,209.41,171,209.41,415.14,81569.85
2019-02-17,EOSRUR,185,185,173.13,183.69,40.83,7230.74
