Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MON,Volume ABTC
2019-06-30 07-PM,MONABTC,0.0002057,0.0002057,0.0002057,0.0002057,0.0,0.0
2019-06-30 06-PM,MONABTC,0.0002252,0.0002252,0.0002057,0.0002057,5.0,0.001029
2019-06-30 05-PM,MONABTC,0.0002252,0.0002252,0.0002252,0.0002252,0.0,0.0
2019-06-30 04-PM,MONABTC,0.0002252,0.0002252,0.0002252,0.0002252,0.0,0.0
2019-06-30 03-PM,MONABTC,0.0002049,0.0002252,0.0002049,0.0002252,77.0,0.01734
2019-06-30 02-PM,MONABTC,0.0002049,0.0002049,0.0002049,0.0002049,0.0,0.0
2019-06-30 01-PM,MONABTC,0.0002049,0.0002049,0.0002049,0.0002049,0.0,0.0
2019-06-30 12-PM,MONABTC,0.0002047,0.0002049,0.0002047,0.0002049,9080.0,1.86
2019-06-30 11-AM,MONABTC,0.0002047,0.0002047,0.0002047,0.0002047,0.0,0.0
2019-06-30 10-AM,MONABTC,0.000203,0.0002047,0.000203,0.0002047,61.0,0.01249
2019-06-30 09-AM,MONABTC,0.000203,0.000203,0.000203,0.000203,0.0,0.0
2019-06-30 08-AM,MONABTC,0.0002025,0.000203,0.0002025,0.000203,18.0,0.003653
2019-06-30 07-AM,MONABTC,0.0002241,0.0002241,0.0002025,0.0002025,472.0,0.09558
2019-06-30 06-AM,MONABTC,0.0002241,0.0002241,0.0002241,0.0002241,0.0,0.0
2019-06-30 05-AM,MONABTC,0.0002241,0.0002241,0.0002241,0.0002241,0.0,0.0
2019-06-30 04-AM,MONABTC,0.0002201,0.0002241,0.0002201,0.0002241,74.0,0.01658
2019-06-30 03-AM,MONABTC,0.0002201,0.0002201,0.0002201,0.0002201,0.0,0.0
2019-06-30 02-AM,MONABTC,0.0002201,0.0002201,0.0002201,0.0002201,0.0,0.0
2019-06-30 01-AM,MONABTC,0.0002011,0.0002201,0.0002011,0.0002201,1386.0,0.3051
2019-06-30 12-AM,MONABTC,0.0002011,0.0002011,0.0002011,0.0002011,0.0,0.0
2019-06-29 11-PM,MONABTC,0.0002011,0.0002011,0.0002011,0.0002011,0.0,0.0
2019-06-29 10-PM,MONABTC,0.0002011,0.0002011,0.0002011,0.0002011,0.0,0.0
2019-06-29 09-PM,MONABTC,0.0002011,0.0002011,0.0002011,0.0002011,0.0,0.0
2019-06-29 08-PM,MONABTC,0.0002031,0.0002031,0.0002011,0.0002011,990.0,0.1991
2019-06-29 07-PM,MONABTC,0.0002031,0.0002031,0.0002031,0.0002031,0.0,0.0
2019-06-29 06-PM,MONABTC,0.0002031,0.0002031,0.0002031,0.0002031,0.0,0.0
2019-06-29 05-PM,MONABTC,0.0002031,0.0002031,0.0002031,0.0002031,0.0,0.0
2019-06-29 04-PM,MONABTC,0.0002031,0.0002031,0.0002031,0.0002031,0.0,0.0
2019-06-29 03-PM,MONABTC,0.0002031,0.0002031,0.0002031,0.0002031,1.0,0.0002031
2019-06-29 02-PM,MONABTC,0.0002031,0.0002031,0.0002031,0.0002031,8.0,0.001625
2019-06-29 01-PM,MONABTC,0.0002031,0.0002031,0.0002031,0.0002031,0.0,0.0
2019-06-29 12-PM,MONABTC,0.0002031,0.0002031,0.0002031,0.0002031,0.0,0.0
2019-06-29 11-AM,MONABTC,0.0002027,0.0002031,0.0002027,0.0002031,635.0,0.129
2019-06-29 10-AM,MONABTC,0.0002027,0.0002027,0.0002027,0.0002027,0.0,0.0
2019-06-29 09-AM,MONABTC,0.0002027,0.0002027,0.0002027,0.0002027,0.0,0.0
2019-06-29 08-AM,MONABTC,0.0002105,0.0002105,0.0002027,0.0002027,22.0,0.004461
2019-06-29 07-AM,MONABTC,0.0002105,0.0002105,0.0002105,0.0002105,0.0,0.0
2019-06-29 06-AM,MONABTC,0.0002105,0.0002105,0.0002105,0.0002105,124.0,0.0261
2019-06-29 05-AM,MONABTC,0.0002105,0.0002105,0.0002105,0.0002105,0.0,0.0
2019-06-29 04-AM,MONABTC,0.0002105,0.0002105,0.0002105,0.0002105,847.0,0.1783
2019-06-29 03-AM,MONABTC,0.0002105,0.0002105,0.0002105,0.0002105,628.0,0.1322
2019-06-29 02-AM,MONABTC,0.000207,0.0002105,0.000207,0.0002105,836.0,0.1738
2019-06-29 01-AM,MONABTC,0.0002011,0.000207,0.0002011,0.000207,879.0,0.1818
2019-06-29 12-AM,MONABTC,0.0002011,0.0002011,0.0002011,0.0002011,784.0,0.1577
2019-06-28 11-PM,MONABTC,0.0002011,0.0002011,0.0002011,0.0002011,2462.0,0.4951
2019-06-28 10-PM,MONABTC,0.0002011,0.0002011,0.0002011,0.0002011,0.0,0.0
2019-06-28 09-PM,MONABTC,0.0002101,0.0002101,0.0002011,0.0002011,472.0,0.09496
2019-06-28 08-PM,MONABTC,0.0002101,0.0002101,0.0002101,0.0002101,0.0,0.0
2019-06-28 07-PM,MONABTC,0.0002101,0.0002101,0.0002101,0.0002101,0.0,0.0
2019-06-28 06-PM,MONABTC,0.0002101,0.0002101,0.0002101,0.0002101,0.0,0.0
2019-06-28 05-PM,MONABTC,0.000204,0.0002101,0.000204,0.0002101,53.0,0.01113
2019-06-28 04-PM,MONABTC,0.000204,0.000204,0.000204,0.000204,0.0,0.0
2019-06-28 03-PM,MONABTC,0.000204,0.000204,0.000204,0.000204,0.0,0.0
