Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume CAD
2019-04-24 04-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-24 03-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-24 02-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-24 01-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-24 12-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 11-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 10-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 09-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 08-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 07-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 06-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 05-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 04-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 03-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 02-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 01-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 12-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 11-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 10-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 09-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 08-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 07-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 06-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 05-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 04-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 03-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 02-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 01-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23 12-AM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-22 11-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-22 10-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-22 09-PM,BTCCAD,5300,5300,5300,5300,0.0,0.0
