Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume STR,Volume ATUSD
2018-06-11,STRATUSD,0,3.54,0,3.54,0.0,0.0
2018-06-09,STRATUSD,4.26,4.33,4.22,4.27,189.94,820.97
2018-06-08,STRATUSD,4.45,4.45,4.16,4.26,265.36,1145.37
2018-06-07,STRATUSD,4.47,4.51,4.43,4.45,382.19,1708.9
2018-06-06,STRATUSD,4.48,4.52,4.33,4.47,483.69,2132.07
2018-06-05,STRATUSD,4.38,4.54,4.29,4.48,877.57,3849.71
2018-06-04,STRATUSD,4.7,4.72,4.33,4.38,270.23,1211.26
2018-06-03,STRATUSD,4.51,4.74,4.51,4.7,1050.84,4894.75
2018-06-02,STRATUSD,4.4,4.62,4.38,4.51,832.99,3737.69
2018-06-01,STRATUSD,4.39,4.46,4.27,4.4,405.38,1767.15
2018-05-31,STRATUSD,4.35,4.53,4.33,4.39,496.51,2203.87
2018-05-30,STRATUSD,4.52,4.63,4.24,4.35,1118.65,4970.96
2018-05-29,STRATUSD,4.14,4.61,4.07,4.52,1296.59,5813.69
2018-05-28,STRATUSD,4.65,4.66,4.12,4.14,780.32,3365.83
2018-05-27,STRATUSD,4.85,4.86,4.6,4.65,364.03,1730.18
2018-05-26,STRATUSD,5,5.11,4.85,4.85,514.85,2600.73
2018-05-25,STRATUSD,5.33,5.39,4.93,5,1611.36,8158.78
2018-05-24,STRATUSD,5.39,6.08,5.03,5.33,1817.6,9906.17
2018-05-23,STRATUSD,5.73,5.93,5.17,5.39,511.14,2826.6
2018-05-22,STRATUSD,5.75,6.16,5.73,5.73,1288.67,7697.59
2018-05-21,STRATUSD,5.87,5.92,5.69,5.75,940.53,5474.22
2018-05-20,STRATUSD,5.75,5.95,5.7,5.87,417.39,2462.17
2018-05-19,STRATUSD,5.82,5.86,5.72,5.75,1056.61,6073.49
2018-05-18,STRATUSD,5.65,5.85,5.51,5.82,836.74,4786.47
2018-05-17,STRATUSD,6.25,6.37,5.65,5.65,363.05,2113.48
2018-05-16,STRATUSD,5.91,6.25,5.57,6.25,1278.68,7621.08
2018-05-15,STRATUSD,6.21,6.49,5.89,5.91,583.42,3697.92
2018-05-14,STRATUSD,6.5,6.5,6.01,6.21,1710.36,10724.4
2018-05-13,STRATUSD,6.07,6.62,5.91,6.5,1521.3,9676.32
2018-05-12,STRATUSD,5.7,6.35,5.55,6.07,2070.77,12338.25
2018-05-11,STRATUSD,6.58,6.58,5.6,5.7,2407.56,14387.71
2018-05-10,STRATUSD,7.12,7.25,6.58,6.58,2287.1,16080.69
2018-05-09,STRATUSD,7.51,7.55,6.91,7.12,3513.0,25120.71
2018-05-08,STRATUSD,7.57,7.83,7.12,7.51,968.1,7243.33
2018-05-07,STRATUSD,7.92,7.97,7.1,7.57,2509.79,18805.71
2018-05-06,STRATUSD,8.33,8.33,7.57,7.92,969.92,7600.85
2018-05-05,STRATUSD,8.03,8.61,7.94,8.33,2678.13,22116.24
2018-05-04,STRATUSD,7.7,8.03,7.2,8.03,1823.91,13758.49
2018-05-03,STRATUSD,7.64,7.9,7.43,7.7,3448.02,26422.51
2018-05-02,STRATUSD,7.18,7.73,7.16,7.64,960.78,7199.82
2018-05-01,STRATUSD,6.75,7.32,6.41,7.18,1087.58,7527.17
2018-04-30,STRATUSD,7.11,7.28,6.7,6.75,899.15,6297.43
2018-04-29,STRATUSD,6.51,7.46,6.5,7.11,5404.87,38677.3
2018-04-28,STRATUSD,6.04,6.52,6.03,6.51,1662.44,10554.78
2018-04-27,STRATUSD,6.24,6.5,6.01,6.04,1366.88,8569.8
2018-04-26,STRATUSD,5.86,6.24,5.7,6.24,974.86,5765.34
2018-04-25,STRATUSD,6.67,7.9,5.59,5.86,5299.95,31848.73
2018-04-24,STRATUSD,6.25,7.96,6.25,6.67,2923.74,19297.26
2018-04-23,STRATUSD,5.88,7.12,5.88,6.25,7158.22,44005.78
2018-04-22,STRATUSD,5.9,6.2,5.72,5.88,4330.31,25901.73
2018-04-21,STRATUSD,6.12,6.24,5.49,5.9,5073.99,30850.32
2018-04-20,STRATUSD,5.91,6.17,5.65,6.12,4828.22,28841.07
2018-04-19,STRATUSD,5.76,5.99,5.74,5.91,4027.17,23681.99
2018-04-18,STRATUSD,5.13,5.8,4.8,5.76,2242.54,12401.12
2018-04-17,STRATUSD,4.96,5.39,4.95,5.13,3711.87,19573.25
2018-04-16,STRATUSD,5.17,5.22,4.83,4.96,3992.39,19919.36
2018-04-15,STRATUSD,4.85,5.54,4.82,5.17,19378.91,97966.79
2018-04-14,STRATUSD,4.86,4.93,4.61,4.85,4307.8,20500.8
2018-04-13,STRATUSD,4.66,5.65,4.52,4.86,17672.02,84105.55
2018-04-12,STRATUSD,4.2,4.69,3.92,4.66,17375.61,76793.94
2018-04-11,STRATUSD,3.83,4.61,3.83,4.2,3173.74,12649.57
2018-04-10,STRATUSD,3.75,3.92,3.66,3.83,2115.04,8115.44
2018-04-09,STRATUSD,3.86,4.03,3.63,3.75,858.77,3303.93
2018-04-08,STRATUSD,3.85,3.95,3.8,3.86,2668.77,10393.19
