Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume STR,Volume ATBTC
2019-08-07,STRATBTC,4.2e-05,4.24e-05,4.09e-05,4.13e-05,60405.9,2.51
2019-08-06,STRATBTC,4.43e-05,4.53e-05,4.02e-05,4.2e-05,1114295.29,46.53
2019-08-05,STRATBTC,4.87e-05,4.89e-05,4.35e-05,4.43e-05,789275.12,35.81
2019-08-04,STRATBTC,5.06e-05,5.14e-05,4.8e-05,4.87e-05,511282.95,25.45
2019-08-03,STRATBTC,5.17e-05,5.38e-05,4.99e-05,5.06e-05,696433.68,35.83
2019-08-02,STRATBTC,5.03e-05,5.62e-05,4.92e-05,5.17e-05,1658779.32,86.47
2019-08-01,STRATBTC,5.4e-05,5.43e-05,5.01e-05,5.03e-05,411271.03,21.44
2019-07-31,STRATBTC,5.65e-05,5.69e-05,5.3e-05,5.4e-05,517284.05,28.29
2019-07-30,STRATBTC,5.7e-05,5.78e-05,5.53e-05,5.65e-05,307754.6,17.39
2019-07-29,STRATBTC,5.78e-05,5.79e-05,5.64e-05,5.7e-05,344490.88,19.7
2019-07-28,STRATBTC,5.81e-05,5.91e-05,5.66e-05,5.78e-05,439192.68,25.48
2019-07-27,STRATBTC,6.14e-05,6.16e-05,5.75e-05,5.81e-05,639093.41,37.56
2019-07-26,STRATBTC,6.07e-05,6.3e-05,5.96e-05,6.14e-05,417335.78,25.61
2019-07-25,STRATBTC,5.69e-05,6.25e-05,5.56e-05,6.07e-05,901796.88,53.64
2019-07-24,STRATBTC,5.66e-05,5.77e-05,5.55e-05,5.69e-05,312973.79,17.71
2019-07-23,STRATBTC,5.64e-05,6.01e-05,5.51e-05,5.66e-05,567451.25,32.41
2019-07-22,STRATBTC,5.38e-05,5.7e-05,5.34e-05,5.64e-05,387844.87,21.48
2019-07-21,STRATBTC,5.49e-05,5.53e-05,5.34e-05,5.38e-05,273100.56,14.82
2019-07-20,STRATBTC,5.45e-05,5.61e-05,5.37e-05,5.49e-05,396104.86,21.7
2019-07-19,STRATBTC,5.28e-05,5.48e-05,5.21e-05,5.45e-05,407409.8,21.63
2019-07-18,STRATBTC,5.43e-05,5.45e-05,5.34e-05,5.4e-05,28668.97,1.539
2019-07-17,STRATBTC,5.24e-05,5.62e-05,5.14e-05,5.43e-05,942381.9,50.69
2019-07-16,STRATBTC,5.52e-05,5.63e-05,5.19e-05,5.24e-05,1357764.37,72.79
2019-07-15,STRATBTC,5.81e-05,5.86e-05,5.45e-05,5.52e-05,738451.58,41.22
2019-07-14,STRATBTC,5.99e-05,6.11e-05,5.78e-05,5.81e-05,346791.4,20.5
2019-07-13,STRATBTC,5.9e-05,6.05e-05,5.84e-05,5.99e-05,452849.93,26.97
2019-07-12,STRATBTC,5.77e-05,6.12e-05,5.74e-05,5.9e-05,739308.54,43.94
2019-07-11,STRATBTC,6.17e-05,6.23e-05,5.58e-05,5.77e-05,717765.6,41.74
2019-07-10,STRATBTC,6.4e-05,6.45e-05,5.79e-05,6.17e-05,928204.64,56.44
2019-07-09,STRATBTC,6.77e-05,6.81e-05,6.34e-05,6.4e-05,793798.81,51.58
2019-07-08,STRATBTC,7.52e-05,7.6e-05,6.66e-05,6.77e-05,899577.35,63.74
2019-07-07,STRATBTC,7.33e-05,7.64e-05,7.29e-05,7.52e-05,568807.3,42.44
2019-07-06,STRATBTC,7.49e-05,7.51e-05,7.09e-05,7.33e-05,858157.85,62.58
2019-07-05,STRATBTC,7.57e-05,7.81e-05,7.22e-05,7.49e-05,1374148.66,102.37
2019-07-04,STRATBTC,6.83e-05,8.88e-05,6.72e-05,7.57e-05,6427776.03,503.1
2019-07-03,STRATBTC,7.55e-05,7.58e-05,6.76e-05,6.83e-05,1130339.06,80.46
2019-07-02,STRATBTC,8.17e-05,8.26e-05,7.34e-05,7.55e-05,1275962.66,100.76
2019-07-01,STRATBTC,7.85e-05,8.45e-05,7.83e-05,8.17e-05,910808.19,74.22
2019-06-30,STRATBTC,7.64e-05,8.12e-05,7.38e-05,7.85e-05,810253.74,62.51
2019-06-29,STRATBTC,7.12e-05,7.72e-05,7.07e-05,7.64e-05,665618.57,49.28
2019-06-28,STRATBTC,7.37e-05,7.49e-05,6.99e-05,7.12e-05,616370.35,44.58
2019-06-27,STRATBTC,7.29e-05,7.97e-05,6.91e-05,7.37e-05,1647567.55,120.44
2019-06-26,STRATBTC,8.34e-05,8.35e-05,7.08e-05,7.29e-05,2137438.0,165.43
2019-06-25,STRATBTC,8.82e-05,8.99e-05,8.26e-05,8.34e-05,500717.48,42.85
2019-06-24,STRATBTC,8.88e-05,8.96e-05,8.61e-05,8.82e-05,307231.63,26.97
2019-06-23,STRATBTC,8.98e-05,9.45e-05,8.41e-05,8.88e-05,815541.13,73.48
2019-06-22,STRATBTC,9.08e-05,9.22e-05,8.1e-05,8.98e-05,1118424.11,96.85
2019-06-21,STRATBTC,9.88e-05,9.88e-05,9.01e-05,9.08e-05,759391.22,71.24
2019-06-20,STRATBTC,0.0001054,0.0001069,9.62e-05,9.88e-05,761209.7,77.24
2019-06-19,STRATBTC,0.0001063,0.0001073,0.0001036,0.0001054,376398.18,39.81
2019-06-18,STRATBTC,0.0001061,0.0001073,0.0001049,0.0001063,571025.63,60.39
2019-06-17,STRATBTC,0.0001181,0.0001182,0.0001054,0.0001061,1711534.45,187.52
2019-06-16,STRATBTC,0.0001029,0.0001422,0.0001026,0.0001181,7513657.65,930.31
2019-06-15,STRATBTC,0.0001057,0.0001071,0.000101,0.0001029,561671.26,58.71
2019-06-14,STRATBTC,0.0001131,0.0001138,0.0001025,0.0001057,939903.16,101.62
2019-06-13,STRATBTC,0.000116,0.0001208,0.0001116,0.0001131,798399.32,92.49
2019-06-12,STRATBTC,0.0001192,0.00012,0.0001149,0.000116,801775.66,93.9
2019-06-11,STRATBTC,0.0001205,0.0001219,0.0001177,0.0001192,678998.6,81.31
2019-06-10,STRATBTC,0.0001193,0.000126,0.0001184,0.0001205,1118780.56,136.41
2019-06-09,STRATBTC,0.0001158,0.0001264,0.0001154,0.0001193,1741298.25,209.85
2019-06-08,STRATBTC,0.0001131,0.0001182,0.0001128,0.0001158,765323.78,88.65
2019-06-07,STRATBTC,0.0001126,0.0001148,0.00011,0.0001131,876660.79,98.74
2019-06-06,STRATBTC,0.0001115,0.0001135,0.00011,0.0001126,714669.12,79.81
2019-06-05,STRATBTC,0.0001131,0.0001141,0.0001099,0.0001115,542038.58,60.65
2019-06-04,STRATBTC,0.0001144,0.0001145,0.00011,0.0001131,825653.99,92.87
2019-06-03,STRATBTC,0.0001168,0.0001171,0.0001125,0.0001144,520683.28,59.83
2019-06-02,STRATBTC,0.0001158,0.000118,0.0001143,0.0001168,448759.2,52.19
2019-06-01,STRATBTC,0.0001166,0.0001204,0.000115,0.0001158,666652.37,77.93
2019-05-31,STRATBTC,0.0001147,0.000121,0.0001125,0.0001166,581736.62,67.78
2019-05-30,STRATBTC,0.0001198,0.0001268,0.0001131,0.0001147,1213992.5,145.33
2019-05-29,STRATBTC,0.0001178,0.0001252,0.0001166,0.0001198,1029141.48,124.03
