Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume LTC
2019-06-26 12-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 11-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 10-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 09-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 08-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 07-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 06-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 05-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 04-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 03-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 02-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 01-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26 12-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 11-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 10-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 09-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 08-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 07-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 06-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 05-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 04-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 03-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 02-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 01-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 12-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 11-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 10-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 09-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 08-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 07-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 06-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 05-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 04-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 03-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 02-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 01-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25 12-AM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-24 11-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-24 10-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-24 09-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-24 08-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-24 07-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-24 06-PM,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
