Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume ETH
2019-08-07,XRPETH,0.001376,0.00138,0.001376,0.00138,7.308,0.01009
2019-08-06,XRPETH,0.00138,0.001401,0.001357,0.001376,1079037.32,1494.87
2019-08-05,XRPETH,0.00142,0.00142,0.00138,0.00138,1076962.32,1499.19
2019-08-04,XRPETH,0.001419,0.00147,0.001419,0.001435,79684.45,115.28
2019-08-03,XRPETH,0.001437,0.001437,0.001402,0.001422,124406.35,176.93
2019-08-02,XRPETH,0.001457,0.00146,0.001424,0.001437,149471.6,214.68
2019-08-01,XRPETH,0.001468,0.001497,0.001449,0.001457,104347.39,153.87
2019-07-31,XRPETH,0.001514,0.001514,0.001464,0.001468,171296.58,255.01
2019-07-30,XRPETH,0.001473,0.001528,0.001473,0.001514,211250.1,316.49
2019-07-29,XRPETH,0.001476,0.001482,0.001461,0.001473,80764.08,118.85
2019-07-28,XRPETH,0.001499,0.001513,0.001464,0.001476,172107.1,255.21
2019-07-27,XRPETH,0.001467,0.00151,0.00144,0.001499,181121.89,266.7
2019-07-26,XRPETH,0.001426,0.001488,0.001426,0.001479,87134.7,126.85
2019-07-25,XRPETH,0.001455,0.001468,0.001429,0.00143,161982.11,232.43
2019-07-24,XRPETH,0.001453,0.001502,0.001453,0.001455,101351.54,150.52
2019-07-23,XRPETH,0.001481,0.001486,0.001437,0.001453,92501.56,135.44
2019-07-22,XRPETH,0.001464,0.001493,0.001452,0.001481,276512.43,405.29
2019-07-21,XRPETH,0.001456,0.001483,0.001452,0.001464,250329.27,366.67
2019-07-20,XRPETH,0.001446,0.001475,0.001432,0.001456,195787.53,284.03
2019-07-19,XRPETH,0.001426,0.001457,0.001423,0.001446,137913.19,198.53
2019-07-18,XRPETH,0.001475,0.001497,0.001464,0.00147,426929.94,634.28
2019-07-17,XRPETH,0.001486,0.001541,0.001452,0.001475,2392351.47,3548.88
2019-07-16,XRPETH,0.001368,0.001515,0.001358,0.001486,1315006.54,1918.59
2019-07-15,XRPETH,0.001345,0.001449,0.001342,0.001368,1652341.39,2302.19
2019-07-14,XRPETH,0.001229,0.00135,0.001228,0.001345,3110890.34,4070.58
2019-07-13,XRPETH,0.001249,0.001251,0.001226,0.001229,122962.85,152.42
2019-07-12,XRPETH,0.001224,0.001273,0.001193,0.001249,420196.99,517.12
2019-07-11,XRPETH,0.001248,0.001271,0.001198,0.001224,806545.44,986.22
2019-07-10,XRPETH,0.001278,0.001302,0.001223,0.001248,1513152.96,1904.44
2019-07-09,XRPETH,0.001284,0.001308,0.001266,0.001278,484993.03,618.85
2019-07-08,XRPETH,0.001298,0.001313,0.00128,0.001284,311587.7,402.77
2019-07-07,XRPETH,0.001352,0.00138,0.001279,0.001298,436839.8,573.24
2019-07-06,XRPETH,0.001317,0.001396,0.001307,0.001352,272550.42,366.16
2019-07-05,XRPETH,0.001367,0.001371,0.001303,0.001317,261281.54,345.52
2019-07-04,XRPETH,0.001342,0.001381,0.001329,0.001367,192121.51,258.53
2019-07-03,XRPETH,0.001371,0.001371,0.001338,0.001342,223425.71,301.88
2019-07-02,XRPETH,0.001382,0.001418,0.001358,0.001371,251833.42,350.41
2019-07-01,XRPETH,0.001359,0.001412,0.001345,0.001382,372765.19,516.37
2019-06-30,XRPETH,0.001336,0.001371,0.00132,0.001359,563835.23,762.68
2019-06-29,XRPETH,0.001368,0.001383,0.00132,0.001336,200594.63,272.55
2019-06-28,XRPETH,0.001385,0.001385,0.001337,0.001368,295307.6,400.11
2019-06-27,XRPETH,0.00138,0.001433,0.001301,0.001385,1110270.15,1506.72
2019-06-26,XRPETH,0.001467,0.001499,0.001339,0.00138,1816247.72,2546.24
2019-06-25,XRPETH,0.00153,0.00153,0.001451,0.001467,352596.21,525.26
2019-06-24,XRPETH,0.001519,0.00153,0.001485,0.00153,492322.72,739.7
2019-06-23,XRPETH,0.001533,0.001548,0.001508,0.001519,327735.95,501.38
2019-06-22,XRPETH,0.001505,0.00162,0.001469,0.001533,1031938.23,1587.8
