Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REC,Volume BTC
2019-07-03,RECBTC,7.2e-07,7.2e-07,5.1e-07,5.1e-07,7131.83,0.003815
2019-07-02,RECBTC,7.2e-07,7.2e-07,7.2e-07,7.2e-07,0.0,0.0
2019-07-01,RECBTC,5.5e-07,7.2e-07,5.5e-07,7.2e-07,181.84,0.0001309
2019-06-30,RECBTC,5.5e-07,5.5e-07,5.5e-07,5.5e-07,0.0,0.0
2019-06-29,RECBTC,5.5e-07,5.5e-07,5.5e-07,5.5e-07,0.0,0.0
2019-06-28,RECBTC,7.1e-07,7.4e-07,5.5e-07,5.5e-07,841.47,0.0005657
2019-06-27,RECBTC,6.2e-07,7.1e-07,5.9e-07,7.1e-07,5982.89,0.00363
2019-06-26,RECBTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,3838.75,0.00238
2019-06-25,RECBTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0,0.0
2019-06-24,RECBTC,6.2e-07,6.2e-07,6.2e-07,6.2e-07,0.0,0.0
2019-06-23,RECBTC,6.1e-07,6.2e-07,6.1e-07,6.2e-07,532.82,0.0003304
2019-06-22,RECBTC,8.5e-07,8.5e-07,6.1e-07,6.1e-07,3774.91,0.002303
2019-06-21,RECBTC,6.3e-07,8.5e-07,6.3e-07,8.5e-07,564.92,0.0004071
2019-06-20,RECBTC,6.4e-07,6.4e-07,6.3e-07,6.3e-07,1215.08,0.0007655
2019-06-19,RECBTC,6.4e-07,6.4e-07,6.4e-07,6.4e-07,0.0,0.0
2019-06-18,RECBTC,6.8e-07,6.8e-07,6.4e-07,6.4e-07,1410.92,0.000903
2019-06-17,RECBTC,7.3e-07,7.3e-07,6.8e-07,6.8e-07,621.83,0.0004228
2019-06-16,RECBTC,7.3e-07,7.3e-07,7.3e-07,7.3e-07,0.0,0.0
2019-06-15,RECBTC,7.3e-07,7.3e-07,7.3e-07,7.3e-07,0.0,0.0
2019-06-14,RECBTC,1.02e-06,1.02e-06,7.3e-07,7.3e-07,580.86,0.000424
2019-06-13,RECBTC,7.0e-07,1.02e-06,6.7e-07,1.02e-06,290.0,0.0002433
2019-06-12,RECBTC,1.04e-06,1.04e-06,7.0e-07,7.0e-07,151.12,0.0001058
2019-06-11,RECBTC,1.09e-06,1.09e-06,1.04e-06,1.04e-06,961.54,0.001
