Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume BTC
2019-08-07,LSKBTC,0.0001111,0.0001151,0.0001109,0.0001135,2117.84,0.2382
2019-08-06,LSKBTC,0.0001103,0.0001111,0.0001043,0.0001111,22141.64,2.391
2019-08-05,LSKBTC,0.00012,0.00012,0.0001075,0.0001103,24409.92,2.709
2019-08-04,LSKBTC,0.0001218,0.0001255,0.0001194,0.00012,7364.44,0.8999
2019-08-03,LSKBTC,0.0001273,0.0001283,0.0001207,0.0001218,46512.56,5.672
2019-08-02,LSKBTC,0.0001271,0.00013,0.0001232,0.0001273,15787.24,2.0
2019-08-01,LSKBTC,0.0001385,0.0001411,0.0001257,0.0001271,13321.06,1.743
2019-07-31,LSKBTC,0.0001448,0.0001487,0.0001367,0.0001385,19200.1,2.704
2019-07-30,LSKBTC,0.0001468,0.0001495,0.0001422,0.0001448,7548.71,1.1
2019-07-29,LSKBTC,0.0001452,0.0001502,0.0001433,0.0001468,30520.6,4.427
2019-07-28,LSKBTC,0.0001549,0.0001549,0.0001443,0.0001452,6710.52,0.9997
2019-07-27,LSKBTC,0.0001575,0.0001584,0.0001531,0.0001549,24451.77,3.827
2019-07-26,LSKBTC,0.0001617,0.0001629,0.0001559,0.0001575,10117.66,1.603
2019-07-25,LSKBTC,0.0001635,0.0001656,0.00016,0.0001617,7382.28,1.198
2019-07-24,LSKBTC,0.0001659,0.0001767,0.0001569,0.0001635,30368.59,5.034
2019-07-23,LSKBTC,0.0001475,0.000175,0.0001465,0.0001659,47598.5,7.637
2019-07-22,LSKBTC,0.0001399,0.0001515,0.0001366,0.0001475,22816.17,3.326
2019-07-21,LSKBTC,0.0001399,0.0001442,0.0001372,0.0001399,8060.02,1.134
2019-07-20,LSKBTC,0.0001247,0.0001465,0.0001247,0.0001399,39429.61,5.457
2019-07-19,LSKBTC,0.0001213,0.0001251,0.0001209,0.0001247,4216.95,0.5193
2019-07-18,LSKBTC,0.0001261,0.0001289,0.0001259,0.0001273,2610.09,0.3336
2019-07-17,LSKBTC,0.0001129,0.0001389,0.0001129,0.0001261,45810.57,5.932
2019-07-16,LSKBTC,0.0001158,0.0001203,0.0001106,0.0001129,25246.81,2.902
2019-07-15,LSKBTC,0.0001232,0.0001244,0.0001153,0.0001158,6847.25,0.8174
