Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume SCB,Volume TC
2019-07-03,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-07-02,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-07-01,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-30,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-29,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-28,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-27,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-26,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-25,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-24,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-23,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-22,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-21,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-20,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-19,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-18,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-17,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-16,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-15,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-14,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-13,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-12,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-11,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-10,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-09,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-08,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-07,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-06,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-05,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-04,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-03,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-02,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-06-01,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-31,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-30,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-29,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-28,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-27,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-26,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-25,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-24,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-23,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-22,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-21,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-20,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-19,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-18,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
2019-05-17,SCBTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,0.0,0.0
