Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume PLN
2019-07-03,LTCPLN,450,461,441.05,451,39.88,17897.35
2019-07-02,LTCPLN,473.55,473.55,426.01,450,80.51,35255.7
2019-07-01,LTCPLN,460,474.98,430,473.55,133.13,60328.43
2019-06-30,LTCPLN,509.9,510,460,460,184.23,88039.53
2019-06-29,LTCPLN,440.34,510,432.01,509.9,197.27,95508.66
2019-06-28,LTCPLN,425,462.94,416,440.34,204.25,89929.12
2019-06-27,LTCPLN,465,487.67,387.91,425,775.83,334801.5
2019-06-26,LTCPLN,512.97,512.97,461.13,465,615.58,307431.33
2019-06-25,LTCPLN,504.01,514,492,512.97,316.23,160980.38
2019-06-24,LTCPLN,513.09,515.97,501,504.01,109.98,55914.2
2019-06-23,LTCPLN,519,530,511.01,513.09,73.38,38000.5
2019-06-22,LTCPLN,519.27,544.12,516.1,519,124.01,65488.92
2019-06-21,LTCPLN,522.91,535,512.21,519.27,145.05,76084.52
2019-06-20,LTCPLN,522,526.06,510,522.91,74.12,38290.51
2019-06-19,LTCPLN,509,540,508.5,522,140.03,73737.81
2019-06-18,LTCPLN,518.94,520,501,509,192.07,97263.29
2019-06-17,LTCPLN,505.2,525,505,518.94,59.41,30599.81
2019-06-16,LTCPLN,530,532.99,505.1,505.2,58.99,30394.99
2019-06-15,LTCPLN,509.97,530,501.2,530,57.94,30164.54
2019-06-14,LTCPLN,503,520,484.01,509.97,241.82,120961.41
2019-06-13,LTCPLN,517.9,525,499,503,223.86,114365.01
2019-06-12,LTCPLN,502,545,502,517.9,295.38,155057.09
2019-06-11,LTCPLN,494.13,518,475.68,502,320.26,157960.08
2019-06-10,LTCPLN,429.97,494.13,429.97,494.13,279.7,130630.75
2019-06-09,LTCPLN,449,449,429.97,429.97,128.38,55944.91
2019-06-08,LTCPLN,443.56,449,426,449,42.19,18464.39
2019-06-07,LTCPLN,424.02,454,420,443.56,216.17,94320.51
2019-06-06,LTCPLN,400,424.02,390,424.02,58.73,23687.83
2019-06-05,LTCPLN,390.35,404,380,400,91.36,35957.18
2019-06-04,LTCPLN,405.5,415,380,390.35,389.72,153661.07
2019-06-03,LTCPLN,440.21,448,405.5,405.5,214.91,92735.2
2019-06-02,LTCPLN,437,450,437,440.21,53.68,23913.32
2019-06-01,LTCPLN,442,449.9,428.1,437,47.73,20775.26
2019-05-31,LTCPLN,438,444,412.1,442,102.31,43882.29
2019-05-30,LTCPLN,442,468.99,403.8,438,810.08,356991.77
2019-05-29,LTCPLN,440.06,457.63,425,442,223.17,97415.31
2019-05-28,LTCPLN,451,451,430.01,440.06,121.39,53515.6
2019-05-27,LTCPLN,429,464.4,426,451,484.3,213660.42
2019-05-26,LTCPLN,390.58,431,376.9,429,694.5,279444.28
2019-05-25,LTCPLN,387,396,374.68,390.58,275.79,106775.31
2019-05-24,LTCPLN,340,394.9,340,387,880.3,324791.37
2019-05-23,LTCPLN,344,356.9,335.51,340,156.75,53712.87
2019-05-22,LTCPLN,355,364.99,343,344,167.54,58743.24
2019-05-21,LTCPLN,359.72,360,348.77,355,84.9,30054.34
2019-05-20,LTCPLN,362.9,365.33,340.01,359.72,252.09,89334.78
2019-05-19,LTCPLN,341.94,373.91,341.94,362.9,201.23,73209.13
2019-05-18,LTCPLN,344.76,350,332.77,341.94,202.25,68583.29
2019-05-17,LTCPLN,361.9,376.9,331.75,344.76,488.43,168308.98
2019-05-16,LTCPLN,389.74,400,351,361.9,461.78,172314.34
2019-05-15,LTCPLN,348,400,344.1,389.74,555.72,206455.23
2019-05-14,LTCPLN,336,358,331.78,348,582.23,202064.32
2019-05-13,LTCPLN,317,353,317,336,464.21,158347.45
2019-05-12,LTCPLN,321.67,358,315.67,317,317.18,102423.1
