Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume AUSD
2019-07-03,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-07-02,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-07-01,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-30,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-29,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-28,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-27,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-26,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-25,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-24,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-23,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-22,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-21,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-20,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-19,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-18,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-17,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-16,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-15,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-14,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-13,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-12,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-11,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-10,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-09,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-08,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-07,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-06,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-05,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-04,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-03,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-02,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-06-01,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-31,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-30,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-29,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-28,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-27,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-26,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-25,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-24,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-23,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-22,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-21,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-20,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
2019-05-19,LIZAUSD,3333333.33,3333333.33,3333333.33,3333333.33,0.0,0.0
