Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume ETH
2019-08-07,BTGETH,0.07522,0.0755,0.074,0.07475,55.28,4.149
2019-08-06,BTGETH,0.07785,0.0794,0.07476,0.07522,871.79,66.93
2019-08-05,BTGETH,0.079,0.08257,0.0754,0.07785,4114.81,328.12
2019-08-04,BTGETH,0.08094,0.08176,0.0787,0.079,1354.03,108.22
2019-08-03,BTGETH,0.08109,0.08285,0.08,0.08094,801.6,65.27
2019-08-02,BTGETH,0.08249,0.08365,0.0802,0.08109,1349.1,110.26
2019-08-01,BTGETH,0.08573,0.09,0.08103,0.08249,1426.08,121.03
2019-07-31,BTGETH,0.08679,0.08772,0.08377,0.08573,1301.24,111.5
2019-07-30,BTGETH,0.08791,0.08935,0.085,0.08679,2031.9,178.72
2019-07-29,BTGETH,0.09208,0.09244,0.085,0.08791,2844.93,253.49
2019-07-28,BTGETH,0.09332,0.09395,0.09003,0.09208,2544.34,232.01
2019-07-27,BTGETH,0.09349,0.09434,0.09183,0.09332,1529.08,142.39
2019-07-26,BTGETH,0.09684,0.09775,0.091,0.09349,2189.27,204.41
2019-07-25,BTGETH,0.101,0.1013,0.09536,0.09684,2465.4,240.59
2019-07-24,BTGETH,0.1047,0.1071,0.09964,0.101,4596.83,479.25
2019-07-23,BTGETH,0.1195,0.1197,0.103,0.1047,4501.57,481.92
2019-07-22,BTGETH,0.119,0.1211,0.1168,0.1195,843.97,100.1
2019-07-21,BTGETH,0.1222,0.1234,0.1176,0.119,909.71,109.25
2019-07-20,BTGETH,0.1177,0.1268,0.1144,0.1222,2217.07,265.56
2019-07-19,BTGETH,0.1201,0.1273,0.1163,0.1177,2261.14,274.53
2019-07-18,BTGETH,0.1255,0.1282,0.1254,0.1259,21.41,2.699
2019-07-17,BTGETH,0.1306,0.1341,0.1249,0.1255,2889.56,371.71
2019-07-16,BTGETH,0.1223,0.1354,0.1202,0.1306,2677.0,340.08
2019-07-15,BTGETH,0.12,0.1288,0.1159,0.1223,2881.66,350.51
2019-07-14,BTGETH,0.1046,0.1209,0.1045,0.12,2427.62,278.32
2019-07-13,BTGETH,0.1095,0.1143,0.1039,0.1046,1953.03,210.03
2019-07-12,BTGETH,0.1093,0.116,0.1055,0.1095,2481.62,276.52
2019-07-11,BTGETH,0.09945,0.1109,0.09879,0.1093,3194.4,329.97
2019-07-10,BTGETH,0.09485,0.103,0.09277,0.09945,4572.56,452.2
2019-07-09,BTGETH,0.08871,0.0983,0.08845,0.09485,3703.77,344.03
2019-07-08,BTGETH,0.08705,0.08994,0.08538,0.08871,523.84,45.95
2019-07-07,BTGETH,0.0912,0.09275,0.08535,0.08705,764.36,67.54
2019-07-06,BTGETH,0.0919,0.0923,0.08986,0.0912,595.88,54.37
2019-07-05,BTGETH,0.096,0.09656,0.09064,0.0919,1042.12,97.69
