Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume USD
2019-07-03,XVGUSD,0.00827,0.008741,0.008268,0.008739,12283.24,106.79
2019-07-02,XVGUSD,0.008239,0.008531,0.008036,0.00827,68497.17,561.48
2019-07-01,XVGUSD,0.008518,0.008984,0.008239,0.008239,18841.89,160.98
2019-06-30,XVGUSD,0.008462,0.009021,0.008462,0.008518,4016.94,34.62
2019-06-29,XVGUSD,0.0089,0.00902,0.00846,0.008462,15657.19,134.91
2019-06-28,XVGUSD,0.008056,0.009,0.008056,0.0089,93287.36,787.18
2019-06-27,XVGUSD,0.009407,0.009699,0.008056,0.008056,137549.2,1246.43
2019-06-26,XVGUSD,0.009396,0.01036,0.009317,0.009407,151961.01,1485.53
2019-06-25,XVGUSD,0.009331,0.009894,0.009276,0.009396,83461.16,797.71
2019-06-24,XVGUSD,0.009663,0.009894,0.009256,0.009331,130238.62,1226.79
2019-06-23,XVGUSD,0.009406,0.01084,0.009361,0.009663,130942.81,1320.61
2019-06-22,XVGUSD,0.00916,0.009778,0.00914,0.009406,153380.13,1456.89
2019-06-21,XVGUSD,0.009161,0.009578,0.00916,0.00916,30544.99,281.52
2019-06-20,XVGUSD,0.00959,0.00965,0.009161,0.009161,70680.73,669.3
2019-06-19,XVGUSD,0.00944,0.00959,0.009154,0.00959,15731.54,146.56
2019-06-18,XVGUSD,0.009329,0.00944,0.009154,0.00944,22348.9,208.79
2019-06-17,XVGUSD,0.0095,0.0095,0.009215,0.009329,48489.48,452.12
2019-06-16,XVGUSD,0.009384,0.0095,0.0092,0.0095,76525.01,717.85
2019-06-15,XVGUSD,0.0094,0.00965,0.00915,0.009384,31805.47,302.06
2019-06-14,XVGUSD,0.009663,0.009663,0.0091,0.0094,56914.46,527.46
2019-06-13,XVGUSD,0.009832,0.009832,0.009307,0.009663,99099.92,949.97
2019-06-12,XVGUSD,0.009657,0.01003,0.009397,0.009832,90348.02,864.73
2019-06-11,XVGUSD,0.009388,0.01105,0.009132,0.009657,197849.71,1851.76
2019-06-10,XVGUSD,0.008922,0.0096,0.008847,0.009388,465483.16,4299.41
2019-06-09,XVGUSD,0.009411,0.00957,0.008922,0.008922,37131.47,341.42
2019-06-08,XVGUSD,0.009619,0.009731,0.009264,0.009411,40983.53,384.54
2019-06-07,XVGUSD,0.00929,0.009998,0.009165,0.009619,214879.4,2057.91
2019-06-06,XVGUSD,0.008835,0.009508,0.008772,0.00929,147084.0,1316.63
2019-06-05,XVGUSD,0.008768,0.009575,0.008717,0.008835,226476.3,2019.39
2019-06-04,XVGUSD,0.0097,0.0097,0.008713,0.008768,111583.98,1001.73
2019-06-03,XVGUSD,0.01071,0.01071,0.0097,0.0097,13103.11,130.52
2019-06-02,XVGUSD,0.01035,0.01071,0.01007,0.01071,59396.71,612.63
2019-06-01,XVGUSD,0.01021,0.011,0.01,0.01035,67905.13,698.76
2019-05-31,XVGUSD,0.01019,0.01116,0.0096,0.01021,306518.05,3310.26
2019-05-30,XVGUSD,0.01069,0.0109,0.01019,0.01019,109275.64,1160.62
2019-05-29,XVGUSD,0.0109,0.0109,0.01021,0.01069,60098.84,630.65
2019-05-28,XVGUSD,0.01109,0.01109,0.01044,0.0109,39316.92,422.35
2019-05-27,XVGUSD,0.01157,0.01159,0.01065,0.01109,30281.4,328.32
2019-05-26,XVGUSD,0.01081,0.01157,0.01042,0.01157,26314.78,283.62
2019-05-25,XVGUSD,0.01067,0.01139,0.01067,0.01081,52280.61,571.99
2019-05-24,XVGUSD,0.01109,0.0116,0.01067,0.01067,21068.83,233.15
2019-05-23,XVGUSD,0.01097,0.01165,0.01042,0.01109,130961.38,1445.1
2019-05-22,XVGUSD,0.01041,0.01165,0.0104,0.01097,78707.96,865.08
2019-05-21,XVGUSD,0.01032,0.011,0.01001,0.01041,97387.75,1038.63
2019-05-20,XVGUSD,0.01096,0.01107,0.01021,0.01032,83505.13,887.65
2019-05-19,XVGUSD,0.0093,0.01119,0.008594,0.01096,79805.01,818.47
2019-05-18,XVGUSD,0.0098,0.00996,0.009121,0.0093,107355.31,1015.29
2019-05-17,XVGUSD,0.0115,0.0115,0.0086,0.0098,830649.03,7791.73
2019-05-16,XVGUSD,0.0103,0.01221,0.009408,0.0115,263282.66,2934.62
2019-05-15,XVGUSD,0.008089,0.0103,0.007556,0.0103,346901.44,3114.04
2019-05-14,XVGUSD,0.0072,0.008089,0.0072,0.008089,154760.7,1205.37
2019-05-13,XVGUSD,0.007174,0.008067,0.007174,0.0072,44245.59,325.46
2019-05-12,XVGUSD,0.00765,0.00775,0.007157,0.007174,300261.83,2243.31
