Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume HVN,Volume BTC
2018-07-03 05-PM,HVNBTC,6.48e-06,6.48e-06,6.43e-06,6.48e-06,13250.0,0.08581
2018-07-03 04-PM,HVNBTC,6.45e-06,6.48e-06,6.41e-06,6.48e-06,52660.0,0.3412
2018-07-03 03-PM,HVNBTC,6.4e-06,6.48e-06,6.4e-06,6.45e-06,56660.0,0.3631
2018-07-03 02-PM,HVNBTC,6.48e-06,6.51e-06,6.25e-06,6.4e-06,9170.0,0.05871
2018-07-03 01-PM,HVNBTC,6.29e-06,6.55e-06,6.29e-06,6.42e-06,28640.0,0.1851
2018-07-03 12-PM,HVNBTC,6.42e-06,6.44e-06,6.2e-06,6.29e-06,37380.0,0.237
2018-07-03 11-AM,HVNBTC,6.44e-06,6.55e-06,6.41e-06,6.42e-06,21410.0,0.1389
2018-07-03 10-AM,HVNBTC,6.5e-06,6.5e-06,6.42e-06,6.44e-06,12670.0,0.08141
2018-07-03 09-AM,HVNBTC,6.47e-06,6.5e-06,6.47e-06,6.5e-06,63480.0,0.4121
2018-07-03 08-AM,HVNBTC,6.32e-06,6.47e-06,6.32e-06,6.47e-06,40.0,0.0002588
2018-07-03 07-AM,HVNBTC,6.32e-06,6.32e-06,6.32e-06,6.32e-06,0.0,0.0
2018-07-03 06-AM,HVNBTC,6.48e-06,6.48e-06,6.31e-06,6.32e-06,1820.0,0.01162
2018-07-03 05-AM,HVNBTC,6.48e-06,6.48e-06,6.48e-06,6.48e-06,0.0,0.0
2018-07-03 04-AM,HVNBTC,6.48e-06,6.48e-06,6.48e-06,6.48e-06,0.0,0.0
2018-07-03 03-AM,HVNBTC,6.19e-06,6.48e-06,6.11e-06,6.48e-06,23060.0,0.1467
2018-07-03 02-AM,HVNBTC,6.19e-06,6.19e-06,6.19e-06,6.19e-06,0.0,0.0
2018-07-03 01-AM,HVNBTC,6.19e-06,6.19e-06,6.19e-06,6.19e-06,0.0,0.0
2018-07-03 12-AM,HVNBTC,6.19e-06,6.19e-06,6.19e-06,6.19e-06,0.0,0.0
2018-07-02 11-PM,HVNBTC,6.32e-06,6.32e-06,6.15e-06,6.19e-06,4370.0,0.02721
2018-07-02 10-PM,HVNBTC,6.32e-06,6.32e-06,6.32e-06,6.32e-06,0.0,0.0
2018-07-02 09-PM,HVNBTC,6.19e-06,6.37e-06,6.19e-06,6.32e-06,7260.0,0.04595
2018-07-02 08-PM,HVNBTC,6.15e-06,6.23e-06,6.11e-06,6.19e-06,3270.0,0.02028
2018-07-02 07-PM,HVNBTC,6.13e-06,6.15e-06,6.04e-06,6.15e-06,5820.0,0.03571
2018-07-02 06-PM,HVNBTC,6.13e-06,6.13e-06,6.13e-06,6.13e-06,0.0,0.0
2018-07-02 05-PM,HVNBTC,6.23e-06,6.23e-06,6.13e-06,6.13e-06,9400.0,0.05776
2018-07-02 04-PM,HVNBTC,6.23e-06,6.23e-06,6.23e-06,6.23e-06,0.0,0.0
2018-07-02 03-PM,HVNBTC,6.18e-06,6.23e-06,6.17e-06,6.23e-06,110.0,0.0006827
2018-07-02 02-PM,HVNBTC,6.18e-06,6.18e-06,6.18e-06,6.18e-06,0.0,0.0
2018-07-02 01-PM,HVNBTC,6.04e-06,6.35e-06,5.9e-06,6.18e-06,3036250.0,18.91
2018-07-02 12-PM,HVNBTC,6.07e-06,6.26e-06,6.03e-06,6.04e-06,250.0,0.001513
2018-07-02 11-AM,HVNBTC,6.26e-06,6.26e-06,6.07e-06,6.07e-06,20.0,0.0001217
2018-07-02 10-AM,HVNBTC,6.26e-06,6.26e-06,6.26e-06,6.26e-06,0.0,0.0
2018-07-02 09-AM,HVNBTC,6.25e-06,6.26e-06,6.25e-06,6.26e-06,10.0,6.26e-05
2018-07-02 08-AM,HVNBTC,6.25e-06,6.25e-06,6.25e-06,6.25e-06,0.0,0.0
2018-07-02 07-AM,HVNBTC,5.92e-06,6.25e-06,5.92e-06,6.25e-06,730.0,0.004457
2018-07-02 06-AM,HVNBTC,5.9e-06,6.03e-06,5.9e-06,5.92e-06,170.0,0.001024
2018-07-02 05-AM,HVNBTC,6.05e-06,6.05e-06,5.9e-06,5.9e-06,50.0,0.0002963
2018-07-02 04-AM,HVNBTC,6.08e-06,6.08e-06,6.05e-06,6.05e-06,30.0,0.0001815
2018-07-02 03-AM,HVNBTC,6.08e-06,6.08e-06,6.08e-06,6.08e-06,0.0,0.0
2018-07-02 02-AM,HVNBTC,6.08e-06,6.08e-06,6.08e-06,6.08e-06,0.0,0.0
2018-07-02 01-AM,HVNBTC,6.0e-06,6.08e-06,5.88e-06,6.08e-06,15010.0,0.08989
2018-07-02 12-AM,HVNBTC,6.32e-06,6.32e-06,6.0e-06,6.0e-06,20530.0,0.1239
2018-07-01 11-PM,HVNBTC,6.25e-06,6.49e-06,6.04e-06,6.32e-06,15940.0,0.09939
2018-07-01 10-PM,HVNBTC,6.25e-06,6.25e-06,6.25e-06,6.25e-06,0.0,0.0
2018-07-01 09-PM,HVNBTC,6.25e-06,6.25e-06,6.25e-06,6.25e-06,0.0,0.0
2018-07-01 08-PM,HVNBTC,6.13e-06,6.25e-06,6.04e-06,6.25e-06,11590.0,0.07047
2018-07-01 07-PM,HVNBTC,6.13e-06,6.13e-06,6.13e-06,6.13e-06,0.0,0.0
2018-07-01 06-PM,HVNBTC,6.05e-06,6.61e-06,6.05e-06,6.13e-06,21030.0,0.1338
2018-07-01 05-PM,HVNBTC,6.05e-06,6.05e-06,6.05e-06,6.05e-06,0.0,0.0
2018-07-01 04-PM,HVNBTC,6.05e-06,6.05e-06,6.05e-06,6.05e-06,7690.0,0.04652
2018-07-01 03-PM,HVNBTC,6.05e-06,6.06e-06,6.05e-06,6.05e-06,700.0,0.004237
2018-07-01 02-PM,HVNBTC,6.18e-06,6.18e-06,6.05e-06,6.05e-06,170.0,0.001028
2018-07-01 01-PM,HVNBTC,6.04e-06,6.18e-06,6.04e-06,6.18e-06,2440.0,0.01508
2018-07-01 12-PM,HVNBTC,6.06e-06,6.11e-06,6.04e-06,6.04e-06,41410.0,0.2511
2018-07-01 11-AM,HVNBTC,6.34e-06,6.34e-06,6.06e-06,6.06e-06,10640.0,0.06478
2018-07-01 10-AM,HVNBTC,6.36e-06,6.36e-06,6.26e-06,6.34e-06,1110.0,0.007055
2018-07-01 09-AM,HVNBTC,6.31e-06,6.37e-06,6.31e-06,6.36e-06,1540.0,0.009804
2018-07-01 08-AM,HVNBTC,6.31e-06,6.31e-06,6.31e-06,6.31e-06,20.0,0.0001262
2018-07-01 07-AM,HVNBTC,6.16e-06,6.31e-06,6.16e-06,6.31e-06,10.0,6.31e-05
2018-07-01 06-AM,HVNBTC,6.16e-06,6.16e-06,6.16e-06,6.16e-06,0.0,0.0
2018-07-01 05-AM,HVNBTC,6.16e-06,6.16e-06,6.16e-06,6.16e-06,0.0,0.0
2018-07-01 04-AM,HVNBTC,6.35e-06,6.36e-06,6.16e-06,6.16e-06,1020.0,0.006437
2018-07-01 03-AM,HVNBTC,6.36e-06,6.36e-06,6.35e-06,6.35e-06,10.0,6.35e-05
2018-07-01 02-AM,HVNBTC,6.35e-06,6.36e-06,6.35e-06,6.36e-06,50.0,0.000318
2018-07-01 01-AM,HVNBTC,6.35e-06,6.37e-06,6.34e-06,6.35e-06,650.0,0.004128
2018-07-01 12-AM,HVNBTC,6.04e-06,6.6e-06,6.04e-06,6.35e-06,13200.0,0.08637
2018-06-30 11-PM,HVNBTC,6.11e-06,6.11e-06,6.04e-06,6.04e-06,60.0,0.000363
2018-06-30 10-PM,HVNBTC,6.11e-06,6.11e-06,6.11e-06,6.11e-06,0.0,0.0
2018-06-30 09-PM,HVNBTC,6.17e-06,6.26e-06,6.11e-06,6.11e-06,10080.0,0.06161
2018-06-30 08-PM,HVNBTC,6.02e-06,6.17e-06,6.02e-06,6.17e-06,40.0,0.0002466
2018-06-30 07-PM,HVNBTC,6.22e-06,6.22e-06,5.96e-06,6.02e-06,1030.0,0.00622
2018-06-30 06-PM,HVNBTC,6.32e-06,6.64e-06,5.9e-06,6.22e-06,40240.0,0.2576
2018-06-30 05-PM,HVNBTC,6.3e-06,6.32e-06,5.91e-06,6.32e-06,18840.0,0.1161
2018-06-30 04-PM,HVNBTC,6.36e-06,6.39e-06,6.3e-06,6.3e-06,55870.0,0.355
2018-06-30 03-PM,HVNBTC,6.52e-06,6.66e-06,6.36e-06,6.36e-06,13960.0,0.09236
2018-06-30 02-PM,HVNBTC,6.63e-06,6.64e-06,6.31e-06,6.52e-06,20550.0,0.1362
2018-06-30 01-PM,HVNBTC,6.6e-06,6.63e-06,6.3e-06,6.63e-06,12071520.0,78.46
2018-06-30 12-PM,HVNBTC,6.24e-06,6.66e-06,6.11e-06,6.6e-06,155050.0,0.9849
2018-06-30 11-AM,HVNBTC,5.91e-06,6.42e-06,5.91e-06,6.24e-06,53470.0,0.338
2018-06-30 10-AM,HVNBTC,5.98e-06,5.98e-06,5.91e-06,5.91e-06,870.0,0.005144
2018-06-30 09-AM,HVNBTC,5.93e-06,5.99e-06,5.9e-06,5.98e-06,52640.0,0.3147
2018-06-30 08-AM,HVNBTC,5.97e-06,6.12e-06,5.92e-06,5.93e-06,1430.0,0.008588
2018-06-30 07-AM,HVNBTC,6.13e-06,6.4e-06,5.91e-06,5.97e-06,72420.0,0.4478
2018-06-30 06-AM,HVNBTC,5.88e-06,6.13e-06,5.88e-06,6.13e-06,990.0,0.006046
2018-06-30 05-AM,HVNBTC,5.88e-06,5.88e-06,5.88e-06,5.88e-06,0.0,0.0
2018-06-30 04-AM,HVNBTC,5.81e-06,5.88e-06,5.81e-06,5.88e-06,130.0,0.0007644
2018-06-30 03-AM,HVNBTC,5.66e-06,6.03e-06,5.66e-06,5.81e-06,76980.0,0.4523
2018-06-30 02-AM,HVNBTC,5.66e-06,5.75e-06,5.66e-06,5.66e-06,145460.0,0.8293
2018-06-30 01-AM,HVNBTC,5.62e-06,5.68e-06,5.62e-06,5.66e-06,4000.0,0.02264
2018-06-30 12-AM,HVNBTC,5.62e-06,5.62e-06,5.62e-06,5.62e-06,0.0,0.0
2018-06-29 11-PM,HVNBTC,5.67e-06,5.8e-06,5.62e-06,5.62e-06,30650.0,0.1748
2018-06-29 10-PM,HVNBTC,5.65e-06,5.67e-06,5.65e-06,5.67e-06,200.0,0.001134
2018-06-29 09-PM,HVNBTC,5.68e-06,5.78e-06,5.64e-06,5.65e-06,32940.0,0.1867
2018-06-29 08-PM,HVNBTC,5.65e-06,5.68e-06,5.59e-06,5.68e-06,7720.0,0.04328
2018-06-29 07-PM,HVNBTC,5.6e-06,5.65e-06,5.6e-06,5.65e-06,35880.0,0.2012
2018-06-29 06-PM,HVNBTC,5.66e-06,5.66e-06,5.59e-06,5.6e-06,69830.0,0.393
2018-06-29 05-PM,HVNBTC,5.89e-06,5.89e-06,5.58e-06,5.66e-06,342590.0,1.93
2018-06-29 04-PM,HVNBTC,5.9e-06,5.96e-06,5.85e-06,5.89e-06,20280.0,0.1191
2018-06-29 03-PM,HVNBTC,6.12e-06,6.16e-06,5.6e-06,5.9e-06,204230.0,1.2
2018-06-29 02-PM,HVNBTC,6.18e-06,6.2e-06,6.12e-06,6.12e-06,7400.0,0.04537
2018-06-29 01-PM,HVNBTC,6.34e-06,6.34e-06,6.04e-06,6.18e-06,196660.0,1.23
2018-06-29 12-PM,HVNBTC,6.34e-06,6.34e-06,6.33e-06,6.34e-06,19310.0,0.1224
2018-06-29 11-AM,HVNBTC,6.33e-06,6.34e-06,6.33e-06,6.34e-06,11240.0,0.07126
2018-06-29 10-AM,HVNBTC,6.37e-06,6.4e-06,6.33e-06,6.33e-06,1120.0,0.007164
2018-06-29 09-AM,HVNBTC,6.46e-06,6.46e-06,6.35e-06,6.37e-06,2590.0,0.01647
2018-06-29 08-AM,HVNBTC,6.4e-06,6.46e-06,6.4e-06,6.46e-06,40.0,0.0002584
2018-06-29 07-AM,HVNBTC,6.43e-06,6.5e-06,6.4e-06,6.4e-06,107700.0,0.6913
2018-06-29 06-AM,HVNBTC,6.64e-06,6.64e-06,6.36e-06,6.43e-06,10810.0,0.06962
2018-06-29 05-AM,HVNBTC,6.67e-06,6.67e-06,6.49e-06,6.64e-06,3180.0,0.02102
2018-06-29 04-AM,HVNBTC,6.51e-06,6.67e-06,6.51e-06,6.67e-06,52220.0,0.3457
2018-06-29 03-AM,HVNBTC,6.43e-06,6.51e-06,6.43e-06,6.51e-06,1610.0,0.01039
2018-06-29 02-AM,HVNBTC,6.44e-06,6.44e-06,6.43e-06,6.43e-06,10040.0,0.06456
2018-06-29 01-AM,HVNBTC,6.35e-06,6.44e-06,6.35e-06,6.44e-06,10550.0,0.06784
2018-06-29 12-AM,HVNBTC,6.4e-06,6.4e-06,6.35e-06,6.35e-06,1840.0,0.01168
2018-06-28 11-PM,HVNBTC,6.47e-06,6.47e-06,6.38e-06,6.4e-06,1880.0,0.01202
2018-06-28 10-PM,HVNBTC,6.69e-06,6.69e-06,6.3e-06,6.47e-06,249000.0,1.6
2018-06-28 09-PM,HVNBTC,6.75e-06,6.75e-06,6.51e-06,6.69e-06,45690.0,0.3012
2018-06-28 08-PM,HVNBTC,6.87e-06,6.9e-06,6.75e-06,6.75e-06,65410.0,0.4494
2018-06-28 07-PM,HVNBTC,6.85e-06,6.87e-06,6.85e-06,6.87e-06,1840.0,0.01264
2018-06-28 06-PM,HVNBTC,6.85e-06,6.86e-06,6.85e-06,6.85e-06,4000.0,0.0274
2018-06-28 05-PM,HVNBTC,6.87e-06,6.87e-06,6.85e-06,6.85e-06,7550.0,0.05182
2018-06-28 04-PM,HVNBTC,6.9e-06,6.94e-06,6.87e-06,6.87e-06,4200.0,0.02888
2018-06-28 03-PM,HVNBTC,6.94e-06,6.94e-06,6.9e-06,6.9e-06,4910.0,0.03391
2018-06-28 02-PM,HVNBTC,7.01e-06,7.01e-06,6.94e-06,6.94e-06,570.0,0.003956
2018-06-28 01-PM,HVNBTC,7.03e-06,7.03e-06,7.01e-06,7.01e-06,40.0,0.0002808
2018-06-28 12-PM,HVNBTC,7.01e-06,7.03e-06,7.01e-06,7.03e-06,260.0,0.001828
2018-06-28 11-AM,HVNBTC,7.15e-06,7.15e-06,6.9e-06,7.01e-06,10810.0,0.07581
2018-06-28 10-AM,HVNBTC,7.01e-06,7.15e-06,6.98e-06,7.15e-06,15210.0,0.1077
2018-06-28 09-AM,HVNBTC,7.0e-06,7.01e-06,6.85e-06,7.01e-06,630.0,0.004318
2018-06-28 08-AM,HVNBTC,7.0e-06,7.0e-06,7.0e-06,7.0e-06,0.0,0.0
2018-06-28 07-AM,HVNBTC,6.82e-06,7.0e-06,6.82e-06,7.0e-06,59890.0,0.4184
2018-06-28 06-AM,HVNBTC,6.69e-06,6.82e-06,6.69e-06,6.82e-06,2080.0,0.0141
2018-06-28 05-AM,HVNBTC,6.69e-06,6.69e-06,6.69e-06,6.69e-06,0.0,0.0
2018-06-28 04-AM,HVNBTC,6.69e-06,6.69e-06,6.69e-06,6.69e-06,0.0,0.0
2018-06-28 03-AM,HVNBTC,6.69e-06,6.69e-06,6.69e-06,6.69e-06,0.0,0.0
2018-06-28 02-AM,HVNBTC,6.58e-06,6.69e-06,6.58e-06,6.69e-06,19390.0,0.1296
2018-06-28 01-AM,HVNBTC,6.77e-06,6.77e-06,6.58e-06,6.58e-06,50000.0,0.3324
2018-06-28 12-AM,HVNBTC,6.77e-06,6.77e-06,6.77e-06,6.77e-06,0.0,0.0
2018-06-27 11-PM,HVNBTC,6.75e-06,6.77e-06,6.75e-06,6.77e-06,2440.0,0.0165
2018-06-27 10-PM,HVNBTC,6.75e-06,6.75e-06,6.69e-06,6.75e-06,4500.0,0.03011
2018-06-27 09-PM,HVNBTC,6.74e-06,6.75e-06,6.69e-06,6.75e-06,9680.0,0.06485
2018-06-27 08-PM,HVNBTC,6.74e-06,6.89e-06,6.74e-06,6.74e-06,19060.0,0.1286
2018-06-27 07-PM,HVNBTC,6.93e-06,6.95e-06,6.74e-06,6.74e-06,9110.0,0.062
