Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume PLN
2019-07-01 03-PM,LTCPLN,444,450,435,436,21.21,9319.06
2019-07-01 02-PM,LTCPLN,450,461,444,444,9.374,4238.0
2019-07-01 01-PM,LTCPLN,444,455.46,444,450,0.5296,237.92
2019-07-01 12-PM,LTCPLN,456.81,456.81,442,444,5.01,2223.61
2019-07-01 11-AM,LTCPLN,462,474.98,456.81,456.81,4.162,1968.68
2019-07-01 10-AM,LTCPLN,472.78,474.96,462,462,26.77,12579.41
2019-07-01 09-AM,LTCPLN,470,472.96,470,472.78,1.18,558.07
2019-07-01 08-AM,LTCPLN,462.93,470,462.93,470,0.15,69.89
2019-07-01 07-AM,LTCPLN,460.64,463.17,460.64,462.93,12.53,5802.16
2019-07-01 06-AM,LTCPLN,460.64,460.64,460.64,460.64,0.0,0.0
2019-07-01 05-AM,LTCPLN,460,460.64,460,460.64,1.794,826.39
2019-07-01 04-AM,LTCPLN,460,460,460,460,0.0,0.0
2019-07-01 03-AM,LTCPLN,460,460,460,460,0.0,0.0
2019-07-01 02-AM,LTCPLN,460,460,460,460,0.0,0.0
2019-07-01 01-AM,LTCPLN,460,460,460,460,0.0,0.0
2019-07-01 12-AM,LTCPLN,460,460,460,460,0.0,0.0
2019-06-30 11-PM,LTCPLN,460,460,460,460,0.0,0.0
2019-06-30 10-PM,LTCPLN,481.58,481.58,460,460,56.55,26023.34
2019-06-30 09-PM,LTCPLN,496,496,481.57,481.58,8.686,4182.87
2019-06-30 08-PM,LTCPLN,502.91,502.91,496,496,0.01226,6.079
2019-06-30 07-PM,LTCPLN,502.91,502.91,502.91,502.91,0.0,0.0
2019-06-30 06-PM,LTCPLN,502.91,502.91,502.91,502.91,0.0,0.0
2019-06-30 05-PM,LTCPLN,467.09,502.95,467.09,502.91,6.259,3148.02
2019-06-30 04-PM,LTCPLN,466.14,467.09,466.14,467.09,8.494,3967.68
2019-06-30 03-PM,LTCPLN,466.14,466.14,466.14,466.14,0.0,0.0
2019-06-30 02-PM,LTCPLN,491,495,466.14,466.14,48.31,23074.77
2019-06-30 01-PM,LTCPLN,508.45,508.45,491,491,0.0154,7.561
2019-06-30 12-PM,LTCPLN,485.03,508.73,485.03,508.45,10.06,4968.19
2019-06-30 11-AM,LTCPLN,490.02,490.02,485.03,485.03,5.969,2904.07
2019-06-30 10-AM,LTCPLN,495.23,495.23,490.02,490.02,14.24,6976.85
2019-06-30 09-AM,LTCPLN,494.88,509.89,494.72,495.23,24.35,12150.57
2019-06-30 08-AM,LTCPLN,494.8,494.88,494.8,494.88,0.04668,23.1
2019-06-30 07-AM,LTCPLN,510,510,478.01,494.8,0.8212,393.73
2019-06-30 06-AM,LTCPLN,479.03,510,479.03,510,0.26,132.6
2019-06-30 05-AM,LTCPLN,479.03,479.03,479.03,479.03,0.0,0.0
2019-06-30 04-AM,LTCPLN,479.03,479.03,479.03,479.03,0.0,0.0
2019-06-30 03-AM,LTCPLN,509.9,509.9,479.03,479.03,0.1672,80.1
2019-06-30 02-AM,LTCPLN,509.9,509.9,509.9,509.9,0.0,0.0
2019-06-30 01-AM,LTCPLN,509.9,509.9,509.9,509.9,0.0,0.0
2019-06-30 12-AM,LTCPLN,509.9,509.9,509.9,509.9,0.0,0.0
2019-06-29 11-PM,LTCPLN,492.18,509.9,492.18,509.9,2.725,1389.28
2019-06-29 10-PM,LTCPLN,510,510,492.18,492.18,1.301,651.77
2019-06-29 09-PM,LTCPLN,499.88,510,497.94,510,25.35,12791.83
2019-06-29 08-PM,LTCPLN,478,499.88,478,499.88,0.7,349.91
2019-06-29 07-PM,LTCPLN,497,500,478,478,27.69,13656.35
2019-06-29 06-PM,LTCPLN,500,500,497,497,4.474,2235.91
2019-06-29 05-PM,LTCPLN,504.99,505,478.12,500,19.62,9898.43
2019-06-29 04-PM,LTCPLN,478.98,504.99,477.9,504.99,52.01,25707.26
2019-06-29 03-PM,LTCPLN,478.98,478.98,478.98,478.98,0.0,0.0
2019-06-29 02-PM,LTCPLN,478.98,478.98,478.98,478.98,0.0,0.0
2019-06-29 01-PM,LTCPLN,478.98,478.98,478.98,478.98,0.0,0.0
2019-06-29 12-PM,LTCPLN,480,480,452.01,478.98,1.293,597.54
2019-06-29 11-AM,LTCPLN,466.4,480,455.02,480,5.107,2410.31
2019-06-29 10-AM,LTCPLN,446.66,466.4,442,466.4,46.58,21237.04
2019-06-29 09-AM,LTCPLN,446.66,446.66,446.66,446.66,0.0,0.0
2019-06-29 08-AM,LTCPLN,446.66,446.66,446.66,446.66,0.0,0.0
2019-06-29 07-AM,LTCPLN,446.66,446.66,446.66,446.66,0.0,0.0
2019-06-29 06-AM,LTCPLN,432.01,446.66,432.01,446.66,2.246,1003.2
2019-06-29 05-AM,LTCPLN,432.24,432.24,432.01,432.01,2.009,867.73
2019-06-29 04-AM,LTCPLN,432.24,432.24,432.24,432.24,0.0,0.0
2019-06-29 03-AM,LTCPLN,432.24,432.24,432.24,432.24,0.0,0.0
2019-06-29 02-AM,LTCPLN,449.31,449.31,432.24,432.24,6.127,2691.87
2019-06-29 01-AM,LTCPLN,449.31,449.31,449.31,449.31,0.0,0.0
2019-06-29 12-AM,LTCPLN,440.34,449.31,440.34,449.31,0.045,20.22
2019-06-28 11-PM,LTCPLN,447.05,447.05,440.21,440.34,23.78,10489.91
2019-06-28 10-PM,LTCPLN,447.05,447.05,447.05,447.05,4.309,1926.18
2019-06-28 09-PM,LTCPLN,454.98,454.98,447.05,447.05,9.678,4342.53
2019-06-28 08-PM,LTCPLN,447.27,454.98,447.27,454.98,0.1275,58.0
2019-06-28 07-PM,LTCPLN,450,458.87,447.15,447.27,4.297,1950.15
2019-06-28 06-PM,LTCPLN,450,450,450,450,0.0,0.0
2019-06-28 05-PM,LTCPLN,450,450,450,450,0.0,0.0
2019-06-28 04-PM,LTCPLN,450,450,445,450,1.171,526.55
2019-06-28 03-PM,LTCPLN,460.91,460.91,450,450,3.552,1598.4
