Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume VEN,Volume ETH
2018-08-01,VENETH,0,0.004966,0,0.004966,0.0,0.0
2018-07-31,VENETH,0.004966,0.004966,0.004966,0.004966,0.0,0.0
2018-07-30,VENETH,0.004966,0.004966,0.004966,0.004966,0.0,0.0
2018-07-29,VENETH,0.004966,0.004966,0.004966,0.004966,0.0,0.0
2018-07-28,VENETH,0.004966,0.004966,0.004966,0.004966,0.0,0.0
2018-07-27,VENETH,0.004966,0.004966,0.004966,0.004966,0.0,0.0
2018-07-26,VENETH,0.003776,0.005029,0.003367,0.004966,19390.65,76.34
2018-07-25,VENETH,0.003888,0.003943,0.003744,0.003776,15268.67,58.83
2018-07-24,VENETH,0.004212,0.004267,0.003781,0.003888,14728.27,59.21
2018-07-23,VENETH,0.003898,0.004212,0.003677,0.004212,19167.51,75.81
2018-07-22,VENETH,0.004027,0.004109,0.003809,0.003898,12873.16,50.42
2018-07-21,VENETH,0.00373,0.004078,0.003727,0.004027,17627.71,69.05
2018-07-20,VENETH,0.003855,0.003868,0.003482,0.00373,20740.88,75.17
2018-07-19,VENETH,0.003992,0.004109,0.003829,0.003855,19763.22,77.79
2018-07-18,VENETH,0.003996,0.004171,0.003809,0.003992,15051.83,59.2
2018-07-17,VENETH,0.004005,0.004109,0.003838,0.003996,16470.98,65.03
2018-07-16,VENETH,0.004269,0.00427,0.003753,0.004005,16913.68,66.87
2018-07-15,VENETH,0.004357,0.004394,0.004166,0.004269,14544.84,62.43
2018-07-14,VENETH,0.004811,0.004826,0.004182,0.004357,16464.89,73.39
2018-07-13,VENETH,0.004841,0.004879,0.004757,0.004811,12432.28,59.97
2018-07-12,VENETH,0.004988,0.005014,0.004802,0.004841,13009.02,63.61
2018-07-11,VENETH,0.005126,0.005153,0.004905,0.004988,13884.13,69.49
2018-07-10,VENETH,0.005132,0.005223,0.004948,0.005126,19504.11,100.09
2018-07-09,VENETH,0.005175,0.005219,0.00506,0.005132,12982.34,66.79
2018-07-08,VENETH,0.005221,0.005337,0.005175,0.005175,11402.29,59.86
2018-07-07,VENETH,0.005356,0.005365,0.005175,0.005221,14026.81,73.41
2018-07-06,VENETH,0.005348,0.005377,0.005213,0.005356,13532.31,71.65
2018-07-05,VENETH,0.005685,0.005734,0.005308,0.005348,15817.17,87.56
2018-07-04,VENETH,0.005705,0.005837,0.005618,0.005685,10448.29,59.82
2018-07-03,VENETH,0.005796,0.005999,0.005681,0.005705,13933.83,80.62
2018-07-02,VENETH,0.005676,0.005889,0.005615,0.005796,16052.48,91.93
2018-07-01,VENETH,0.005734,0.005854,0.005616,0.005676,13333.87,76.1
2018-06-30,VENETH,0.005905,0.005946,0.005684,0.005734,17057.75,99.44
2018-06-29,VENETH,0.005622,0.006031,0.005622,0.005905,18254.49,107.14
2018-06-28,VENETH,0.005975,0.006007,0.005611,0.005622,12476.38,73.65
2018-06-27,VENETH,0.005788,0.006015,0.00575,0.005975,13799.18,81.01
2018-06-26,VENETH,0.005941,0.006216,0.005776,0.005788,12507.66,74.31
2018-06-25,VENETH,0.005376,0.00595,0.005376,0.005941,16715.54,95.76
2018-06-24,VENETH,0.005874,0.005901,0.005195,0.005376,20752.94,115.51
2018-06-23,VENETH,0.005915,0.006053,0.005838,0.005874,15065.76,89.15
2018-06-22,VENETH,0.006017,0.006248,0.005858,0.005915,19815.25,119.21
2018-06-21,VENETH,0.005875,0.006088,0.005849,0.006017,12959.19,77.23
2018-06-20,VENETH,0.005935,0.006007,0.005836,0.005875,12845.64,76.03
2018-06-19,VENETH,0.006304,0.006375,0.005924,0.005935,12875.53,79.33
2018-06-18,VENETH,0.00609,0.006366,0.006063,0.006304,10910.35,67.98
2018-06-17,VENETH,0.005863,0.006438,0.005863,0.00609,13165.58,81.51
2018-06-16,VENETH,0.0058,0.005886,0.005793,0.005863,12368.24,72.13
2018-06-15,VENETH,0.005776,0.005974,0.005731,0.0058,12724.36,74.14
2018-06-14,VENETH,0.005907,0.006109,0.005664,0.005776,21039.97,123.69
2018-06-13,VENETH,0.00611,0.006117,0.005823,0.005907,15261.91,91.02
2018-06-12,VENETH,0.006388,0.006388,0.006104,0.00611,13227.88,82.1
2018-06-11,VENETH,0.006333,0.006423,0.005998,0.006388,16522.18,102.29
2018-06-10,VENETH,0.006502,0.006524,0.006047,0.006333,15183.58,96.36
2018-06-09,VENETH,0.00673,0.00673,0.006466,0.006502,11984.13,78.63
2018-06-08,VENETH,0.006776,0.006835,0.006516,0.00673,11023.82,73.54
2018-06-07,VENETH,0.006781,0.006846,0.006725,0.006776,10352.28,70.19
2018-06-06,VENETH,0.00668,0.006792,0.006584,0.006781,14579.61,97.42
2018-06-05,VENETH,0.00655,0.006725,0.006405,0.00668,14154.97,92.99
2018-06-04,VENETH,0.006539,0.006676,0.006237,0.00655,14888.13,96.69
2018-06-03,VENETH,0.006184,0.006584,0.00615,0.006539,15774.57,99.76
2018-06-02,VENETH,0.00592,0.006342,0.005896,0.006184,14088.67,85.13
2018-06-01,VENETH,0.005941,0.005963,0.005798,0.00592,18249.51,107.29
2018-05-31,VENETH,0.006026,0.006079,0.005862,0.005941,19591.43,117.29
2018-05-30,VENETH,0.006059,0.006144,0.005905,0.006026,21727.0,131.53
2018-05-29,VENETH,0.006028,0.00629,0.005836,0.006059,19317.33,116.54
2018-05-28,VENETH,0.006065,0.006285,0.005973,0.006028,20117.58,123.02
2018-05-27,VENETH,0.005989,0.006153,0.005911,0.006065,14701.38,88.58
2018-05-26,VENETH,0.006097,0.006129,0.005924,0.005989,10993.36,66.39
2018-05-25,VENETH,0.00628,0.006295,0.005996,0.006097,13526.04,82.63
2018-05-24,VENETH,0.006011,0.00628,0.005979,0.00628,15174.31,93.43
2018-05-23,VENETH,0.006093,0.006248,0.005924,0.006011,21723.36,133.08
2018-05-22,VENETH,0.006307,0.006354,0.006092,0.006093,13781.93,86.04
2018-05-21,VENETH,0.006271,0.006404,0.006097,0.006307,14165.68,88.43
2018-05-20,VENETH,0.006155,0.006326,0.006037,0.006271,16688.63,103.26
2018-05-19,VENETH,0.006337,0.00637,0.006149,0.006155,16906.68,105.11
2018-05-18,VENETH,0.006087,0.006504,0.006024,0.006337,21430.39,133.41
2018-05-17,VENETH,0.006495,0.006616,0.006013,0.006087,18314.24,115.67
2018-05-16,VENETH,0.006676,0.00674,0.006432,0.006495,20093.83,132.27
2018-05-15,VENETH,0.006989,0.007139,0.006646,0.006676,17323.59,119.87
2018-05-14,VENETH,0.006653,0.00703,0.006384,0.006989,19929.37,132.7
2018-05-13,VENETH,0.006815,0.006815,0.006515,0.006653,12671.54,83.76
2018-05-12,VENETH,0.006623,0.006886,0.006524,0.006815,12461.88,82.76
2018-05-11,VENETH,0.006809,0.006954,0.006516,0.006623,24521.06,165.05
2018-05-10,VENETH,0.006683,0.007148,0.006574,0.006809,19571.43,134.66
2018-05-09,VENETH,0.006573,0.006745,0.00648,0.006683,21733.41,143.49
2018-05-08,VENETH,0.006643,0.006814,0.006384,0.006573,18919.98,125.38
2018-05-07,VENETH,0.006352,0.006777,0.006108,0.006643,23785.65,154.44
2018-05-06,VENETH,0.006363,0.006528,0.006015,0.006352,23148.7,145.84
2018-05-05,VENETH,0.006931,0.006979,0.006336,0.006363,19395.67,128.27
2018-05-04,VENETH,0.006633,0.007088,0.006323,0.006931,22937.85,153.63
2018-05-03,VENETH,0.007156,0.00731,0.006519,0.006633,21582.5,150.39
2018-05-02,VENETH,0.006844,0.007308,0.006757,0.007156,21917.6,154.37
2018-05-01,VENETH,0.006784,0.006986,0.006535,0.006844,24803.11,167.57
2018-04-30,VENETH,0.007067,0.007092,0.006463,0.006784,22847.24,154.05
2018-04-29,VENETH,0.006366,0.007253,0.006301,0.007067,25520.57,169.87
2018-04-28,VENETH,0.005855,0.006438,0.005819,0.006366,21340.37,128.17
2018-04-27,VENETH,0.005992,0.005999,0.00581,0.005855,24166.23,142.61
2018-04-26,VENETH,0.005908,0.006009,0.005793,0.005992,25453.04,150.47
2018-04-25,VENETH,0.005937,0.006292,0.0059,0.005908,25471.54,154.16
2018-04-24,VENETH,0.006054,0.006131,0.005909,0.005937,25178.51,151.47
2018-04-23,VENETH,0.006249,0.006268,0.005983,0.006054,22912.19,140.82
