Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume VEN,Volume BTC
2018-08-01,VENBTC,0,0.0002879,0,0.0002879,0.0,0.0
2018-07-31,VENBTC,0.0002879,0.0002879,0.0002879,0.0002879,0.0,0.0
2018-07-30,VENBTC,0.0002879,0.0002879,0.0002879,0.0002879,0.0,0.0
2018-07-29,VENBTC,0.0002879,0.0002879,0.0002879,0.0002879,0.0,0.0
2018-07-28,VENBTC,0.0002879,0.0002879,0.0002879,0.0002879,0.0,0.0
2018-07-27,VENBTC,0.0002879,0.0002879,0.0002879,0.0002879,0.0,0.0
2018-07-26,VENBTC,0.0002176,0.0002897,0.0001882,0.0002879,19650.69,4.33
2018-07-25,VENBTC,0.0002224,0.000238,0.0002142,0.0002176,16429.78,3.64
2018-07-24,VENBTC,0.0002453,0.0002489,0.0002,0.0002224,16710.83,3.88
2018-07-23,VENBTC,0.0002389,0.000247,0.0002,0.0002453,26456.84,6.27
2018-07-22,VENBTC,0.0002503,0.0002549,0.0002359,0.0002389,24194.04,5.86
2018-07-21,VENBTC,0.0002281,0.0002538,0.000226,0.0002503,27779.92,6.77
2018-07-20,VENBTC,0.0002421,0.0002421,0.0002148,0.0002281,21578.22,4.83
2018-07-19,VENBTC,0.0002594,0.0002664,0.0002403,0.0002421,40659.43,10.44
2018-07-18,VENBTC,0.000272,0.0002773,0.0002529,0.0002594,21041.14,5.5
2018-07-17,VENBTC,0.0002856,0.0002867,0.000265,0.000272,13548.2,3.74
2018-07-16,VENBTC,0.0003024,0.0003024,0.0002669,0.0002856,18647.35,5.25
2018-07-15,VENBTC,0.0003025,0.0003077,0.0002908,0.0003024,14189.65,4.28
2018-07-14,VENBTC,0.0003342,0.0003342,0.00029,0.0003025,21659.23,6.74
2018-07-13,VENBTC,0.0003335,0.0003406,0.0003314,0.0003342,14040.21,4.73
2018-07-12,VENBTC,0.0003472,0.0003493,0.0003331,0.0003335,13411.12,4.57
2018-07-11,VENBTC,0.0003522,0.0003552,0.0003352,0.0003472,11112.72,3.84
2018-07-10,VENBTC,0.0003647,0.000365,0.0003428,0.0003522,15013.95,5.31
2018-07-09,VENBTC,0.0003754,0.0003774,0.0003639,0.0003647,11301.77,4.16
2018-07-08,VENBTC,0.0003696,0.0003838,0.0003696,0.0003754,11084.0,4.2
2018-07-07,VENBTC,0.0003805,0.0003814,0.0003667,0.0003696,11952.88,4.45
2018-07-06,VENBTC,0.0003808,0.0003862,0.0003694,0.0003805,11383.4,4.29
2018-07-05,VENBTC,0.0004007,0.0004068,0.0003778,0.0003808,12043.03,4.77
2018-07-04,VENBTC,0.0004061,0.0004136,0.0004003,0.0004007,14223.61,5.78
2018-07-03,VENBTC,0.0004163,0.0004336,0.000404,0.0004061,12571.76,5.21
2018-07-02,VENBTC,0.0004044,0.000423,0.0003982,0.0004163,14150.74,5.77
2018-07-01,VENBTC,0.0004059,0.0004136,0.000398,0.0004044,12675.28,5.13
2018-06-30,VENBTC,0.0004139,0.0004223,0.000401,0.0004059,15321.74,6.3
2018-06-29,VENBTC,0.0004035,0.0004222,0.0004028,0.0004139,15263.09,6.31
2018-06-28,VENBTC,0.000429,0.0004315,0.0004021,0.0004035,11788.84,4.96
2018-06-27,VENBTC,0.0004116,0.0004312,0.0004074,0.000429,13750.26,5.73
2018-06-26,VENBTC,0.0004357,0.0004558,0.0004101,0.0004116,14756.9,6.36
2018-06-25,VENBTC,0.0003992,0.0004384,0.0003983,0.0004357,14683.35,6.2
2018-06-24,VENBTC,0.0004513,0.0004535,0.000384,0.0003992,19308.09,8.03
2018-06-23,VENBTC,0.0004546,0.0004634,0.0004473,0.0004513,13741.7,6.24
2018-06-22,VENBTC,0.0004703,0.000481,0.0004467,0.0004546,19920.54,9.25
2018-06-21,VENBTC,0.0004669,0.0004788,0.0004648,0.0004703,11690.84,5.52
2018-06-20,VENBTC,0.000472,0.0004755,0.0004613,0.0004669,12137.26,5.68
2018-06-19,VENBTC,0.0004814,0.0004915,0.0004678,0.000472,13028.49,6.27
2018-06-18,VENBTC,0.0004715,0.0004897,0.0004635,0.0004814,11813.39,5.66
2018-06-17,VENBTC,0.000452,0.0004952,0.0004506,0.0004715,13259.45,6.31
2018-06-16,VENBTC,0.0004412,0.0004544,0.0004412,0.000452,11921.88,5.33
2018-06-15,VENBTC,0.0004495,0.0004552,0.0004406,0.0004412,11023.82,4.92
2018-06-14,VENBTC,0.0004454,0.0004595,0.0004245,0.0004495,15130.27,6.76
2018-06-13,VENBTC,0.0004591,0.0004613,0.0004245,0.0004454,14279.37,6.34
2018-06-12,VENBTC,0.000494,0.0004969,0.0004574,0.0004591,13419.53,6.41
2018-06-11,VENBTC,0.0004886,0.000497,0.000462,0.000494,15327.38,7.37
2018-06-10,VENBTC,0.0005136,0.0005148,0.0004757,0.0004886,16032.02,7.94
2018-06-09,VENBTC,0.0005274,0.0005274,0.0005089,0.0005136,12498.83,6.47
2018-06-08,VENBTC,0.0005313,0.0005396,0.0005083,0.0005274,10949.1,5.74
2018-06-07,VENBTC,0.0005375,0.0005434,0.0005272,0.0005313,11657.88,6.24
2018-06-06,VENBTC,0.0005342,0.0005519,0.0005194,0.0005375,15787.84,8.42
2018-06-05,VENBTC,0.0005176,0.0005376,0.0005014,0.0005342,11810.77,6.15
2018-06-04,VENBTC,0.0005247,0.0005383,0.0004966,0.0005176,15305.25,7.9
2018-06-03,VENBTC,0.0004804,0.0005273,0.0004784,0.0005247,15806.17,7.94
2018-06-02,VENBTC,0.0004567,0.0004897,0.0004547,0.0004804,14708.85,6.85
2018-06-01,VENBTC,0.000457,0.0004587,0.0004461,0.0004567,15990.04,7.24
2018-05-31,VENBTC,0.0004543,0.000463,0.0004503,0.000457,14945.87,6.82
2018-05-30,VENBTC,0.0004563,0.0004701,0.0004423,0.0004543,19349.58,8.84
2018-05-29,VENBTC,0.0004347,0.0004702,0.0004266,0.0004563,32261.63,14.25
2018-05-28,VENBTC,0.0004713,0.0004767,0.0004335,0.0004347,16112.79,7.3
2018-05-27,VENBTC,0.0004776,0.0004793,0.0004678,0.0004713,13038.68,6.16
2018-05-26,VENBTC,0.0004756,0.0004836,0.0004732,0.0004776,10931.2,5.23
2018-05-25,VENBTC,0.0004971,0.0004986,0.0004713,0.0004756,12042.48,5.83
2018-05-24,VENBTC,0.0004619,0.0004971,0.0004609,0.0004971,13034.07,6.22
2018-05-23,VENBTC,0.0004894,0.0005045,0.0004556,0.0004619,22950.07,11.1
2018-05-22,VENBTC,0.0005246,0.0005278,0.0004892,0.0004894,13235.39,6.83
2018-05-21,VENBTC,0.0005252,0.0005376,0.00051,0.0005246,14092.14,7.35
2018-05-20,VENBTC,0.0005234,0.0005367,0.0005166,0.0005252,14824.17,7.79
2018-05-19,VENBTC,0.0005321,0.0005344,0.0005189,0.0005234,14212.17,7.46
2018-05-18,VENBTC,0.0005041,0.0005435,0.0005003,0.0005321,19130.25,9.97
2018-05-17,VENBTC,0.0005502,0.0005615,0.0005032,0.0005041,20882.2,11.13
2018-05-16,VENBTC,0.0005561,0.0005686,0.0005351,0.0005502,22971.57,12.66
2018-05-15,VENBTC,0.000581,0.0005974,0.0005555,0.0005561,15403.75,8.94
2018-05-14,VENBTC,0.0005591,0.0005886,0.0005351,0.000581,24088.09,13.43
2018-05-13,VENBTC,0.000538,0.0005654,0.0005313,0.0005591,12247.95,6.73
2018-05-12,VENBTC,0.0005323,0.0005438,0.0005079,0.000538,9202.03,4.86
2018-05-11,VENBTC,0.0005468,0.0005653,0.0005116,0.0005323,21743.06,11.72
2018-05-10,VENBTC,0.0005338,0.0005852,0.0005311,0.0005468,18668.24,10.49
2018-05-09,VENBTC,0.0005366,0.0005401,0.0005176,0.0005338,25717.71,13.65
2018-05-08,VENBTC,0.0005341,0.0005545,0.0005155,0.0005366,20063.29,10.71
2018-05-07,VENBTC,0.0005223,0.0005363,0.0004956,0.0005341,24321.9,12.49
2018-05-06,VENBTC,0.0005292,0.0005307,0.0005018,0.0005223,23988.29,12.43
2018-05-05,VENBTC,0.0005611,0.0005664,0.0005236,0.0005292,23040.24,12.52
2018-05-04,VENBTC,0.0005323,0.0005747,0.0005194,0.0005611,24586.3,13.38
2018-05-03,VENBTC,0.0005349,0.0005729,0.0005217,0.0005323,23406.74,12.77
2018-05-02,VENBTC,0.0005062,0.000546,0.0005019,0.0005349,19201.26,10.09
2018-05-01,VENBTC,0.0004898,0.0005121,0.0004688,0.0005062,22998.14,11.32
2018-04-30,VENBTC,0.0005179,0.0005199,0.0004737,0.0004898,22043.62,10.89
2018-04-29,VENBTC,0.0004648,0.0005277,0.0004585,0.0005179,25830.92,12.62
2018-04-28,VENBTC,0.0004231,0.0004731,0.0004213,0.0004648,22941.26,10.1
2018-04-27,VENBTC,0.0004283,0.0004358,0.0004195,0.0004231,22471.13,9.56
2018-04-26,VENBTC,0.0004089,0.0004299,0.0004028,0.0004283,20729.87,8.71
2018-04-25,VENBTC,0.0004329,0.0004382,0.0004051,0.0004089,26836.75,11.33
2018-04-24,VENBTC,0.0004359,0.0004506,0.0004323,0.0004329,23536.33,10.45
2018-04-23,VENBTC,0.0004411,0.0004481,0.0004277,0.0004359,22199.74,9.79
2018-04-22,VENBTC,0.0004333,0.0004569,0.0004277,0.0004411,26351.67,11.62
2018-04-21,VENBTC,0.0004517,0.0004521,0.0004167,0.0004333,25286.46,11.1
2018-04-20,VENBTC,0.0004538,0.0004601,0.0004406,0.0004517,25282.9,11.37
2018-04-19,VENBTC,0.0004394,0.0004547,0.0004343,0.0004538,23681.26,10.53
2018-04-18,VENBTC,0.0004192,0.0004452,0.0004136,0.0004394,26985.56,11.43
2018-04-17,VENBTC,0.0004146,0.0004242,0.0004127,0.0004192,20692.82,8.66
2018-04-16,VENBTC,0.0004295,0.0004411,0.0004089,0.0004146,24904.96,10.45
2018-04-15,VENBTC,0.0004154,0.00043,0.00041,0.0004295,22378.35,9.33
2018-04-14,VENBTC,0.0004186,0.0004232,0.0004051,0.0004154,23723.47,9.81
2018-04-13,VENBTC,0.0004325,0.0004378,0.0004073,0.0004186,41234.89,17.46
2018-04-12,VENBTC,0.0004056,0.000433,0.0003961,0.0004325,41457.97,17.15
2018-04-11,VENBTC,0.000399,0.0004155,0.0003956,0.0004056,40796.77,16.46
2018-04-10,VENBTC,0.0003769,0.0004041,0.0003764,0.000399,43347.99,16.97
2018-04-09,VENBTC,0.0003622,0.0004029,0.000361,0.0003769,45256.1,17.0
2018-04-08,VENBTC,0.0003664,0.0003736,0.000356,0.0003622,34411.92,12.48
2018-04-07,VENBTC,0.0003572,0.0003817,0.0003546,0.0003664,38629.0,14.11
2018-04-06,VENBTC,0.000357,0.0003614,0.000353,0.0003572,32292.08,11.52
2018-04-05,VENBTC,0.0003665,0.0003678,0.0003533,0.000357,33556.78,12.04
2018-04-04,VENBTC,0.0003903,0.0003914,0.0003577,0.0003665,26354.12,9.76
2018-04-03,VENBTC,0.0003834,0.0004249,0.0003787,0.0003903,43546.49,17.2
2018-04-02,VENBTC,0.0003262,0.0004377,0.0003203,0.0003834,35151.13,13.55
2018-04-01,VENBTC,0.0003411,0.00036,0.0003243,0.0003262,19018.12,6.39
2018-03-31,VENBTC,0.0003402,0.0003525,0.000333,0.0003411,15334.09,5.25
2018-03-30,VENBTC,0.0003396,0.0003551,0.0003289,0.0003402,20013.79,6.83
2018-03-29,VENBTC,0.0003667,0.0003742,0.0003374,0.0003396,25673.91,9.16
2018-03-28,VENBTC,0.0003745,0.000377,0.0003628,0.0003667,16936.32,6.27
2018-03-27,VENBTC,0.0003871,0.0003914,0.000371,0.0003745,17614.6,6.67
2018-03-26,VENBTC,0.0003952,0.0004076,0.0003789,0.0003871,12238.22,4.78
2018-03-25,VENBTC,0.0003894,0.000408,0.00038,0.0003952,13545.38,5.27
2018-03-24,VENBTC,0.0003836,0.000408,0.0003789,0.0003894,15795.24,6.16
2018-03-23,VENBTC,0.0004005,0.0004022,0.0003804,0.0003836,16118.04,6.27
2018-03-22,VENBTC,0.0004123,0.0004155,0.0003939,0.0004005,11251.43,4.56
2018-03-21,VENBTC,0.0004082,0.0004262,0.0004059,0.0004123,12589.95,5.22
2018-03-20,VENBTC,0.0004414,0.0004508,0.0004081,0.0004082,10738.65,4.53
2018-03-19,VENBTC,0.000448,0.0004509,0.0004332,0.0004414,11213.38,4.97
2018-03-18,VENBTC,0.0004652,0.0004661,0.0004023,0.000448,14212.06,6.14
2018-03-17,VENBTC,0.0004684,0.0004924,0.0004467,0.0004652,11254.55,5.31
2018-03-16,VENBTC,0.0004557,0.0004747,0.0004506,0.0004684,15602.08,7.27
