Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2019-07-03 10-AM,LTCEUR,105.6,105.6,105.6,105.6,0.0,0.0
2019-07-03 09-AM,LTCEUR,106.89,106.89,105.6,105.6,4.585,484.17
2019-07-03 08-AM,LTCEUR,106.89,106.89,106.89,106.89,0.0,0.0
2019-07-03 07-AM,LTCEUR,105.14,108.11,105.14,106.89,3.964,427.05
2019-07-03 06-AM,LTCEUR,105.14,105.14,105.14,105.14,0.0,0.0
2019-07-03 05-AM,LTCEUR,107.32,107.68,105.14,105.14,0.4264,45.46
2019-07-03 04-AM,LTCEUR,107.32,107.32,107.32,107.32,0.0,0.0
2019-07-03 03-AM,LTCEUR,108.17,108.17,107.32,107.32,0.1789,19.2
2019-07-03 02-AM,LTCEUR,108.17,108.17,108.17,108.17,0.0,0.0
2019-07-03 01-AM,LTCEUR,108.17,108.17,108.17,108.17,0.0,0.0
2019-07-03 12-AM,LTCEUR,104.12,108.17,104.12,108.17,9.356,1011.59
2019-07-02 11-PM,LTCEUR,104.12,104.12,104.12,104.12,0.0,0.0
2019-07-02 10-PM,LTCEUR,104.12,104.12,104.12,104.12,0.0,0.0
2019-07-02 09-PM,LTCEUR,104.12,104.12,104.12,104.12,0.0,0.0
2019-07-02 08-PM,LTCEUR,103.92,104.25,103.92,104.12,1.371,142.81
2019-07-02 07-PM,LTCEUR,104.56,105.4,103.92,103.92,0.5754,60.5
2019-07-02 06-PM,LTCEUR,104.56,104.56,104.56,104.56,0.0,0.0
2019-07-02 05-PM,LTCEUR,104.56,104.56,104.56,104.56,0.0,0.0
2019-07-02 04-PM,LTCEUR,104.92,104.92,104.53,104.56,30.0,3136.35
2019-07-02 03-PM,LTCEUR,103.96,104.92,103.96,104.92,2.976,312.21
2019-07-02 02-PM,LTCEUR,102.78,103.96,102.46,103.96,0.3854,39.87
2019-07-02 01-PM,LTCEUR,103.19,103.19,102.78,102.78,0.07493,7.701
2019-07-02 12-PM,LTCEUR,99.94,103.76,99.94,103.19,1.446,149.76
2019-07-02 11-AM,LTCEUR,102.76,102.76,99.83,99.94,2.394,239.14
2019-07-02 10-AM,LTCEUR,104.19,104.19,102.76,102.76,0.1493,15.34
2019-07-02 09-AM,LTCEUR,104.41,104.41,104.19,104.19,0.2317,24.14
2019-07-02 08-AM,LTCEUR,101.81,104.41,101.81,104.41,0.9065,94.65
2019-07-02 07-AM,LTCEUR,102,102,101.81,101.81,0.54,54.98
2019-07-02 06-AM,LTCEUR,102,102,102,102,0.0,0.0
2019-07-02 05-AM,LTCEUR,105.47,105.47,102,102,7.26,740.61
2019-07-02 04-AM,LTCEUR,108.1,108.1,105.47,105.47,15.0,1582.05
2019-07-02 03-AM,LTCEUR,108.1,108.1,108.1,108.1,0.0,0.0
2019-07-02 02-AM,LTCEUR,108.1,108.1,108.1,108.1,0.0,0.0
2019-07-02 01-AM,LTCEUR,108.1,108.1,108.1,108.1,0.0,0.0
2019-07-02 12-AM,LTCEUR,108.46,108.46,108.1,108.1,0.1802,19.48
2019-07-01 11-PM,LTCEUR,106.1,108.46,106.1,108.46,1.075,115.94
