Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WTC,Volume BTC
2019-08-07,WTCBTC,0.0001438,0.000144,0.0001369,0.0001394,177263.55,24.8
2019-08-06,WTCBTC,0.0001479,0.0001521,0.0001405,0.0001438,695828.93,101.15
2019-08-05,WTCBTC,0.0001637,0.0001637,0.0001455,0.0001479,885389.64,133.84
2019-08-04,WTCBTC,0.0001623,0.0001748,0.0001615,0.0001637,959320.77,159.37
2019-08-03,WTCBTC,0.0001709,0.0001728,0.00016,0.0001623,883221.76,145.87
2019-08-02,WTCBTC,0.0001685,0.0001798,0.0001671,0.0001709,1156578.49,199.43
2019-08-01,WTCBTC,0.0001808,0.0001853,0.0001654,0.0001685,973028.84,172.93
2019-07-31,WTCBTC,0.0001978,0.0001982,0.0001762,0.0001808,1537731.15,287.62
2019-07-30,WTCBTC,0.0001912,0.00021,0.0001871,0.0001978,2227640.14,441.78
2019-07-29,WTCBTC,0.0001925,0.000195,0.0001865,0.0001912,1115728.88,213.37
2019-07-28,WTCBTC,0.0001898,0.0001976,0.0001887,0.0001925,1212728.18,234.2
2019-07-27,WTCBTC,0.0001905,0.0001937,0.0001803,0.0001898,1058754.7,198.77
2019-07-26,WTCBTC,0.0001876,0.0001946,0.0001812,0.0001905,834675.87,157.12
2019-07-25,WTCBTC,0.0001888,0.0002002,0.0001853,0.0001876,2250639.29,433.41
2019-07-24,WTCBTC,0.0001643,0.0001943,0.0001566,0.0001888,2443739.13,435.18
2019-07-23,WTCBTC,0.0001711,0.0001753,0.0001613,0.0001643,1189634.34,200.68
2019-07-22,WTCBTC,0.000164,0.0001783,0.0001633,0.0001711,1682992.86,285.16
2019-07-21,WTCBTC,0.0001607,0.0001684,0.0001601,0.000164,1021285.41,167.03
2019-07-20,WTCBTC,0.0001643,0.0001711,0.0001564,0.0001607,1287925.61,213.4
2019-07-19,WTCBTC,0.0001583,0.000172,0.0001547,0.0001643,932695.76,152.53
2019-07-18,WTCBTC,0.0001744,0.0001755,0.000167,0.0001692,106867.15,18.13
2019-07-17,WTCBTC,0.0001688,0.0001809,0.0001606,0.0001744,1247338.68,210.11
2019-07-16,WTCBTC,0.0001771,0.0001851,0.0001661,0.0001688,1791200.28,314.65
2019-07-15,WTCBTC,0.0001932,0.0002111,0.0001717,0.0001771,2719616.01,520.14
2019-07-14,WTCBTC,0.0002044,0.0002055,0.0001911,0.0001932,1577496.29,312.5
2019-07-13,WTCBTC,0.0002054,0.0002227,0.0001984,0.0002044,3326048.5,697.18
2019-07-12,WTCBTC,0.0002146,0.0002487,0.0001957,0.0002054,7316660.44,1643.41
2019-07-11,WTCBTC,0.0002015,0.0002185,0.0001885,0.0002146,2892040.14,587.1
2019-07-10,WTCBTC,0.0002078,0.0002177,0.0001836,0.0002015,4991123.42,982.9
2019-07-09,WTCBTC,0.0001787,0.0002222,0.0001674,0.0002078,6186495.08,1212.5
2019-07-08,WTCBTC,0.0002161,0.0002488,0.0001743,0.0001787,4893331.14,1014.54
2019-07-07,WTCBTC,0.0002597,0.0002839,0.000216,0.0002161,5155111.81,1284.7
2019-07-06,WTCBTC,0.0002185,0.00028,0.0002017,0.0002597,9843378.22,2440.35
2019-07-05,WTCBTC,0.0001682,0.0002217,0.0001657,0.0002185,5274302.75,1055.3
2019-07-04,WTCBTC,0.0001529,0.0001983,0.0001485,0.0001682,3927975.76,681.46
2019-07-03,WTCBTC,0.0001635,0.0001788,0.0001485,0.0001529,4009073.29,667.56
2019-07-02,WTCBTC,0.0001354,0.0001865,0.0001347,0.0001635,5181235.96,855.83
2019-07-01,WTCBTC,0.0001274,0.0001363,0.0001265,0.0001354,1042833.29,137.74
2019-06-30,WTCBTC,0.0001273,0.0001298,0.0001229,0.0001274,1422533.92,179.64
2019-06-29,WTCBTC,0.0001214,0.00013,0.0001175,0.0001273,2201380.26,270.05
2019-06-28,WTCBTC,0.000125,0.000143,0.0001196,0.0001214,1347372.29,175.31
2019-06-27,WTCBTC,0.0001179,0.0001329,0.000117,0.000125,1204869.02,150.36
2019-06-26,WTCBTC,0.0001364,0.0001377,0.0001135,0.0001179,1526833.47,192.91
2019-06-25,WTCBTC,0.0001373,0.0001452,0.0001305,0.0001364,1273816.75,174.61
2019-06-24,WTCBTC,0.0001391,0.0001497,0.0001349,0.0001373,1237631.88,176.29
2019-06-23,WTCBTC,0.0001458,0.0001558,0.0001325,0.0001391,1543528.62,227.9
2019-06-22,WTCBTC,0.0001459,0.0001546,0.0001301,0.0001458,2036617.22,290.55
2019-06-21,WTCBTC,0.0001681,0.000171,0.0001456,0.0001459,1710089.73,273.22
2019-06-20,WTCBTC,0.0001931,0.0001953,0.0001672,0.0001681,1239305.31,225.82
2019-06-19,WTCBTC,0.0002011,0.0002028,0.000192,0.0001931,880369.68,175.09
2019-06-18,WTCBTC,0.0001938,0.0002038,0.0001904,0.0002011,851948.68,167.12
2019-06-17,WTCBTC,0.0002088,0.0002097,0.0001914,0.0001938,999975.66,202.93
2019-06-16,WTCBTC,0.0002207,0.0002215,0.0002008,0.0002088,1001755.55,208.4
2019-06-15,WTCBTC,0.0002188,0.0002302,0.0002159,0.0002207,1097418.35,243.84
2019-06-14,WTCBTC,0.0002498,0.0002543,0.000218,0.0002188,1570913.39,372.99
2019-06-13,WTCBTC,0.0002623,0.000268,0.000245,0.0002498,1238786.39,322.03
2019-06-12,WTCBTC,0.0002787,0.000287,0.0002604,0.0002623,1497222.19,410.55
2019-06-11,WTCBTC,0.0002744,0.000285,0.0002718,0.0002787,1069120.8,296.16
2019-06-10,WTCBTC,0.0002716,0.0002869,0.0002703,0.0002744,1557982.22,435.65
2019-06-09,WTCBTC,0.0002645,0.0002754,0.0002642,0.0002716,1268081.35,341.84
2019-06-08,WTCBTC,0.0002624,0.0002714,0.0002607,0.0002645,1054636.21,279.59
