Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume PLN
2019-07-03,BTCPLN,41075.1,43580,41075.1,42800,25.7,1091499.4
2019-07-02,BTCPLN,38710.48,41500,36609,41075.1,49.09,1907957.52
2019-07-01,BTCPLN,40992.63,42005.9,37501,38710.48,62.89,2508613.37
2019-06-30,BTCPLN,45244.9,45244.9,39380.43,40992.63,77.72,3282649.72
2019-06-29,BTCPLN,45947.58,46500,42800,45244.9,31.86,1415796.5
2019-06-28,BTCPLN,42350,47400,40000.52,45947.58,75.45,3368361.99
2019-06-27,BTCPLN,45651.24,48100,38360.07,42350,113.8,4816784.27
2019-06-26,BTCPLN,43550,50900,40051.57,45651.24,176.37,8253831.36
2019-06-25,BTCPLN,41159.8,43550,41159.8,43550,36.66,1557651.47
2019-06-24,BTCPLN,40776.6,41650,39500,41159.8,31.22,1274778.81
2019-06-23,BTCPLN,39205,41699,39000,40776.6,28.81,1163055.91
2019-06-22,BTCPLN,37800,42998.99,37799,39205,82.22,3304277.71
2019-06-21,BTCPLN,35800,37800,35800,37800,41.23,1519105.53
2019-06-20,BTCPLN,35400,36060,35040.6,35800,49.09,1747627.7
2019-06-19,BTCPLN,34756.57,35598.9,34674.93,35400,70.1,2451279.65
2019-06-18,BTCPLN,35240.53,35649.9,34499,34756.57,43.48,1519449.35
2019-06-17,BTCPLN,33770.66,35960.76,33451.1,35240.53,53.99,1875109.22
2019-06-16,BTCPLN,33400,35000,33000.01,33770.66,45.16,1540180.36
2019-06-15,BTCPLN,32981.54,34000,32250.11,33400,17.48,580739.28
2019-06-14,BTCPLN,31330,33403.26,30850,32981.54,64.29,2049031.69
2019-06-13,BTCPLN,30925.63,31670,30600.1,31330,62.38,1929086.25
2019-06-12,BTCPLN,29703.56,31285.23,29700,30925.63,81.11,2459296.78
2019-06-11,BTCPLN,30200,30469.9,29155,29703.56,90.64,2731136.19
2019-06-10,BTCPLN,29119.55,30600,28907.89,30200,20.57,617670.71
2019-06-09,BTCPLN,29899.99,30034.11,28836.67,29119.55,26.44,778760.33
2019-06-08,BTCPLN,30050.43,30308.57,29600,29899.99,30.47,912605.76
2019-06-07,BTCPLN,29397,31200,29181.14,30050.43,27.02,823246.38
2019-06-06,BTCPLN,29567,30270,28550,29397,25.36,746913.29
2019-06-05,BTCPLN,29300,29999,29000,29567,50.59,1503056.36
2019-06-04,BTCPLN,31514.74,31514.74,28366.26,29300,80.54,2414562.04
2019-06-03,BTCPLN,33590.3,33590.3,30602,31514.74,106.58,3497370.8
2019-06-02,BTCPLN,32906,34400,32520.5,33590.3,83.0,2779297.67
2019-06-01,BTCPLN,32926,33100,32400,32906,16.79,551129.73
2019-05-31,BTCPLN,31936.94,32931.78,30294.6,32926,37.38,1197000.68
2019-05-30,BTCPLN,33444.31,34812,30232,31936.94,207.31,6825981.14
2019-05-29,BTCPLN,33417.25,33779,32188.58,33444.31,114.05,3758115.8
2019-05-28,BTCPLN,33800,33800,32899.22,33417.25,123.89,4131271.64
2019-05-27,BTCPLN,33550,34200,33167.1,33800,96.47,3254573.0
