Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QAS,Volume HUSD
2019-07-03,QASHUSD,1.027,1.027,0.9785,0.9785,0.0,0.0
2019-07-02,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-07-01,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-30,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-29,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-28,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-27,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-19,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-18,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-17,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-16,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-15,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-14,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-13,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-12,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-11,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-10,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-09,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-08,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-07,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-06-06,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-06-05,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-06-04,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-06-03,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-06-02,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-06-01,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-31,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-30,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-29,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-28,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-27,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-26,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-25,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-24,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-23,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-22,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-21,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-20,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-19,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-18,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-17,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-16,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-15,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-14,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-13,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-12,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-11,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-10,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-09,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-08,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-07,QASHUSD,1.03,1.03,0.9785,0.9785,0.0,0.0
2019-05-06,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-05,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-04,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-03,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-02,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-05-01,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-30,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-29,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-28,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-27,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-26,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-25,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-24,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-23,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-22,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-21,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-20,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-19,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-18,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-17,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-16,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-15,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-14,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-13,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-12,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-11,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-10,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-09,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-08,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-07,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-06,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-05,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-04,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-03,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-02,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-04-01,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-31,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-30,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-29,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-28,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-27,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-26,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-25,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-24,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-23,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-22,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-21,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-20,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-19,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-18,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-17,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-16,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-15,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-14,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-13,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-12,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-11,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-10,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-09,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-08,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-07,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-06,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-05,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-04,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-03,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-02,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
2019-03-01,QASHUSD,1.03,1.03,1.03,1.03,0.0,0.0
