Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-08-04 08-AM,BTCEUR,9610,9645.4,9609.9,9624,41.92,403706.48
2019-08-04 07-AM,BTCEUR,9653.7,9656,9599.8,9610,59.3,571269.58
2019-08-04 06-AM,BTCEUR,9556.8,9678.7,9556.8,9653.7,123.18,1186794.3
2019-08-04 05-AM,BTCEUR,9557.9,9605.4,9450,9556.8,145.97,1392500.17
2019-08-04 04-AM,BTCEUR,9687.2,9687.2,9525.3,9557.9,94.34,904584.07
2019-08-04 03-AM,BTCEUR,9738.9,9738.9,9543.9,9687.2,168.24,1623498.68
2019-08-04 02-AM,BTCEUR,9759.9,9760,9725.2,9738.9,6.749,65776.46
2019-08-04 01-AM,BTCEUR,9762.2,9781.9,9752.2,9759.9,17.5,170904.11
2019-08-04 12-AM,BTCEUR,9720.2,9791,9714.9,9762.2,34.06,332262.95
2019-08-03 11-PM,BTCEUR,9725.4,9733.8,9694.5,9720.2,33.47,325088.88
2019-08-03 10-PM,BTCEUR,9744.5,9749.8,9684.4,9725.4,47.13,457859.74
2019-08-03 09-PM,BTCEUR,9773.9,9785.1,9717.2,9744.5,49.13,479345.6
2019-08-03 08-PM,BTCEUR,9768.1,9783.2,9738.6,9773.9,158.53,1546613.73
2019-08-03 07-PM,BTCEUR,9763.7,9813.3,9731,9768.1,172.13,1684947.63
2019-08-03 06-PM,BTCEUR,9757,9780,9722.1,9763.7,90.52,883517.21
2019-08-03 05-PM,BTCEUR,9721.9,9760,9713.4,9757,113.12,1101768.66
2019-08-03 04-PM,BTCEUR,9673.5,9739,9653.3,9721.9,41.5,403118.41
2019-08-03 03-PM,BTCEUR,9717.9,9731.8,9652.7,9673.5,65.57,635360.0
2019-08-03 02-PM,BTCEUR,9720,9740,9700.2,9717.9,48.64,472864.56
2019-08-03 01-PM,BTCEUR,9672.1,9739.3,9672.1,9720,137.72,1338438.32
2019-08-03 12-PM,BTCEUR,9689.5,9689.5,9615,9672.1,87.7,847010.99
2019-08-03 11-AM,BTCEUR,9701.8,9710,9675.1,9689.5,55.12,534491.51
2019-08-03 10-AM,BTCEUR,9687.1,9711,9670,9701.8,68.71,665886.21
2019-08-03 09-AM,BTCEUR,9704.8,9777.6,9650,9687.1,196.6,1909051.55
2019-08-03 08-AM,BTCEUR,9745.8,9748.9,9679.3,9704.8,96.86,941405.09
2019-08-03 07-AM,BTCEUR,9716.4,9753.8,9688.5,9745.8,115.83,1125299.92
2019-08-03 06-AM,BTCEUR,9704.8,9738.3,9690,9716.4,113.62,1103360.54
2019-08-03 05-AM,BTCEUR,9755.7,9768.7,9633.1,9704.8,125.44,1217138.82
2019-08-03 04-AM,BTCEUR,9702,9758,9702,9755.7,83.81,815613.65
2019-08-03 03-AM,BTCEUR,9709.3,9742.7,9687.2,9702,141.39,1373214.3
2019-08-03 02-AM,BTCEUR,9574,9730,9548.5,9709.3,222.04,2145444.62
2019-08-03 01-AM,BTCEUR,9463.5,9599,9463.5,9574,113.28,1082682.23
2019-08-03 12-AM,BTCEUR,9472.6,9494.7,9457.5,9463.5,33.13,313866.38
2019-08-02 11-PM,BTCEUR,9469.1,9493.2,9458,9472.6,42.27,400567.71
2019-08-02 10-PM,BTCEUR,9380.1,9484.4,9380,9469.1,99.74,941885.35
2019-08-02 09-PM,BTCEUR,9353.5,9409.5,9313.4,9380.1,97.43,911452.75
2019-08-02 08-PM,BTCEUR,9415,9422.8,9333,9353.5,169.56,1589861.75
2019-08-02 07-PM,BTCEUR,9417.4,9421,9388.3,9415,51.44,483737.7
2019-08-02 06-PM,BTCEUR,9413.4,9440.9,9366.7,9417.4,157.48,1482502.86
2019-08-02 05-PM,BTCEUR,9384.2,9420,9357.5,9413.4,130.68,1228808.65
2019-08-02 04-PM,BTCEUR,9565,9599,9165,9384.2,958.64,9018147.72
2019-08-02 03-PM,BTCEUR,9537,9575,9504.1,9565,232.54,2219936.2
2019-08-02 02-PM,BTCEUR,9499.4,9537,9473.3,9537,148.99,1415787.01
2019-08-02 01-PM,BTCEUR,9523,9523,9444.3,9499.4,151.0,1433489.28
