Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume GUP,Volume ETH
2019-07-03,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-07-02,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-07-01,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-30,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-29,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-28,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-27,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-26,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-25,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-24,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-23,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-22,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-21,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-20,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-19,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-18,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-17,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-16,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-15,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-14,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-13,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-12,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-11,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-10,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-09,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-08,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-07,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-06,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-05,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-04,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-03,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-02,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-06-01,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-31,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-30,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-29,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-28,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-27,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-26,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-25,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-24,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-23,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-22,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-21,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-20,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-19,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-18,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-17,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-16,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-15,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-14,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-13,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-12,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-11,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-10,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-09,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-08,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-07,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-06,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-05,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-04,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-03,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-02,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-05-01,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-30,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-29,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-28,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-27,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-26,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-25,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-24,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-23,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-22,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-21,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-20,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
2019-04-19,GUPETH,0.0001571,0.0001571,0.0001571,0.0001571,0.0,0.0
