Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume LTC
2019-07-03,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-02,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-07-01,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-30,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-29,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-28,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-27,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-26,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-25,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-24,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-23,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-22,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-21,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-20,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-19,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-18,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-17,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-16,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-15,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-14,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-13,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-12,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-11,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-10,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-09,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-08,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
2019-06-07,XVGLTC,0.0002229,0.0002229,0.0002229,0.0002229,0.0,0.0
