Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XLM,Volume BTC
2019-08-07,XLMBTC,6.82e-06,6.84e-06,6.82e-06,6.84e-06,24855.78,0.1697
2019-08-06,XLMBTC,6.91e-06,6.96e-06,4.24e-06,6.82e-06,5597853.2,35.01
2019-08-05,XLMBTC,7.5e-06,7.5e-06,6.92e-06,6.99e-06,3797022.3,26.91
2019-08-04,XLMBTC,7.58e-06,7.73e-06,7.44e-06,7.5e-06,951552.22,7.187
2019-08-03,XLMBTC,7.77e-06,7.8e-06,7.56e-06,7.61e-06,850704.95,6.5
2019-08-02,XLMBTC,7.99e-06,7.99e-06,7.76e-06,7.8e-06,862386.22,6.777
2019-08-01,XLMBTC,8.34e-06,8.38e-06,7.87e-06,7.97e-06,1211773.82,9.906
2019-07-31,XLMBTC,8.7e-06,8.71e-06,8.28e-06,8.34e-06,985342.15,8.347
2019-07-30,XLMBTC,8.76e-06,8.81e-06,8.66e-06,8.7e-06,668081.45,5.826
2019-07-29,XLMBTC,8.79e-06,8.84e-06,8.72e-06,8.75e-06,545606.83,4.781
2019-07-28,XLMBTC,8.9e-06,8.91e-06,8.74e-06,8.79e-06,485275.38,4.279
2019-07-27,XLMBTC,8.74e-06,8.95e-06,8.66e-06,8.9e-06,1209539.14,10.66
2019-07-26,XLMBTC,8.65e-06,9.11e-06,8.6e-06,8.96e-06,1346871.93,11.82
2019-07-25,XLMBTC,8.77e-06,8.81e-06,8.5e-06,8.65e-06,840177.97,7.226
2019-07-24,XLMBTC,8.52e-06,8.81e-06,8.44e-06,8.77e-06,795777.82,6.874
2019-07-23,XLMBTC,8.57e-06,8.58e-06,8.31e-06,8.52e-06,1651475.58,14.0
2019-07-22,XLMBTC,8.58e-06,8.68e-06,8.41e-06,8.57e-06,3266853.62,27.99
2019-07-21,XLMBTC,8.81e-06,8.81e-06,8.52e-06,8.58e-06,1959739.29,17.0
2019-07-20,XLMBTC,8.88e-06,9.07e-06,8.7e-06,8.81e-06,4438054.68,39.21
2019-07-19,XLMBTC,8.33e-06,9.03e-06,8.25e-06,8.88e-06,5458172.04,46.61
2019-07-18,XLMBTC,8.32e-06,8.35e-06,8.26e-06,8.28e-06,301771.45,2.499
2019-07-17,XLMBTC,8.34e-06,8.58e-06,8.23e-06,8.32e-06,2595044.36,21.72
2019-07-16,XLMBTC,7.88e-06,8.34e-06,7.85e-06,8.34e-06,5174000.68,41.87
2019-07-15,XLMBTC,8.39e-06,8.51e-06,7.81e-06,7.88e-06,3525932.03,29.09
2019-07-14,XLMBTC,8.44e-06,8.61e-06,8.17e-06,8.39e-06,2509762.63,21.17
2019-07-13,XLMBTC,8.3e-06,8.52e-06,8.23e-06,8.44e-06,4054310.64,34.08
2019-07-12,XLMBTC,7.64e-06,8.7e-06,7.64e-06,8.3e-06,6138844.23,51.08
2019-07-11,XLMBTC,7.8e-06,8.0e-06,7.58e-06,7.64e-06,3146079.8,24.38
2019-07-10,XLMBTC,8.05e-06,8.09e-06,7.48e-06,7.8e-06,6439061.48,49.7
2019-07-09,XLMBTC,8.51e-06,8.56e-06,8.02e-06,8.05e-06,3136851.83,25.76
2019-07-08,XLMBTC,9.23e-06,9.25e-06,8.45e-06,8.51e-06,3726061.89,32.72
2019-07-07,XLMBTC,9.24e-06,9.3e-06,9.1e-06,9.23e-06,2241775.32,20.58
2019-07-06,XLMBTC,9.11e-06,9.38e-06,8.85e-06,9.24e-06,2268101.94,20.54
