Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2019-07-03,ZECUSD,105.29,109.14,105.29,109.14,8.212,877.3
2019-07-02,ZECUSD,106.34,109.14,97.52,105.29,27.35,2824.75
2019-07-01,ZECUSD,109.48,111.89,101.77,106.34,38.2,4026.77
2019-06-30,ZECUSD,114.51,115.59,107.9,109.48,49.07,5437.05
2019-06-29,ZECUSD,117.28,117.28,110,114.51,36.11,4119.88
2019-06-28,ZECUSD,104.77,117.28,104.77,117.28,49.22,5548.71
2019-06-27,ZECUSD,116.04,116.04,95,104.77,89.79,9276.5
2019-06-26,ZECUSD,105.3,123,105,116.04,106.74,12278.97
2019-06-25,ZECUSD,110,111.31,105,105.3,15.39,1649.96
2019-06-24,ZECUSD,110.1,112.83,107,110,12.15,1332.11
2019-06-23,ZECUSD,115.5,116.54,109.97,110.1,28.6,3236.81
2019-06-22,ZECUSD,109.4,116.71,109,115.5,74.38,8401.17
2019-06-21,ZECUSD,107.49,115.03,107.49,109.4,67.15,7419.46
2019-06-20,ZECUSD,112.03,113.11,107.09,107.49,57.34,6193.93
2019-06-19,ZECUSD,113.24,119,107,112.03,81.58,9043.95
2019-06-18,ZECUSD,103.93,115,101.64,113.24,43.02,4690.82
2019-06-17,ZECUSD,97,105,95.01,103.93,94.58,9466.78
2019-06-16,ZECUSD,94.01,97,92.66,97,10.35,985.05
2019-06-15,ZECUSD,92.87,96,92.87,94.01,4.821,459.43
2019-06-14,ZECUSD,92.82,99,91.17,92.87,53.29,5070.32
2019-06-13,ZECUSD,94.03,95,89.91,92.82,11.48,1070.87
2019-06-12,ZECUSD,83.4,95,83.4,93.9,45.94,4186.66
2019-06-11,ZECUSD,85.36,85.36,82,83.4,22.63,1876.39
2019-06-10,ZECUSD,81.31,85.36,81.31,85.36,30.49,2533.34
2019-06-09,ZECUSD,84.41,84.41,79.76,81.31,11.06,905.7
2019-06-08,ZECUSD,84.53,87,83.71,84.41,7.317,628.35
2019-06-07,ZECUSD,80.78,87.06,80.78,84.53,29.12,2410.07
2019-06-06,ZECUSD,82.21,83.5,80.01,80.78,10.84,875.1
2019-06-05,ZECUSD,83.25,83.25,79.85,82.21,14.81,1194.66
2019-06-04,ZECUSD,85.5,88.07,79,83.25,33.3,2772.85
2019-06-03,ZECUSD,88.29,89.45,85.5,85.5,26.82,2344.56
2019-06-02,ZECUSD,87.01,90.8,86.46,88.29,14.26,1266.84
2019-06-01,ZECUSD,89.81,92.42,86.53,87.01,37.54,3343.55
2019-05-31,ZECUSD,85.6,91,84,89.81,26.5,2331.8
2019-05-30,ZECUSD,86.1,97,83,85.6,70.04,6256.57
2019-05-29,ZECUSD,83.23,90,81,86.1,55.74,4808.18
2019-05-28,ZECUSD,73.5,86,73.5,83.23,92.28,7543.97
2019-05-27,ZECUSD,72.59,76,72.59,73.5,19.17,1426.8
2019-05-26,ZECUSD,72.49,75,70,72.59,10.82,786.07
2019-05-25,ZECUSD,72.7,72.7,69.6,72.49,2.99,213.18
2019-05-24,ZECUSD,70.08,74.9,68.64,72.7,12.7,909.61
2019-05-23,ZECUSD,69.41,74.89,69.2,70.08,2.98,208.87
2019-05-22,ZECUSD,74.5,76.26,69.41,69.41,12.79,920.51
2019-05-21,ZECUSD,74.92,77,72.9,74.5,5.78,430.22
2019-05-20,ZECUSD,77.24,78.2,73.53,74.92,21.22,1592.95
2019-05-19,ZECUSD,74,77.24,74,77.24,19.81,1480.8
2019-05-18,ZECUSD,71.06,74,71.06,74,4.34,316.95
2019-05-17,ZECUSD,75.16,75.16,68.5,71.06,69.4,4926.69
2019-05-16,ZECUSD,77,81,71.81,75.16,91.36,7034.14
2019-05-15,ZECUSD,67.6,77,65.63,77,42.94,3107.39
2019-05-14,ZECUSD,63.21,69,63.21,67.6,74.83,4986.57
2019-05-13,ZECUSD,60.1,65.72,60.1,63.21,52.57,3352.17
2019-05-12,ZECUSD,64,64,59.23,60.1,39.46,2451.82
2019-05-11,ZECUSD,58.58,64,55.49,64,40.86,2460.41
2019-05-10,ZECUSD,56.26,58.58,56,58.58,35.11,1989.91
2019-05-09,ZECUSD,60.1,60.1,56,56.26,50.18,2862.56
2019-05-08,ZECUSD,59,60.15,58,60.1,1.84,109.23
2019-05-07,ZECUSD,63.19,63.19,61,61,0.3091,18.86
2019-05-06,ZECUSD,61,63.19,60.05,63.19,3.51,215.02
2019-05-05,ZECUSD,63.23,63.29,60.2,61,17.39,1068.35
2019-05-04,ZECUSD,65.41,65.41,61.02,63.23,5.9,372.46
2019-05-03,ZECUSD,63.84,65.49,61.05,65.41,4.65,291.47
2019-05-02,ZECUSD,62.94,64.8,61.75,63.84,6.14,382.0
2019-05-01,ZECUSD,65,65.49,62.56,62.94,7.05,443.68
2019-04-30,ZECUSD,64,65.63,62.51,65,6.31,404.18
2019-04-29,ZECUSD,64.29,65,62.05,64,7.52,481.88
2019-04-28,ZECUSD,65.16,66.2,64.29,64.29,15.15,988.4
2019-04-27,ZECUSD,66,66.2,65,65.16,4.58,300.41
2019-04-26,ZECUSD,65.53,67.12,62.63,66,9.44,604.73
2019-04-25,ZECUSD,69.07,70.06,63,65.53,2.99,200.6
2019-04-24,ZECUSD,71.97,72.7,67.25,69.07,34.46,2359.15
2019-04-23,ZECUSD,73,77,71.97,71.97,15.35,1135.06
2019-04-22,ZECUSD,72.67,74,70.74,73,7.79,571.93
2019-04-21,ZECUSD,73.26,73.26,70.74,72.67,3.14,227.39
2019-04-20,ZECUSD,73.26,73.36,72.05,73.26,1.0,72.5
2019-04-19,ZECUSD,73.5,74.83,72.06,73.26,5.36,392.37
2019-04-18,ZECUSD,74,74.86,72.76,73.5,12.08,892.49
2019-04-17,ZECUSD,73.74,74.9,71,74,15.45,1132.07
2019-04-16,ZECUSD,71,73.74,70.44,73.74,5.88,424.52
2019-04-15,ZECUSD,72.97,73.09,68.5,71,18.16,1289.86
2019-04-14,ZECUSD,73.96,73.96,70.67,72.97,3.96,285.15
2019-04-13,ZECUSD,74.78,75.3,72.21,73.96,3.0,219.67
2019-04-12,ZECUSD,73,74.92,70.03,74.78,4.95,358.95
2019-04-11,ZECUSD,74.42,74.42,66.92,73,63.7,4438.76
2019-04-10,ZECUSD,74,78,69.1,74.42,48.76,3623.0
2019-04-09,ZECUSD,74.9,75.96,72.5,74,4.27,316.03
2019-04-08,ZECUSD,77.59,77.6,72.5,74.9,35.63,2674.15
