Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume KRW
2019-08-07,ZECKRW,85600,85600,82200,83200,209.54,17447798.08
2019-08-06,ZECKRW,88050,90000,84900,85600,1497.02,129576133.35
2019-08-05,ZECKRW,86800,94300,84800,88050,2170.17,191908032.94
2019-08-04,ZECKRW,86500,87250,84000,86800,450.67,38639100.81
2019-08-03,ZECKRW,86250,88600,85450,86500,673.07,58735419.27
2019-08-02,ZECKRW,86150,94400,84500,86250,2758.94,243268921.64
2019-08-01,ZECKRW,87000,87750,83000,86150,625.7,52962529.53
2019-07-31,ZECKRW,84400,87500,82100,87000,663.83,56706676.65
2019-07-30,ZECKRW,87500,88000,81600,84400,914.02,77478869.27
2019-07-29,ZECKRW,88850,89800,86350,87500,540.45,47558268.68
2019-07-28,ZECKRW,90900,91900,86050,88850,531.42,47536993.35
2019-07-27,ZECKRW,93100,95050,89000,90900,1239.52,113651600.69
2019-07-26,ZECKRW,91200,93750,90450,93100,729.79,67085445.23
2019-07-25,ZECKRW,92550,97000,91150,91200,886.4,82792486.44
2019-07-24,ZECKRW,93050,94000,88450,92550,950.41,86798245.93
2019-07-23,ZECKRW,98850,99050,92600,93050,1349.36,127795451.39
2019-07-22,ZECKRW,101200,101600,96450,98850,1188.32,117286071.5
2019-07-21,ZECKRW,104700,104800,99850,101200,736.67,75100431.95
2019-07-20,ZECKRW,98000,105800,97900,104700,1567.24,159635181.85
2019-07-19,ZECKRW,100900,102300,96150,98000,1238.87,122673627.62
2019-07-18,ZECKRW,97550,99300,95500,98350,144.12,13998390.16
2019-07-17,ZECKRW,92900,102400,83100,97550,2746.14,261115865.52
2019-07-16,ZECKRW,109800,118300,91850,92900,3209.07,341699565.07
2019-07-15,ZECKRW,109400,109800,95000,109800,2615.36,271245518.79
2019-07-14,ZECKRW,124400,125000,102000,109400,2860.09,326878686.76
2019-07-13,ZECKRW,127100,128700,120400,124400,1080.8,133856677.62
2019-07-12,ZECKRW,120100,139700,114100,127100,2814.22,348784863.41
2019-07-11,ZECKRW,133900,134500,114500,120100,2997.49,368619798.83
2019-07-10,ZECKRW,137700,139200,130900,133900,1653.46,224517016.23
2019-07-09,ZECKRW,140600,145100,135000,137700,2054.91,289036709.63
2019-07-08,ZECKRW,135000,145100,133100,140600,3141.32,437916685.29
2019-07-07,ZECKRW,137900,138300,134500,135000,1382.71,187877188.24
2019-07-06,ZECKRW,138500,141000,131400,137900,1307.11,180299941.61
2019-07-05,ZECKRW,138500,140600,136400,138500,1092.54,151245767.15
2019-07-04,ZECKRW,149300,149300,138500,138500,1617.87,230955853.99
2019-07-03,ZECKRW,138500,153700,137700,149300,3981.1,575895525.08
2019-07-02,ZECKRW,149000,150000,130000,138500,4895.32,675537163.71
2019-07-01,ZECKRW,152600,155100,137600,149000,4119.58,607540998.75
2019-06-30,ZECKRW,164100,164700,152000,152600,6259.69,975804622.92
2019-06-29,ZECKRW,164900,175000,149700,164100,16514.41,2602967065.32
2019-06-28,ZECKRW,133800,212300,133700,164900,57630.5,9992312997.48
2019-06-27,ZECKRW,145300,151400,122700,133800,16782.21,2241445437.72
2019-06-26,ZECKRW,131600,161300,130500,145300,18543.71,2714906712.3
2019-06-25,ZECKRW,131800,132900,129000,131600,3608.88,473836458.33
2019-06-24,ZECKRW,133600,133600,130500,131800,2355.08,309630139.65
2019-06-23,ZECKRW,131900,136100,131900,133600,3220.57,428751261.41
2019-06-22,ZECKRW,130400,136900,129800,131900,9948.78,1320552739.8
2019-06-21,ZECKRW,131200,139200,129100,130400,6713.19,892948889.78
2019-06-20,ZECKRW,133700,134900,127100,131200,4774.88,624720140.36
2019-06-19,ZECKRW,134000,144300,128600,133700,16685.51,2270133797.79
2019-06-18,ZECKRW,123100,139400,121000,134000,27430.37,3577871870.08
2019-06-17,ZECKRW,115100,129500,114000,123100,6847.82,834073626.0
2019-06-16,ZECKRW,114500,116000,111700,115100,3515.83,400916145.94
2019-06-15,ZECKRW,114200,116500,112000,114500,2609.79,298565921.2
2019-06-14,ZECKRW,112900,119400,110500,114200,4840.25,553915622.53
2019-06-13,ZECKRW,124400,125700,110000,112900,16425.66,1917603786.77
2019-06-12,ZECKRW,99500,134700,98950,124400,16533.51,1957289963.35
2019-06-11,ZECKRW,100200,101100,96500,99500,1347.7,132914260.53
2019-06-10,ZECKRW,96300,100200,94700,100200,2861.74,279910954.43
2019-06-09,ZECKRW,101100,102100,95050,96300,1096.57,108096335.32
2019-06-08,ZECKRW,103800,104700,101000,101100,1082.52,110747416.95
2019-06-07,ZECKRW,101200,104700,99550,103800,1818.93,185512774.37
