Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume IOT,Volume AETH
2019-05-20,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-18,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-17,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-16,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-14,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-13,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-11,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-07,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-06,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-05,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-04,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-03,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-02,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-05-01,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-30,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-27,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-26,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-22,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-20,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-18,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-16,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-14,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-13,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-11,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-04-06,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-03-19,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-03-16,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-03-12,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-03-08,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-03-05,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-03-01,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-02-21,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-02-17,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-02-14,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-02-08,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-02-06,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-02-05,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-02-02,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-01-31,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-01-28,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-01-26,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
2019-01-25,IOTAETH,0,0.001495,0,0.001495,0.0,0.0
