Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REC,Volume BTC
2018-08-20 01-PM,RECBTC,3.05e-06,3.05e-06,3.05e-06,3.05e-06,0.0,0.0
2018-08-20 12-PM,RECBTC,3.05e-06,3.05e-06,3.05e-06,3.05e-06,0.0,0.0
2018-08-20 11-AM,RECBTC,3.05e-06,3.05e-06,3.05e-06,3.05e-06,0.0,0.0
2018-08-20 10-AM,RECBTC,3.05e-06,3.05e-06,3.05e-06,3.05e-06,0.0,0.0
2018-08-20 09-AM,RECBTC,3.0e-06,3.05e-06,3.0e-06,3.05e-06,89.97,0.0002744
2018-08-20 08-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-20 07-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-20 06-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-20 05-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-20 04-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-20 03-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-20 02-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-20 01-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-20 12-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 11-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 10-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 09-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 08-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 07-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,100.0,0.0003
2018-08-19 06-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 05-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 04-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 03-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 02-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 01-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 12-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 11-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 10-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 09-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 08-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 07-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 06-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 05-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 04-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 03-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-19 02-AM,RECBTC,3.17e-06,3.17e-06,3.0e-06,3.0e-06,271.16,0.0008135
2018-08-19 01-AM,RECBTC,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0,0.0
2018-08-19 12-AM,RECBTC,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0,0.0
2018-08-18 11-PM,RECBTC,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0,0.0
2018-08-18 10-PM,RECBTC,3.17e-06,3.17e-06,3.17e-06,3.17e-06,0.0,0.0
2018-08-18 09-PM,RECBTC,3.0e-06,3.17e-06,3.0e-06,3.17e-06,71456.0,0.2265
2018-08-18 08-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 07-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 06-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 05-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 04-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 03-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 02-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 01-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 12-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 11-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 10-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 09-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 08-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-18 07-AM,RECBTC,3.2e-06,3.2e-06,3.0e-06,3.0e-06,36.22,0.0001087
2018-08-18 06-AM,RECBTC,3.07e-06,3.2e-06,3.07e-06,3.2e-06,968.93,0.003045
2018-08-18 05-AM,RECBTC,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0.0,0.0
2018-08-18 04-AM,RECBTC,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0.0,0.0
2018-08-18 03-AM,RECBTC,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0.0,0.0
2018-08-18 02-AM,RECBTC,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0.0,0.0
2018-08-18 01-AM,RECBTC,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0.0,0.0
2018-08-18 12-AM,RECBTC,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0.0,0.0
2018-08-17 11-PM,RECBTC,3.07e-06,3.07e-06,3.07e-06,3.07e-06,0.0,0.0
2018-08-17 10-PM,RECBTC,3.0e-06,3.07e-06,3.0e-06,3.07e-06,27839.34,0.08543
