Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume RUR
2018-08-22 11-PM,EOSRUR,407.48,407.48,407.48,407.48,0.0,0.0
2018-08-22 10-PM,EOSRUR,407.48,407.48,407.48,407.48,0.0,0.0
2018-08-22 09-PM,EOSRUR,401.7,407.48,401.7,407.48,3.6,1464.95
2018-08-22 08-PM,EOSRUR,401.7,401.7,401.7,401.7,0.0,0.0
2018-08-22 07-PM,EOSRUR,423.43,423.43,401.7,401.7,1.0,401.7
2018-08-22 06-PM,EOSRUR,415.39,423.43,415.39,423.43,1.89,800.0
2018-08-22 05-PM,EOSRUR,403,415.39,403,415.39,0.9626,399.88
2018-08-22 04-PM,EOSRUR,401.7,403,401.7,403,2.0,806.0
2018-08-22 03-PM,EOSRUR,403.05,405,401.7,401.7,4.44,1793.71
2018-08-22 02-PM,EOSRUR,418.16,418.16,403.05,403.05,0.1104,44.5
2018-08-22 01-PM,EOSRUR,418.16,418.16,418.16,418.16,0.0,0.0
2018-08-22 12-PM,EOSRUR,418.16,418.16,418.16,418.16,0.0,0.0
2018-08-22 11-AM,EOSRUR,418.16,418.16,418.16,418.16,0.0,0.0
2018-08-22 10-AM,EOSRUR,421.59,421.59,418.16,418.16,1.32,552.06
2018-08-22 09-AM,EOSRUR,405.55,421.59,405.55,421.59,0.001791,0.7549
2018-08-22 08-AM,EOSRUR,417.91,417.91,405.55,405.55,0.3176,128.8
2018-08-22 07-AM,EOSRUR,417.91,417.91,417.91,417.91,0.0,0.0
2018-08-22 06-AM,EOSRUR,420.58,420.58,417.91,417.91,0.09459,39.53
2018-08-22 05-AM,EOSRUR,401.55,421.51,401.55,420.58,0.7795,325.32
2018-08-22 04-AM,EOSRUR,401.55,401.55,401.55,401.55,0.0,0.0
2018-08-22 03-AM,EOSRUR,401.55,401.55,401.55,401.55,0.0,0.0
2018-08-22 02-AM,EOSRUR,416.89,427.13,401.55,401.55,1.13,469.76
2018-08-22 01-AM,EOSRUR,416.89,416.89,416.89,416.89,0.0,0.0
2018-08-22 12-AM,EOSRUR,416.89,416.89,416.89,416.89,0.0,0.0
2018-08-21 11-PM,EOSRUR,416.89,416.89,416.89,416.89,0.0,0.0
2018-08-21 10-PM,EOSRUR,416.89,416.89,416.89,416.89,0.0,0.0
2018-08-21 09-PM,EOSRUR,429.36,429.36,416.89,416.89,0.006914,2.88
2018-08-21 08-PM,EOSRUR,416.89,429.36,416.89,429.36,2.3,988.0
2018-08-21 07-PM,EOSRUR,405.12,416.89,405.12,416.89,1.27,528.21
2018-08-21 06-PM,EOSRUR,416.89,416.89,401.55,405.12,4.75,1916.18
2018-08-21 05-PM,EOSRUR,416.89,416.89,416.89,416.89,0.0,0.0
2018-08-21 04-PM,EOSRUR,405.12,416.89,405.12,416.89,1.17,488.26
2018-08-21 03-PM,EOSRUR,410,410,405.12,405.12,10.07,4079.55
2018-08-21 02-PM,EOSRUR,415,415,410,410,0.04749,19.47
2018-08-21 01-PM,EOSRUR,415,415,415,415,0.0,0.0
2018-08-21 12-PM,EOSRUR,410,415,410,415,1.2,498.0
2018-08-21 11-AM,EOSRUR,432.7,432.7,410,410,2.13,871.83
2018-08-21 10-AM,EOSRUR,405.12,432.7,405.12,432.7,4.45,1868.8
2018-08-21 09-AM,EOSRUR,405,410,405,405.12,7.75,3139.32
2018-08-21 08-AM,EOSRUR,434.3,434.3,405,405,1.21,489.76
2018-08-21 07-AM,EOSRUR,434.3,434.3,434.3,434.3,0.0,0.0
2018-08-21 06-AM,EOSRUR,401,434.3,401,434.3,1.38,600.0
2018-08-21 05-AM,EOSRUR,432.18,432.18,401,401,4.69,1997.68
2018-08-21 04-AM,EOSRUR,400.1,432.18,400.1,432.18,0.002314,1.0
2018-08-21 03-AM,EOSRUR,400.1,400.1,400.1,400.1,0.0,0.0
2018-08-21 02-AM,EOSRUR,420.1,420.1,400.1,400.1,87.83,35349.03
2018-08-21 01-AM,EOSRUR,420.1,420.1,420.1,420.1,0.0,0.0
2018-08-21 12-AM,EOSRUR,420.1,420.1,420.1,420.1,0.0,0.0
2018-08-20 11-PM,EOSRUR,425.1,425.1,420.1,420.1,0.02222,9.33
2018-08-20 10-PM,EOSRUR,429,429,425.1,425.1,16.11,6858.65
2018-08-20 09-PM,EOSRUR,426,429,426,429,0.9421,404.16
2018-08-20 08-PM,EOSRUR,426,426,426,426,0.0,0.0
2018-08-20 07-PM,EOSRUR,430,439.9,425.95,426,1.45,630.36
2018-08-20 06-PM,EOSRUR,440,440,430,430,2.71,1180.75
2018-08-20 05-PM,EOSRUR,430.11,440,430.11,440,1.74,763.93
2018-08-20 04-PM,EOSRUR,435.1,435.1,430.11,430.11,0.72,309.69
2018-08-20 03-PM,EOSRUR,435.1,435.1,435.1,435.1,0.0,0.0
2018-08-20 02-PM,EOSRUR,440,440,435.1,435.1,44.99,19793.6
2018-08-20 01-PM,EOSRUR,448.68,448.68,440,440,35.33,15545.03
2018-08-20 12-PM,EOSRUR,440,448.68,440,448.68,0.9469,420.77
2018-08-20 11-AM,EOSRUR,440,440,440,440,3.0,1320.0
2018-08-20 10-AM,EOSRUR,448.68,448.68,440,440,0.01452,6.39
2018-08-20 09-AM,EOSRUR,448.68,448.68,448.68,448.68,0.1003,45.0
2018-08-20 08-AM,EOSRUR,440,448.68,440,448.68,0.8175,366.8
2018-08-20 07-AM,EOSRUR,440,440,440,440,1.23,541.04
2018-08-20 06-AM,EOSRUR,440,440,440,440,16.11,7090.38
2018-08-20 05-AM,EOSRUR,453.39,453.39,440,440,21.35,9532.82
2018-08-20 04-AM,EOSRUR,453.39,453.39,453.39,453.39,0.0,0.0
2018-08-20 03-AM,EOSRUR,446.81,453.39,446.81,453.39,0.004234,1.92
2018-08-20 02-AM,EOSRUR,446.81,446.81,446.81,446.81,0.0,0.0
2018-08-20 01-AM,EOSRUR,446.81,446.81,446.81,446.81,0.3027,135.25
2018-08-20 12-AM,EOSRUR,445.1,446.81,445.1,446.81,1.59,709.33
2018-08-19 11-PM,EOSRUR,445.1,445.1,445.1,445.1,0.0,0.0
2018-08-19 10-PM,EOSRUR,445.1,445.1,445.1,445.1,0.0,0.0
2018-08-19 09-PM,EOSRUR,455.69,455.69,445.1,445.1,0.3082,137.2
2018-08-19 08-PM,EOSRUR,445.1,456.96,445.1,455.69,3.02,1376.9
2018-08-19 07-PM,EOSRUR,445.1,445.1,445.1,445.1,0.0,0.0
2018-08-19 06-PM,EOSRUR,442.1,457.52,442.1,445.1,6.87,3094.81
2018-08-19 05-PM,EOSRUR,445,454.43,442.1,442.1,4.0,1805.32
2018-08-19 04-PM,EOSRUR,450.08,452.39,443,445,6.14,2726.37
2018-08-19 03-PM,EOSRUR,450.08,450.08,450.08,450.08,1.0,450.08
2018-08-19 02-PM,EOSRUR,450.54,450.54,442,450.08,1.17,525.07
2018-08-19 01-PM,EOSRUR,440,450.54,440,450.54,5.5,2430.54
2018-08-19 12-PM,EOSRUR,461.74,461.74,440,440,2.34,1053.96
2018-08-19 11-AM,EOSRUR,441.57,461.74,441.57,461.74,0.1329,61.35
2018-08-19 10-AM,EOSRUR,463.63,463.63,441.57,441.57,5.63,2503.08
2018-08-19 09-AM,EOSRUR,443,463.63,443,463.63,0.6371,283.54
2018-08-19 08-AM,EOSRUR,441.57,445,441.57,443,0.1815,80.43
2018-08-19 07-AM,EOSRUR,441.57,441.57,441.57,441.57,0.0,0.0
2018-08-19 06-AM,EOSRUR,462.81,462.81,441.57,441.57,1.9,861.56
2018-08-19 05-AM,EOSRUR,441.57,462.81,441.57,462.81,1.08,500.0
2018-08-19 04-AM,EOSRUR,441.57,441.57,441.57,441.57,0.0,0.0
2018-08-19 03-AM,EOSRUR,450.59,465.46,441.57,441.57,1.75,774.1
2018-08-19 02-AM,EOSRUR,440,455.91,440,450.59,12.86,5822.25
2018-08-19 01-AM,EOSRUR,440,440,440,440,0.0,0.0
2018-08-19 12-AM,EOSRUR,440,440,440,440,0.0,0.0
2018-08-18 11-PM,EOSRUR,451.84,451.84,440,440,1.66,732.46
2018-08-18 10-PM,EOSRUR,454.42,454.42,451.84,451.84,0.6452,291.53
2018-08-18 09-PM,EOSRUR,454.42,454.42,454.42,454.42,0.0,0.0
2018-08-18 08-PM,EOSRUR,440,454.42,440,454.42,11.24,4948.96
2018-08-18 07-PM,EOSRUR,455.79,455.91,440,440,124.7,54988.37
2018-08-18 06-PM,EOSRUR,455.79,455.79,455.79,455.79,0.0,0.0
2018-08-18 05-PM,EOSRUR,455.79,455.79,455.79,455.79,0.0,0.0
2018-08-18 04-PM,EOSRUR,451.68,455.79,451.68,455.79,0.1231,56.1
2018-08-18 03-PM,EOSRUR,440,451.68,440,451.68,2.04,922.96
2018-08-18 02-PM,EOSRUR,440,440,440,440,0.0,0.0
2018-08-18 01-PM,EOSRUR,470,470,440,440,21.37,9443.82
2018-08-18 12-PM,EOSRUR,470,470,470,470,0.1385,65.09
2018-08-18 11-AM,EOSRUR,460,470,460,470,0.1235,58.07
2018-08-18 10-AM,EOSRUR,460,460,460,460,0.0,0.0
2018-08-18 09-AM,EOSRUR,460,460,460,460,0.0,0.0
2018-08-18 08-AM,EOSRUR,460,460,460,460,0.07737,35.59
2018-08-18 07-AM,EOSRUR,475,475,460,460,3.33,1533.95
2018-08-18 06-AM,EOSRUR,460,475,460,475,3.0,1425.0
2018-08-18 05-AM,EOSRUR,470,475,460,460,0.04455,21.02
2018-08-18 04-AM,EOSRUR,475,475,470,470,2.13,1000.0
2018-08-18 03-AM,EOSRUR,475,475,475,475,0.0,0.0
2018-08-18 02-AM,EOSRUR,475,475,475,475,0.0,0.0
2018-08-18 01-AM,EOSRUR,475,475,475,475,0.0,0.0
2018-08-18 12-AM,EOSRUR,475,475,475,475,0.0,0.0
2018-08-17 11-PM,EOSRUR,455.37,475,455.37,475,0.8728,413.26
2018-08-17 10-PM,EOSRUR,467,474.38,455.37,455.37,7.98,3766.93
2018-08-17 09-PM,EOSRUR,467,467,467,467,0.08356,39.02
2018-08-17 08-PM,EOSRUR,467,467,467,467,0.0,0.0
2018-08-17 07-PM,EOSRUR,467,467,467,467,2.26,1055.15
2018-08-17 06-PM,EOSRUR,467,467,455,467,1.97,908.11
2018-08-17 05-PM,EOSRUR,474.38,474.38,462.06,467,4.56,2116.7
2018-08-17 04-PM,EOSRUR,462.06,474.38,462.06,474.38,1.6,758.35
2018-08-17 03-PM,EOSRUR,462.06,462.06,462.06,462.06,0.0,0.0
2018-08-17 02-PM,EOSRUR,457.96,474.38,457.96,462.06,2.47,1150.74
2018-08-17 01-PM,EOSRUR,472,474.38,457.96,457.96,1.16,532.96
2018-08-17 12-PM,EOSRUR,448.11,472,448.11,472,3.74,1759.44
2018-08-17 11-AM,EOSRUR,473.56,473.56,448.11,448.11,1.65,748.86
2018-08-17 10-AM,EOSRUR,473.56,473.56,473.56,473.56,0.0,0.0
2018-08-17 09-AM,EOSRUR,455,473.56,455,473.56,1.15,543.11
2018-08-17 08-AM,EOSRUR,475,475,455,455,0.0003756,0.1709
2018-08-17 07-AM,EOSRUR,455.1,475,455.1,475,62.77,29697.32
2018-08-17 06-AM,EOSRUR,452.11,455.1,444.18,455.1,3.08,1391.81
2018-08-17 05-AM,EOSRUR,451.88,452.11,451.88,452.11,1.09,493.5
2018-08-17 04-AM,EOSRUR,451.88,451.88,451.88,451.88,0.2,90.38
2018-08-17 03-AM,EOSRUR,440.24,451.88,440.24,451.88,11.2,5043.05
2018-08-17 02-AM,EOSRUR,448.44,448.44,440.24,440.24,3.75,1649.38
2018-08-17 01-AM,EOSRUR,448.44,448.44,448.44,448.44,0.0,0.0
2018-08-17 12-AM,EOSRUR,442.74,448.44,442.74,448.44,0.2,89.69
2018-08-16 11-PM,EOSRUR,442.74,442.74,442.74,442.74,0.0,0.0
2018-08-16 10-PM,EOSRUR,442.29,442.79,442.29,442.74,5.55,2455.19
2018-08-16 09-PM,EOSRUR,450.71,450.71,442.19,442.29,3.57,1580.92
2018-08-16 08-PM,EOSRUR,440.4,450.87,440.4,450.71,0.06533,29.44
2018-08-16 07-PM,EOSRUR,440,441.28,440,440.4,1.12,495.07
2018-08-16 06-PM,EOSRUR,451.87,451.87,440,440,32.39,14312.95
2018-08-16 05-PM,EOSRUR,440.3,451.87,440.3,451.87,1.51,682.06
2018-08-16 04-PM,EOSRUR,451.76,451.76,440.3,440.3,0.2913,128.27
2018-08-16 03-PM,EOSRUR,440.1,451.76,440.1,451.76,0.143,64.37
2018-08-16 02-PM,EOSRUR,440.1,451.88,440.1,440.1,9.9,4434.85
2018-08-16 01-PM,EOSRUR,440.1,440.1,440.1,440.1,0.9857,433.79
2018-08-16 12-PM,EOSRUR,460.1,460.1,440.1,440.1,37.04,16601.06
2018-08-16 11-AM,EOSRUR,467,479,460.1,460.1,21.16,9895.65
2018-08-16 10-AM,EOSRUR,470,470,465.23,467,1.99,924.29
2018-08-16 09-AM,EOSRUR,465.23,479,465.23,470,14.55,6782.24
2018-08-16 08-AM,EOSRUR,473.64,479,465.23,465.23,62.73,30047.14
2018-08-16 07-AM,EOSRUR,465.23,473.64,465.23,473.64,30.99,14676.85
2018-08-16 06-AM,EOSRUR,465.23,475.49,465.23,465.23,20.15,9568.87
2018-08-16 05-AM,EOSRUR,465.23,465.23,465.23,465.23,1.0,465.23
2018-08-16 04-AM,EOSRUR,465.23,471.84,465.23,465.23,1.5,701.14
2018-08-16 03-AM,EOSRUR,465.23,465.23,465.23,465.23,5.81,2703.35
2018-08-16 02-AM,EOSRUR,465.23,465.23,465.23,465.23,0.0,0.0
2018-08-16 01-AM,EOSRUR,465.23,465.23,465.23,465.23,0.0,0.0
