Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NXT,Volume USD
2018-06-11,NXTUSD,0.1199,0.1225,0.1181,0.1225,1146181.0,137259.69
2018-06-10,NXTUSD,0.1366,0.1366,0.1184,0.1199,3433808.0,438384.89
2018-06-09,NXTUSD,0.1399,0.1415,0.1361,0.1366,3414638.0,475079.91
2018-06-08,NXTUSD,0.1415,0.1417,0.1377,0.1399,3963908.0,554033.23
2018-06-07,NXTUSD,0.1412,0.148,0.1405,0.1415,3706679.0,532976.26
2018-06-06,NXTUSD,0.1467,0.1474,0.1376,0.1412,3687622.0,531601.25
2018-06-05,NXTUSD,0.1431,0.1471,0.1402,0.1467,5144992.0,736498.11
2018-06-04,NXTUSD,0.1478,0.1498,0.1369,0.1431,2750565.0,387974.48
2018-06-03,NXTUSD,0.1477,0.1515,0.1446,0.1478,1008448.0,149240.3
2018-06-02,NXTUSD,0.1343,0.15,0.1315,0.1477,1504789.0,210927.01
2018-06-01,NXTUSD,0.1337,0.1362,0.1312,0.1343,844587.0,113028.31
2018-05-31,NXTUSD,0.1334,0.136,0.131,0.1337,1258231.0,167759.7
2018-05-30,NXTUSD,0.1351,0.1382,0.1306,0.1334,1922965.0,258744.12
2018-05-29,NXTUSD,0.1279,0.1393,0.126,0.1351,1758372.0,231936.17
2018-05-28,NXTUSD,0.1383,0.1441,0.1274,0.1279,1601331.0,215191.4
2018-05-27,NXTUSD,0.1355,0.1391,0.1326,0.1383,1199106.0,163400.56
2018-05-26,NXTUSD,0.1362,0.1393,0.1336,0.1355,1126257.0,153718.14
2018-05-25,NXTUSD,0.1403,0.1415,0.1332,0.1362,1345992.0,183681.65
2018-05-24,NXTUSD,0.1393,0.1451,0.1311,0.1403,1144651.0,158074.06
2018-05-23,NXTUSD,0.1532,0.1532,0.136,0.1393,1219545.0,176313.9
2018-05-22,NXTUSD,0.1662,0.1734,0.1527,0.1532,1457728.0,239182.04
2018-05-21,NXTUSD,0.1646,0.168,0.1622,0.1662,1063525.0,175728.43
2018-05-20,NXTUSD,0.1563,0.166,0.1554,0.1646,1251348.0,200966.32
2018-05-19,NXTUSD,0.1615,0.1632,0.1544,0.1563,1235703.0,197576.61
2018-05-18,NXTUSD,0.1565,0.1615,0.153,0.1615,1067663.0,167704.67
2018-05-17,NXTUSD,0.1646,0.1689,0.1565,0.1565,1582849.0,261314.45
2018-05-16,NXTUSD,0.1708,0.1709,0.161,0.1646,1051805.0,172428.19
2018-05-15,NXTUSD,0.1793,0.1827,0.1687,0.1708,1151012.0,203553.92
2018-05-14,NXTUSD,0.1855,0.1855,0.1695,0.1793,1144909.0,203881.17
2018-05-13,NXTUSD,0.1734,0.1885,0.1713,0.1855,1088762.0,194945.33
2018-05-12,NXTUSD,0.175,0.1822,0.1618,0.1734,1101778.0,188961.19
2018-05-11,NXTUSD,0.1996,0.1999,0.167,0.175,1136323.0,205968.35
2018-05-10,NXTUSD,0.2128,0.2186,0.1987,0.1996,1001068.0,209475.52
2018-05-09,NXTUSD,0.2153,0.2153,0.2025,0.2128,947979.0,198271.38
2018-05-08,NXTUSD,0.2231,0.2303,0.2092,0.2153,848465.0,185192.05
2018-05-07,NXTUSD,0.2317,0.2361,0.2095,0.2231,1056948.0,232576.92
2018-05-06,NXTUSD,0.2411,0.242,0.2238,0.2317,867659.0,200550.13
2018-05-05,NXTUSD,0.249,0.2502,0.2391,0.2411,771296.0,187963.86
2018-05-04,NXTUSD,0.2524,0.2576,0.2401,0.249,805148.0,199994.87
2018-05-03,NXTUSD,0.2512,0.2613,0.24,0.2524,870840.0,215562.1
2018-05-02,NXTUSD,0.2367,0.2628,0.2367,0.2512,949201.0,236540.74
2018-05-01,NXTUSD,0.2197,0.2384,0.2086,0.2367,762215.0,172185.56
2018-04-30,NXTUSD,0.2118,0.2338,0.2083,0.2197,840768.0,183393.31
2018-04-29,NXTUSD,0.212,0.2171,0.2051,0.2118,615742.0,129809.5
2018-04-28,NXTUSD,0.202,0.2173,0.2011,0.212,624537.0,131526.72
2018-04-27,NXTUSD,0.2074,0.2211,0.2015,0.202,722050.0,151553.27
2018-04-26,NXTUSD,0.1886,0.2074,0.181,0.2074,852592.0,165971.45
2018-04-25,NXTUSD,0.2302,0.2308,0.1841,0.1886,1318421.0,257737.71
2018-04-24,NXTUSD,0.2074,0.2347,0.2065,0.2302,886908.0,192575.34
2018-04-23,NXTUSD,0.2005,0.2108,0.2,0.2074,578266.0,119059.91
2018-04-22,NXTUSD,0.2028,0.2139,0.2,0.2005,670812.0,138634.35
2018-04-21,NXTUSD,0.2119,0.2172,0.1911,0.2028,888887.0,183259.59
2018-04-20,NXTUSD,0.2114,0.216,0.2038,0.2119,881312.0,186557.13
2018-04-19,NXTUSD,0.2052,0.2175,0.2013,0.2114,745595.0,156740.77
2018-04-18,NXTUSD,0.1886,0.2052,0.1868,0.2052,589614.0,115852.56
2018-04-17,NXTUSD,0.1874,0.2034,0.1863,0.1886,755657.0,146913.33
2018-04-16,NXTUSD,0.1981,0.1991,0.1818,0.1874,843131.0,158411.08
2018-04-15,NXTUSD,0.1694,0.2076,0.1681,0.1981,888999.0,168909.82
2018-04-14,NXTUSD,0.1634,0.1745,0.1605,0.1694,1012848.0,170564.33
2018-04-13,NXTUSD,0.1651,0.1792,0.1589,0.1634,849562.0,142668.76
2018-04-12,NXTUSD,0.1446,0.1659,0.1411,0.1651,862328.0,131419.87
2018-04-11,NXTUSD,0.1318,0.1487,0.1283,0.1446,866535.0,116946.2
2018-04-10,NXTUSD,0.1214,0.135,0.1193,0.1318,775807.0,97581.3
2018-04-09,NXTUSD,0.1248,0.1289,0.1173,0.1214,782117.0,96417.9
2018-04-08,NXTUSD,0.1178,0.125,0.1176,0.1248,924677.0,111803.97
2018-04-07,NXTUSD,0.1153,0.1222,0.1145,0.1178,739804.0,87585.46
2018-04-06,NXTUSD,0.1158,0.1177,0.112,0.1153,754188.0,86584.85
2018-04-05,NXTUSD,0.1199,0.1212,0.1137,0.1158,831494.0,97043.64
2018-04-04,NXTUSD,0.1282,0.1335,0.1175,0.1199,942338.0,117118.21
2018-04-03,NXTUSD,0.1194,0.1337,0.1194,0.1282,884228.0,112808.3
2018-04-02,NXTUSD,0.1112,0.1207,0.1105,0.1194,806227.0,93450.38
2018-04-01,NXTUSD,0.1158,0.118,0.1066,0.1112,774666.0,87122.43
2018-03-31,NXTUSD,0.115,0.1214,0.1138,0.1158,835619.0,97814.99
2018-03-30,NXTUSD,0.1184,0.122,0.1139,0.115,995523.0,116601.16
2018-03-29,NXTUSD,0.1307,0.1317,0.1178,0.1184,984910.0,121533.09
2018-03-28,NXTUSD,0.131,0.1356,0.1282,0.1307,832908.0,109305.69
2018-03-27,NXTUSD,0.1348,0.1382,0.128,0.131,767849.0,101762.51
2018-03-26,NXTUSD,0.1461,0.1516,0.13,0.1348,740164.0,103324.18
2018-03-25,NXTUSD,0.139,0.1522,0.1353,0.1461,790488.0,112672.61
2018-03-24,NXTUSD,0.1396,0.1459,0.1383,0.139,761512.0,107816.1
2018-03-23,NXTUSD,0.1419,0.1428,0.1345,0.1396,712640.0,98375.63
2018-03-22,NXTUSD,0.1467,0.1559,0.1365,0.1419,773130.0,111454.81
2018-03-21,NXTUSD,0.1513,0.16,0.144,0.1467,688339.0,104058.01
2018-03-20,NXTUSD,0.1417,0.1565,0.1339,0.1513,715056.0,102992.36
2018-03-19,NXTUSD,0.1317,0.1419,0.1265,0.1417,856754.0,113922.44
2018-03-18,NXTUSD,0.1303,0.1328,0.1159,0.1317,883684.0,109349.77
2018-03-17,NXTUSD,0.1386,0.1392,0.1288,0.1303,738566.0,98899.13
2018-03-16,NXTUSD,0.1384,0.1435,0.1327,0.1386,712084.0,98988.14
2018-03-15,NXTUSD,0.1434,0.1447,0.1312,0.1384,734333.0,101443.01
2018-03-14,NXTUSD,0.1574,0.1679,0.1421,0.1434,767036.0,119736.98
2018-03-13,NXTUSD,0.159,0.1605,0.1504,0.1574,662733.0,102314.18
2018-03-12,NXTUSD,0.1649,0.1679,0.1522,0.159,704275.0,113988.3
2018-03-11,NXTUSD,0.1544,0.1684,0.1508,0.1649,668964.0,106300.24
2018-03-10,NXTUSD,0.165,0.1692,0.1532,0.1544,660710.0,107948.06
2018-03-09,NXTUSD,0.1734,0.1766,0.1555,0.165,762359.0,124781.25
2018-03-08,NXTUSD,0.1837,0.1958,0.1718,0.1734,650293.0,118518.36
2018-03-07,NXTUSD,0.1836,0.4147,0.1724,0.1837,1665404.0,370701.12
2018-03-06,NXTUSD,0.1987,0.1987,0.1792,0.1836,646245.0,122977.47
2018-03-05,NXTUSD,0.1999,0.2033,0.1948,0.1987,1096751.0,218800.47
2018-03-04,NXTUSD,0.1999,0.2007,0.1892,0.1999,661911.0,128772.67
2018-03-03,NXTUSD,0.2015,0.2029,0.1961,0.1999,594560.0,118713.53
2018-03-02,NXTUSD,0.2047,0.2073,0.1938,0.2015,649771.0,129345.1
2018-03-01,NXTUSD,0.1911,0.2103,0.1878,0.2047,671546.0,133257.42
2018-02-28,NXTUSD,0.211,0.2161,0.1885,0.1911,643531.0,130436.79
2018-02-27,NXTUSD,0.2113,0.219,0.2077,0.211,553376.0,118256.82
2018-02-26,NXTUSD,0.2124,0.219,0.2019,0.2113,606802.0,128253.27
2018-02-25,NXTUSD,0.2069,0.2196,0.2031,0.2124,474358.0,100067.26
2018-02-24,NXTUSD,0.2145,0.224,0.1997,0.2069,592847.0,124180.31
2018-02-23,NXTUSD,0.2062,0.2309,0.1963,0.2145,665228.0,141506.6
2018-02-22,NXTUSD,0.2302,0.2377,0.2023,0.2062,528521.0,115859.82
2018-02-21,NXTUSD,0.2486,0.2494,0.2201,0.2302,632911.0,147436.73
2018-02-20,NXTUSD,0.2688,0.2715,0.248,0.2486,832436.0,219069.05
2018-02-19,NXTUSD,0.244,0.272,0.2423,0.2688,635761.0,165056.4
2018-02-18,NXTUSD,0.2655,0.274,0.238,0.244,998638.0,252054.16
2018-02-17,NXTUSD,0.253,0.2816,0.2494,0.2655,612974.0,163397.89
2018-02-16,NXTUSD,0.2571,0.2588,0.227,0.253,815882.0,200607.68
2018-02-15,NXTUSD,0.2184,0.2846,0.2085,0.2571,1459042.0,355451.33
2018-02-14,NXTUSD,0.193,0.2193,0.1908,0.2184,880213.0,181007.3
2018-02-13,NXTUSD,0.2008,0.2013,0.1824,0.193,700801.0,134491.65
2018-02-12,NXTUSD,0.1793,0.2015,0.1789,0.2008,763988.0,147233.02
2018-02-11,NXTUSD,0.1942,0.1944,0.1718,0.1793,630499.0,114787.15
2018-02-10,NXTUSD,0.2016,0.2173,0.1798,0.1942,777282.0,154343.55
2018-02-09,NXTUSD,0.1807,0.2066,0.1709,0.2016,1126867.0,208310.36
2018-02-08,NXTUSD,0.1624,0.1913,0.1616,0.1807,1021567.0,183706.18
2018-02-07,NXTUSD,0.1747,0.195,0.1568,0.1624,1038167.0,183078.26
2018-02-06,NXTUSD,0.1572,0.1784,0.1296,0.1747,1129097.0,169719.0
2018-02-05,NXTUSD,0.1992,0.2043,0.1525,0.1572,1196310.0,210970.7
2018-02-04,NXTUSD,0.2278,0.2374,0.1925,0.1992,924335.0,198790.3
2018-02-03,NXTUSD,0.2236,0.2442,0.2,0.2278,828976.0,184002.67
2018-02-02,NXTUSD,0.2362,0.2399,0.1838,0.2236,968255.0,207047.43
2018-02-01,NXTUSD,0.286,0.2924,0.2252,0.2362,951710.0,245399.62
2018-01-31,NXTUSD,0.2836,0.2973,0.2614,0.286,922688.0,260067.33
2018-01-30,NXTUSD,0.3448,0.3462,0.2811,0.2836,829615.0,261112.01
2018-01-29,NXTUSD,0.3382,0.35,0.3171,0.3448,859099.0,284333.25
2018-01-28,NXTUSD,0.3279,0.34,0.3242,0.3382,771777.0,257051.8
2018-01-27,NXTUSD,0.3089,0.33,0.3048,0.3279,851386.0,269249.69
2018-01-26,NXTUSD,0.3235,0.3386,0.2911,0.3089,786026.0,246213.03
2018-01-25,NXTUSD,0.3558,0.3565,0.3064,0.3235,407151.0,136356.77
2018-01-24,NXTUSD,0.3346,0.3575,0.3226,0.3558,923916.0,314821.05
2018-01-23,NXTUSD,0.3802,0.3802,0.3038,0.3346,1568631.0,532929.08
2018-01-22,NXTUSD,0.299,0.4257,0.2976,0.3802,3304618.0,1188868.39
2018-01-21,NXTUSD,0.3492,0.3503,0.2792,0.299,1101449.0,340919.91
