Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume EUR
2019-06-01,LSKEUR,1.85,1.9,1.8,1.85,114.62,209.68
2019-05-31,LSKEUR,1.76,1.85,1.76,1.85,209.61,386.48
2019-05-30,LSKEUR,2.01,2.01,1.75,1.76,1491.18,2716.01
2019-05-29,LSKEUR,1.94,2.01,1.81,2.01,461.72,894.62
2019-05-28,LSKEUR,1.89,1.95,1.89,1.94,628.93,1211.6
2019-05-27,LSKEUR,1.76,1.89,1.76,1.89,202.71,368.15
2019-05-26,LSKEUR,1.89,1.89,1.75,1.76,27.85,48.83
2019-05-25,LSKEUR,1.76,1.9,1.76,1.89,65.51,117.34
2019-05-24,LSKEUR,1.91,1.91,1.76,1.76,34.26,60.53
2019-05-23,LSKEUR,1.69,1.91,1.66,1.91,173.74,298.88
2019-05-22,LSKEUR,1.8,1.99,1.69,1.69,523.08,895.23
2019-05-21,LSKEUR,1.81,1.81,1.8,1.8,78.44,141.19
2019-05-20,LSKEUR,1.92,2.01,1.81,1.81,359.74,689.67
2019-05-19,LSKEUR,1.92,1.92,1.92,1.92,0.0,0.0
2019-05-18,LSKEUR,1.92,1.92,1.92,1.92,0.0,0.0
2019-05-17,LSKEUR,1.95,1.95,1.77,1.92,631.14,1163.69
2019-05-16,LSKEUR,1.99,2.1,1.9,1.95,2180.96,4306.13
2019-05-15,LSKEUR,1.64,1.99,1.64,1.99,423.12,801.76
2019-05-14,LSKEUR,1.72,2.1,1.54,1.64,1739.71,3227.66
2019-05-13,LSKEUR,1.72,1.72,1.53,1.72,20.46,33.89
2019-05-12,LSKEUR,1.7,1.72,1.7,1.72,32.22,55.43
2019-05-11,LSKEUR,1.62,1.7,1.6,1.7,154.33,258.75
2019-05-10,LSKEUR,1.59,1.62,1.58,1.62,492.73,783.56
2019-05-09,LSKEUR,1.55,1.59,1.52,1.59,423.09,655.23
2019-05-08,LSKEUR,1.59,1.59,1.48,1.55,64.11,98.71
2019-05-07,LSKEUR,1.48,1.55,1.48,1.55,6.25,9.69
2019-05-06,LSKEUR,1.67,1.67,1.4,1.48,172.19,253.75
2019-05-05,LSKEUR,1.52,1.67,1.5,1.67,94.12,150.11
2019-05-04,LSKEUR,1.69,1.69,1.52,1.52,31.48,48.16
