Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume AUD
2019-07-03,LTCAUD,170.31,175.8,170,170.59,1164.18,201736.78
2019-07-02,LTCAUD,175.28,178.12,159,170.31,3503.71,582773.83
2019-07-01,LTCAUD,172.04,179.66,162.85,175.28,2666.99,459177.1
2019-06-30,LTCAUD,189.49,193.5,171.01,172.04,5312.82,983158.34
2019-06-29,LTCAUD,171.47,193.8,165.51,189.49,3420.76,609926.61
2019-06-28,LTCAUD,160.56,173.96,160.56,171.47,2819.46,474823.14
2019-06-27,LTCAUD,188.65,192.99,155,160.56,9858.18,1661359.41
2019-06-26,LTCAUD,195.99,198.58,180,188.65,6071.25,1159981.63
2019-06-25,LTCAUD,195.98,198.84,187,195.99,2994.86,579811.21
2019-06-24,LTCAUD,196.4,197.6,190,195.98,2635.34,513054.74
2019-06-23,LTCAUD,201.39,205.99,196.02,196.4,1548.97,311644.6
2019-06-22,LTCAUD,200.81,210.8,199.6,201.39,5538.36,1129955.27
2019-06-21,LTCAUD,197.37,204.5,195.89,200.81,2917.78,583846.8
2019-06-20,LTCAUD,199.03,200,194.2,197.37,1101.64,216918.04
2019-06-19,LTCAUD,195.5,202.86,192.79,199.03,2059.86,409974.19
2019-06-18,LTCAUD,196.01,197.69,187.5,195.5,2871.02,555697.96
2019-06-17,LTCAUD,197.96,198.29,192.13,196.01,1490.4,292033.61
2019-06-16,LTCAUD,200.26,200.26,192.01,197.96,2484.85,487691.23
2019-06-15,LTCAUD,193.38,201.71,193.38,200.26,2954.73,583162.49
2019-06-14,LTCAUD,191,193.93,185,193.38,4530.48,854183.24
2019-06-13,LTCAUD,197.78,198.52,186.18,191,2775.06,536735.43
2019-06-12,LTCAUD,195.99,207,190.26,197.78,5602.35,1115934.11
2019-06-11,LTCAUD,187.77,199.98,182.6,195.99,3897.61,735589.85
2019-06-10,LTCAUD,165.78,187.97,162.78,187.77,4231.75,754786.35
2019-06-09,LTCAUD,171.67,171.86,161.29,165.78,1689.76,280851.51
2019-06-08,LTCAUD,169.5,172.03,163.47,171.67,1506.62,253135.59
2019-06-07,LTCAUD,161.98,173.27,157.51,169.5,3208.98,530649.91
2019-06-06,LTCAUD,149.95,162.06,146.16,161.98,2142.78,324232.92
2019-06-05,LTCAUD,147.08,151.99,145.09,149.95,2341.52,347065.91
2019-06-04,LTCAUD,154.47,154.47,141.53,147.08,4768.47,708077.21
2019-06-03,LTCAUD,166.25,167.99,152,154.47,2745.65,440202.53
2019-06-02,LTCAUD,162.26,168.67,162.26,166.25,681.23,113105.37
2019-06-01,LTCAUD,165.33,167.91,161.75,162.26,1146.93,189858.04
2019-05-31,LTCAUD,158.96,166.5,152.01,165.33,3068.35,484767.24
2019-05-30,LTCAUD,165.8,174.32,151.75,158.96,5464.27,897974.95
2019-05-29,LTCAUD,166.33,171.92,158.75,165.8,2412.26,397975.58
2019-05-28,LTCAUD,169.61,171.4,162.04,166.33,1691.18,282021.22
2019-05-27,LTCAUD,162.64,175.4,160.17,169.61,5935.48,990134.88
2019-05-26,LTCAUD,148.03,165,143.5,162.64,5892.87,913575.41
2019-05-25,LTCAUD,144.96,151.99,143.02,148.03,2453.94,363393.95
2019-05-24,LTCAUD,129.69,149.44,128.41,144.96,5569.7,780137.59
