Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume JPY
2019-07-03,BTCJPY,1172300,1248100,1172300,1225720,876.08,1065437577.77
2019-07-02,BTCJPY,1155225,1183000,1050045,1172300,2286.99,2544191567.73
2019-07-01,BTCJPY,1172975,1220000,1088880,1155225,1977.5,2294741926.04
2019-06-30,BTCJPY,1288375,1317740,1165555,1172975,1309.95,1630770251.26
2019-06-29,BTCJPY,1339525,1341000,1235000,1288375,1319.29,1693706356.58
2019-06-28,BTCJPY,1224635,1345555,1168000,1339525,1883.25,2382694981.99
2019-06-27,BTCJPY,1399535,1440000,1115000,1224635,3059.58,3916744114.88
2019-06-26,BTCJPY,1260020,1488970,1250870,1399535,2746.01,3753030269.75
2019-06-25,BTCJPY,1181000,1265975,1178210,1260020,1783.99,2166460466.79
2019-06-24,BTCJPY,1162785,1188560,1133215,1181000,1240.27,1440571313.35
2019-06-23,BTCJPY,1144470,1197340,1124200,1162785,1340.33,1547437212.98
2019-06-22,BTCJPY,1088000,1198000,1077730,1144470,2366.71,2717551987.78
2019-06-21,BTCJPY,1022715,1088000,1022715,1088000,1331.51,1397920922.57
2019-06-20,BTCJPY,999640,1027220,993995,1022715,1038.22,1044545811.54
2019-06-19,BTCJPY,984405,1000510,980905,999640,758.58,752915398.56
2019-06-18,BTCJPY,1012020,1014290,970050,984405,1228.23,1219820210.87
2019-06-17,BTCJPY,975740,1024995,975740,1012020,1357.57,1362029289.47
2019-06-16,BTCJPY,959270,1019000,954645,975740,2254.22,2228515762.65
2019-06-15,BTCJPY,945120,962780,937000,959270,1107.57,1049073642.36
2019-06-14,BTCJPY,893200,947830,887960,945120,893.44,815455473.78
2019-06-13,BTCJPY,886645,902065,874000,893200,715.78,635668957.78
2019-06-12,BTCJPY,860640,895925,851190,886645,759.11,662494305.01
2019-06-11,BTCJPY,869110,872000,840225,860640,785.41,673270599.4
2019-06-10,BTCJPY,832475,875000,818000,869110,661.95,567024178.78
2019-06-09,BTCJPY,860705,864990,820000,832475,691.28,584859452.74
2019-06-08,BTCJPY,866420,873140,845495,860705,946.37,813572647.77
2019-06-07,BTCJPY,846210,881925,842000,866420,1010.08,871110847.33
2019-06-06,BTCJPY,844220,853000,812035,846210,1102.83,922782664.85
2019-06-05,BTCJPY,833195,860000,821610,844220,1363.99,1150576263.17
2019-06-04,BTCJPY,880010,880875,807995,833195,1488.28,1262095738.72
