Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2019-08-04 08-AM,ETHUSDT,218.19,218.7,218.07,218.34,3112.99,680008.97
2019-08-04 07-AM,ETHUSDT,218.71,218.96,217.91,218.19,4005.88,875132.8
2019-08-04 06-AM,ETHUSDT,218.23,218.94,218.13,218.71,4634.67,1013299.78
2019-08-04 05-AM,ETHUSDT,217.78,218.8,217.06,218.23,6768.03,1476287.18
2019-08-04 04-AM,ETHUSDT,219.26,219.33,216.9,217.78,12510.5,2727778.65
2019-08-04 03-AM,ETHUSDT,220.8,220.9,218,219.26,9404.7,2063469.19
2019-08-04 02-AM,ETHUSDT,222.27,222.31,220.04,220.8,5683.7,1257506.93
2019-08-04 01-AM,ETHUSDT,222.26,222.84,222.06,222.27,2611.81,580677.5
2019-08-04 12-AM,ETHUSDT,222.14,223.34,221.96,222.26,6636.88,1477213.81
2019-08-03 11-PM,ETHUSDT,221.9,222.14,221.44,222.14,1955.15,433732.35
2019-08-03 10-PM,ETHUSDT,221.66,222.4,221.01,221.9,3516.22,779927.85
2019-08-03 09-PM,ETHUSDT,222.13,222.15,221.01,221.66,3974.44,879789.71
2019-08-03 08-PM,ETHUSDT,221.8,222.26,221.43,222.13,3350.39,742974.55
2019-08-03 07-PM,ETHUSDT,222.02,222.5,220.12,221.8,7531.78,1669819.17
2019-08-03 06-PM,ETHUSDT,222.2,223.14,221.75,222.02,4210.49,936350.27
2019-08-03 05-PM,ETHUSDT,221.58,222.75,221.46,222.2,5883.95,1306689.61
2019-08-03 04-PM,ETHUSDT,220.1,222.29,219.44,221.58,8211.85,1818493.65
2019-08-03 03-PM,ETHUSDT,222.72,222.72,218.5,220.1,16442.34,3628171.77
2019-08-03 02-PM,ETHUSDT,222.82,222.99,222.3,222.72,4123.03,917933.27
2019-08-03 01-PM,ETHUSDT,221.94,223.33,221.91,222.82,9291.6,2070280.4
2019-08-03 12-PM,ETHUSDT,222.4,222.53,221,221.94,7992.35,1772833.55
2019-08-03 11-AM,ETHUSDT,222.72,223,222.34,222.4,3635.48,809494.48
2019-08-03 10-AM,ETHUSDT,222.08,223.05,221.64,222.72,5396.94,1200351.96
2019-08-03 09-AM,ETHUSDT,222.22,223.49,220.7,222.08,11153.48,2476084.18
2019-08-03 08-AM,ETHUSDT,223.18,223.37,222.21,222.22,4187.91,932756.52
2019-08-03 07-AM,ETHUSDT,223,223.48,222.53,223.18,6064.65,1351679.19
2019-08-03 06-AM,ETHUSDT,222.1,223,222.1,223,5561.11,1237636.65
2019-08-03 05-AM,ETHUSDT,222.72,222.89,221.72,222.1,9629.12,2139822.39
2019-08-03 04-AM,ETHUSDT,221.73,222.8,221.64,222.72,6952.95,1546049.77
2019-08-03 03-AM,ETHUSDT,223.2,223.32,221.66,221.73,8485.09,1887347.06
2019-08-03 02-AM,ETHUSDT,219.78,224.51,219.16,223.2,22523.36,5019959.1
2019-08-03 01-AM,ETHUSDT,216.87,220.41,216.84,219.78,9124.88,1998627.65
2019-08-03 12-AM,ETHUSDT,217.61,217.88,216.62,216.87,3893.09,845609.5
2019-08-02 11-PM,ETHUSDT,217.41,217.89,216.95,217.61,3252.42,707359.5
2019-08-02 10-PM,ETHUSDT,215.87,217.65,215.7,217.41,3271.91,709720.76
2019-08-02 09-PM,ETHUSDT,215.38,216.51,214.31,215.87,6134.87,1322751.12
2019-08-02 08-PM,ETHUSDT,216.62,216.73,214.63,215.38,7647.87,1647751.48
2019-08-02 07-PM,ETHUSDT,217.2,217.31,216.33,216.62,3247.6,704149.47
2019-08-02 06-PM,ETHUSDT,216.78,217.71,216.55,217.2,7156.89,1554225.37
2019-08-02 05-PM,ETHUSDT,216.7,217.05,216,216.78,10666.99,2309509.95
