Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume JPY
2019-06-30 01-PM,BTCJPY,1255610,1259997,1200000,1209587,694.69,853128753.25
2019-06-30 12-PM,BTCJPY,1252291,1261000,1245616,1255610,253.95,318863764.18
2019-06-30 11-AM,BTCJPY,1254314,1261439,1245710,1252291,416.42,522220879.23
2019-06-30 10-AM,BTCJPY,1280486,1282899,1248350,1254314,658.14,830565983.11
2019-06-30 09-AM,BTCJPY,1282634,1289821,1275000,1280486,211.07,270911510.67
2019-06-30 08-AM,BTCJPY,1275619,1285000,1270500,1282634,308.04,394309653.2
2019-06-30 07-AM,BTCJPY,1295998,1297113,1270000,1275619,620.43,794597950.59
2019-06-30 06-AM,BTCJPY,1301491,1307599,1294000,1295998,333.88,433834972.48
2019-06-30 05-AM,BTCJPY,1309998,1317131,1290000,1301491,541.26,704764908.66
2019-06-30 04-AM,BTCJPY,1315619,1319888,1305123,1309998,289.08,379354187.2
2019-06-30 03-AM,BTCJPY,1310350,1322001,1303500,1315619,417.5,548788276.9
2019-06-30 02-AM,BTCJPY,1311738,1312083,1304000,1310350,240.05,314138302.94
2019-06-30 01-AM,BTCJPY,1312490,1313037,1302703,1311738,303.75,397112952.25
2019-06-30 12-AM,BTCJPY,1290768,1315000,1290768,1312490,396.91,518661038.98
2019-06-29 11-PM,BTCJPY,1307405,1310344,1287360,1290768,351.71,456895723.77
2019-06-29 10-PM,BTCJPY,1297676,1314850,1295583,1307405,290.78,379740630.72
2019-06-29 09-PM,BTCJPY,1315000,1323000,1291030,1297676,391.35,512043730.45
2019-06-29 08-PM,BTCJPY,1289340,1326000,1289300,1315000,381.54,499467522.64
2019-06-29 07-PM,BTCJPY,1296758,1300500,1289300,1289340,180.72,233943928.15
2019-06-29 06-PM,BTCJPY,1297404,1305499,1289270,1296758,280.96,364678091.73
2019-06-29 05-PM,BTCJPY,1282498,1302000,1274596,1297404,255.38,328486844.84
2019-06-29 04-PM,BTCJPY,1290481,1299810,1265984,1282498,536.02,685028447.66
2019-06-29 03-PM,BTCJPY,1292587,1305000,1284333,1290481,442.26,573229733.29
2019-06-29 02-PM,BTCJPY,1298494,1301000,1283700,1292587,431.58,558092981.17
2019-06-29 01-PM,BTCJPY,1304921,1317201,1292000,1298494,622.36,813047544.34
2019-06-29 12-PM,BTCJPY,1295001,1309949,1292906,1304921,613.93,798242289.63
2019-06-29 11-AM,BTCJPY,1281529,1295243,1272500,1295001,499.74,642809497.7
2019-06-29 10-AM,BTCJPY,1262000,1285100,1255099,1281529,442.84,563804917.61
2019-06-29 09-AM,BTCJPY,1267305,1277011,1260999,1262000,474.96,602080536.02
2019-06-29 08-AM,BTCJPY,1285555,1286896,1261500,1267305,469.28,598873225.04
2019-06-29 07-AM,BTCJPY,1281795,1290800,1272054,1285555,449.12,574665808.98
2019-06-29 06-AM,BTCJPY,1257967,1282423,1245398,1281795,731.7,928689132.23
2019-06-29 05-AM,BTCJPY,1267371,1275100,1252660,1257967,509.63,644195720.65
2019-06-29 04-AM,BTCJPY,1252605,1270000,1241052,1267371,557.25,699221161.45
2019-06-29 03-AM,BTCJPY,1277480,1277680,1243040,1252605,670.14,847341435.95
2019-06-29 02-AM,BTCJPY,1298000,1298326,1251581,1277480,1139.81,1450057226.5
2019-06-29 01-AM,BTCJPY,1325670,1338000,1298000,1298000,542.32,718108740.55
2019-06-29 12-AM,BTCJPY,1342710,1344000,1318001,1325670,523.67,697672111.72
2019-06-28 11-PM,BTCJPY,1334903,1347776,1328013,1342710,467.58,626959756.73
2019-06-28 10-PM,BTCJPY,1332809,1337000,1318270,1334903,433.21,575783388.95
2019-06-28 09-PM,BTCJPY,1322717,1341510,1321900,1332809,386.52,515411147.36
2019-06-28 08-PM,BTCJPY,1333225,1341860,1311021,1322717,583.65,774182443.41
2019-06-28 07-PM,BTCJPY,1292139,1337050,1292139,1333225,610.03,806254340.24
2019-06-28 06-PM,BTCJPY,1280397,1295570,1277800,1292139,249.52,321451796.27
2019-06-28 05-PM,BTCJPY,1290527,1292294,1274111,1280397,313.39,401918081.64
2019-06-28 04-PM,BTCJPY,1290084,1297180,1273760,1290527,433.48,557545024.09
2019-06-28 03-PM,BTCJPY,1272000,1299541,1272000,1290084,522.3,672816594.4
2019-06-28 02-PM,BTCJPY,1284597,1285554,1266055,1272000,474.24,605582340.77
2019-06-28 01-PM,BTCJPY,1263057,1285400,1251333,1284597,762.31,967919980.85
2019-06-28 12-PM,BTCJPY,1312748,1313000,1252700,1263057,1127.13,1443484563.38
2019-06-28 11-AM,BTCJPY,1285900,1314000,1275909,1312748,753.38,974664957.82
2019-06-28 10-AM,BTCJPY,1285112,1299000,1268000,1285900,882.0,1132295583.12
2019-06-28 09-AM,BTCJPY,1266001,1292590,1266001,1285112,1471.3,1885648771.52
2019-06-28 08-AM,BTCJPY,1225798,1274152,1224781,1266001,883.04,1103728693.65
2019-06-28 07-AM,BTCJPY,1233260,1255000,1220170,1225798,734.5,908697632.39
2019-06-28 06-AM,BTCJPY,1205446,1245554,1205446,1233260,1212.42,1490601589.11
2019-06-28 05-AM,BTCJPY,1197923,1205446,1170310,1205446,803.67,955831619.08
2019-06-28 04-AM,BTCJPY,1207615,1209940,1180905,1197923,602.2,721478024.74
2019-06-28 03-AM,BTCJPY,1197689,1208409,1170000,1207615,819.48,977326038.0
2019-06-28 02-AM,BTCJPY,1223970,1234998,1193250,1197689,757.98,921246921.22
2019-06-28 01-AM,BTCJPY,1245400,1255555,1220001,1223970,1034.53,1285223944.0
2019-06-28 12-AM,BTCJPY,1221271,1247240,1210000,1245400,881.36,1085166773.07
2019-06-27 11-PM,BTCJPY,1216892,1248879,1202405,1221271,1114.41,1366094238.45
2019-06-27 10-PM,BTCJPY,1161152,1224567,1161031,1216892,1085.33,1299032127.55
2019-06-27 09-PM,BTCJPY,1157992,1173791,1132076,1161152,890.49,1030746465.69
2019-06-27 08-PM,BTCJPY,1178919,1184364,1116043,1157992,1129.44,1297444258.87
2019-06-27 07-PM,BTCJPY,1190925,1191003,1150000,1178919,662.94,774767297.11
2019-06-27 06-PM,BTCJPY,1172662,1197880,1157751,1190925,664.76,784740858.12
2019-06-27 05-PM,BTCJPY,1182000,1185907,1128000,1172662,1710.03,1983814517.41
2019-06-27 04-PM,BTCJPY,1262379,1278150,1178000,1182000,1537.4,1859052309.47
2019-06-27 03-PM,BTCJPY,1289899,1291000,1251769,1262379,811.93,1027841792.3
2019-06-27 02-PM,BTCJPY,1264997,1289899,1235000,1289899,1203.29,1518594126.95
2019-06-27 01-PM,BTCJPY,1276390,1288283,1253333,1264997,1121.22,1423733503.35
2019-06-27 12-PM,BTCJPY,1314000,1324569,1263960,1276390,1155.14,1495794041.94
2019-06-27 11-AM,BTCJPY,1274059,1315000,1273982,1314000,836.54,1087529051.12
2019-06-27 10-AM,BTCJPY,1283000,1308300,1266660,1274059,1139.93,1474012318.64
2019-06-27 09-AM,BTCJPY,1295194,1308306,1230000,1283000,1872.41,2379939174.46
2019-06-27 08-AM,BTCJPY,1352980,1356311,1287700,1295194,1178.39,1557428776.06
2019-06-27 07-AM,BTCJPY,1344028,1362000,1338040,1352980,756.83,1022704932.25
2019-06-27 06-AM,BTCJPY,1390040,1390986,1320030,1344028,1437.24,1945229222.98
2019-06-27 05-AM,BTCJPY,1395000,1396270,1364005,1390040,643.82,888703829.63
2019-06-27 04-AM,BTCJPY,1389091,1418500,1389091,1395000,1014.16,1425048676.19
2019-06-27 03-AM,BTCJPY,1382990,1393700,1360000,1389091,572.26,787997729.92
2019-06-27 02-AM,BTCJPY,1379000,1388550,1351170,1382990,836.12,1146915472.05
2019-06-27 01-AM,BTCJPY,1416688,1430000,1344500,1379000,1248.08,1732283566.7
2019-06-27 12-AM,BTCJPY,1399265,1437999,1382220,1416688,1156.88,1642912066.66
2019-06-26 11-PM,BTCJPY,1345003,1404999,1345003,1399265,1099.37,1521273035.28
2019-06-26 10-PM,BTCJPY,1344878,1360750,1317300,1345003,1085.08,1457137280.84
2019-06-26 09-PM,BTCJPY,1383133,1388000,1275100,1344878,1923.85,2554757040.56
2019-06-26 08-PM,BTCJPY,1494441,1495427,1295000,1383133,1824.27,2547161195.38
2019-06-26 07-PM,BTCJPY,1484823,1495000,1476990,1494441,432.25,642503175.48
2019-06-26 06-PM,BTCJPY,1451103,1494200,1442000,1484823,1070.54,1576839033.89
2019-06-26 05-PM,BTCJPY,1466300,1466300,1419210,1451103,1054.13,1521001541.41
2019-06-26 04-PM,BTCJPY,1382678,1466300,1375799,1466300,1395.05,1980044128.62
2019-06-26 03-PM,BTCJPY,1375000,1385000,1371000,1382678,440.21,607098499.89
2019-06-26 02-PM,BTCJPY,1385174,1388893,1365390,1375000,852.85,1177943463.54
2019-06-26 01-PM,BTCJPY,1380410,1388000,1369570,1385174,1123.11,1549861693.07
2019-06-26 12-PM,BTCJPY,1362654,1382258,1355500,1380410,637.17,870900628.25
2019-06-26 11-AM,BTCJPY,1370000,1371994,1357003,1362654,561.59,766432942.34
2019-06-26 10-AM,BTCJPY,1330000,1370577,1327287,1370000,629.95,850125541.67
2019-06-26 09-AM,BTCJPY,1356978,1356978,1318084,1330000,827.12,1109185146.86
2019-06-26 08-AM,BTCJPY,1343110,1357982,1342000,1356978,740.15,999451937.78
2019-06-26 07-AM,BTCJPY,1374581,1376136,1343000,1343110,713.92,971234327.02
2019-06-26 06-AM,BTCJPY,1345102,1375500,1344350,1374581,937.9,1277292063.54
2019-06-26 05-AM,BTCJPY,1340988,1397030,1339850,1345102,2209.39,3011276116.71
2019-06-26 04-AM,BTCJPY,1318259,1343025,1306620,1340988,1323.05,1751876391.32
2019-06-26 03-AM,BTCJPY,1278601,1319053,1278601,1318259,1256.48,1633439439.27
2019-06-26 02-AM,BTCJPY,1278084,1280500,1268497,1278601,478.15,609410106.85
2019-06-26 01-AM,BTCJPY,1281836,1284187,1270000,1278084,729.49,932560305.13
2019-06-26 12-AM,BTCJPY,1262333,1285800,1252030,1281836,993.13,1262683038.59
2019-06-25 11-PM,BTCJPY,1250761,1264069,1247440,1262333,722.77,907133389.64
2019-06-25 10-PM,BTCJPY,1239227,1253928,1235382,1250761,858.71,1068934561.51
2019-06-25 09-PM,BTCJPY,1218306,1240000,1217900,1239227,541.15,665667299.46
2019-06-25 08-PM,BTCJPY,1218005,1222500,1214909,1218306,157.47,191905514.49
2019-06-25 07-PM,BTCJPY,1219000,1219999,1214320,1218005,84.94,103395727.17
2019-06-25 06-PM,BTCJPY,1215086,1219791,1208880,1219000,158.51,192673713.61
2019-06-25 05-PM,BTCJPY,1214970,1221000,1203673,1215086,393.16,476734773.68
2019-06-25 04-PM,BTCJPY,1214676,1223000,1214156,1214970,309.99,377985609.32
2019-06-25 03-PM,BTCJPY,1208828,1218015,1206256,1214676,301.73,366298884.0
2019-06-25 02-PM,BTCJPY,1210340,1214320,1206250,1208828,338.82,410165172.1
2019-06-25 01-PM,BTCJPY,1201998,1210850,1199270,1210340,485.7,585073057.65
2019-06-25 12-PM,BTCJPY,1220145,1222777,1190826,1201998,1018.06,1225132740.95
2019-06-25 11-AM,BTCJPY,1219000,1225142,1212000,1220145,629.88,768095270.88
2019-06-25 10-AM,BTCJPY,1213000,1221543,1207501,1219000,510.21,619752173.94
2019-06-25 09-AM,BTCJPY,1209155,1213500,1204946,1213000,338.69,409804432.93
2019-06-25 08-AM,BTCJPY,1214446,1215800,1204250,1209155,380.03,460325347.51
