Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume STR,Volume ATBTC
2019-07-03 10-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 09-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 08-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 07-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 06-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 05-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 04-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 03-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 02-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 01-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-03 12-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 11-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 10-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 09-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 08-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 07-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 06-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 05-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 04-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 03-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 02-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 01-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 12-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 11-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 10-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 09-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 08-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 07-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 06-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 05-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 04-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 03-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 02-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 01-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-02 12-AM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-01 11-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-01 10-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-01 09-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-01 08-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-01 07-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-01 06-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-01 05-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
2019-07-01 04-PM,STRATBTC,0.0003891,0.0003891,0.0003891,0.0003891,0.0,0.0
