Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume NGN
2019-07-03,BTCNGN,3863999,4219900,3863999,4017581,47.2,192796690.25
2019-07-02,BTCNGN,3849999,3977700,3460003,3863999,108.7,402138922.16
2019-07-01,BTCNGN,4080730,4175000,3600001,3849999,113.42,441769021.37
2019-06-30,BTCNGN,4375998,4399970,3980000,4080730,56.99,240617755.34
2019-06-29,BTCNGN,4477999,4478000,4205000,4375998,43.68,190516864.86
2019-06-28,BTCNGN,4100124,4492900,4025122,4477999,97.05,419322964.1
2019-06-27,BTCNGN,4900001,5050000,3755757,4100124,178.39,768157033.82
2019-06-26,BTCNGN,4219990,5099000,4219989,4900001,173.06,816324179.15
2019-06-25,BTCNGN,3976000,4220000,3976000,4219990,74.14,302443095.42
2019-06-24,BTCNGN,3905100,3980000,3826000,3976000,69.3,271877850.76
2019-06-23,BTCNGN,3857900,4020854,3753010,3905100,53.16,207101588.91
2019-06-22,BTCNGN,3600300,4049500,3600299,3857900,132.47,513065690.7
2019-06-21,BTCNGN,3413068,3600300,3413068,3600300,92.72,324384134.09
2019-06-20,BTCNGN,3300000,3421000,3299999,3413068,69.22,231177585.63
2019-06-19,BTCNGN,3246999,3300000,3246999,3300000,45.93,150599169.94
2019-06-18,BTCNGN,3311090,3330000,3215099,3246999,48.52,158992049.99
2019-06-17,BTCNGN,3197907,3360000,3179901,3311090,75.7,248011846.89
2019-06-16,BTCNGN,3121000,3293991,3120999,3197907,84.55,270800074.23
2019-06-15,BTCNGN,3096997,3135000,3075000,3121000,43.77,136092361.32
2019-06-14,BTCNGN,2944999,3096998,2944999,3096997,57.78,172775489.56
2019-06-13,BTCNGN,2884000,2979998,2883999,2944999,54.12,157710033.62
2019-06-12,BTCNGN,2857999,2920399,2837014,2884000,49.99,143629920.63
2019-06-11,BTCNGN,2882997,2888584,2810899,2857999,47.5,135331128.57
2019-06-10,BTCNGN,2814000,2884999,2756009,2882997,54.28,153623949.31
2019-06-09,BTCNGN,2869500,2870000,2788003,2814000,25.26,71620197.32
2019-06-08,BTCNGN,2865416,2974000,2846301,2869500,27.03,77624034.47
2019-06-07,BTCNGN,2775999,3085000,2775999,2865416,71.56,205373694.98
2019-06-06,BTCNGN,2795001,2840000,2705000,2775999,65.0,181347310.76
2019-06-05,BTCNGN,2790000,2900000,2750019,2795001,49.86,140657244.31
2019-06-04,BTCNGN,3030001,3030001,2660007,2790000,85.52,244728770.6
2019-06-03,BTCNGN,3132998,3132999,3030000,3030001,59.92,185165955.34
2019-06-02,BTCNGN,3078799,3148000,3073012,3132998,37.8,117716954.59
2019-06-01,BTCNGN,3070189,3089000,3030000,3078799,39.42,121288129.8
2019-05-31,BTCNGN,3017826,3136307,3005002,3070189,48.6,148337990.87
2019-05-30,BTCNGN,3112657,3209999,3005002,3017826,94.93,295695757.93
2019-05-29,BTCNGN,3130350,3139990,3070999,3112657,49.41,153976980.93
2019-05-28,BTCNGN,3149571,3150000,3115002,3130350,42.76,134098245.25
2019-05-27,BTCNGN,3024219,3198009,3024219,3149571,106.24,329168570.84
2019-05-26,BTCNGN,2865950,3080000,2852997,3024219,73.1,216194734.27
2019-05-25,BTCNGN,2845000,2882011,2826009,2865950,32.47,92899503.57
2019-05-24,BTCNGN,2845458,2882011,2820002,2845000,54.1,154706870.53
2019-05-23,BTCNGN,2805110,2870000,2700000,2845458,60.35,168879847.96
2019-05-22,BTCNGN,2861001,2879000,2781899,2805110,52.5,149951022.05
2019-05-21,BTCNGN,2844241,2880000,2820005,2861001,60.37,172935554.91
2019-05-20,BTCNGN,2916160,2916161,2768998,2844241,69.47,197835054.08
2019-05-19,BTCNGN,2630000,2943001,2629999,2916160,66.81,190084617.03
2019-05-18,BTCNGN,2625000,2700000,2589189,2630000,38.61,102165498.08
2019-05-17,BTCNGN,2862755,2885900,2450100,2625000,154.57,404737508.99
2019-05-16,BTCNGN,2949999,2995354,2851609,2862755,91.57,267715922.59
2019-05-15,BTCNGN,2921900,2964200,2900001,2949999,70.6,207028916.11
2019-05-14,BTCNGN,2879000,2999900,2817000,2921900,118.07,344358815.67
2019-05-13,BTCNGN,2540001,2920222,2506000,2879000,133.76,365007847.08
2019-05-12,BTCNGN,2621999,2770000,2325000,2540001,132.85,344832514.87
2019-05-11,BTCNGN,2310999,2680000,2310011,2621999,77.77,192740254.08
2019-05-10,BTCNGN,2239000,2330026,2190000,2310999,82.29,188044033.91
2019-05-09,BTCNGN,2135789,2276951,2135788,2239000,105.06,230409814.76
2019-05-08,BTCNGN,2110000,2149990,2081630,2135789,76.62,162494450.64
2019-05-07,BTCNGN,2039969,2113005,2039969,2113004,51.95,107908338.52
2019-05-06,BTCNGN,2050554,2050555,2010010,2039969,70.4,143269501.24
2019-05-05,BTCNGN,2039999,2050555,2030009,2050554,57.82,118187357.0
2019-05-04,BTCNGN,2000286,2040000,2000000,2039999,47.7,96241785.76
2019-05-03,BTCNGN,1930553,2045999,1920153,2000286,88.91,177370894.27
2019-05-02,BTCNGN,1899999,1935789,1899999,1930553,84.86,162622502.95
2019-05-01,BTCNGN,1893899,1910000,1891229,1899999,51.01,96900971.23
2019-04-30,BTCNGN,1880000,1900000,1860010,1893899,56.76,106669272.99
2019-04-29,BTCNGN,1909999,1910000,1880000,1880000,71.88,136380717.11
2019-04-28,BTCNGN,1900106,1910000,1893160,1909999,35.58,67731043.89
2019-04-27,BTCNGN,1886761,1910000,1886760,1900106,25.23,47791738.01
2019-04-26,BTCNGN,1910900,1948900,1880000,1886761,89.15,170271137.06
2019-04-25,BTCNGN,1980969,1999999,1890180,1910900,73.42,144818419.02
2019-04-24,BTCNGN,2010500,2021000,1951001,1980969,76.43,152467464.93
2019-04-23,BTCNGN,1933099,2045760,1933098,2010500,89.06,177843334.67
2019-04-22,BTCNGN,1916040,1934996,1909925,1933099,39.32,75601914.82
2019-04-21,BTCNGN,1918000,1919520,1908006,1916040,19.58,37469171.32
2019-04-20,BTCNGN,1902180,1938001,1902179,1918000,28.85,55276910.47
2019-04-19,BTCNGN,1898282,1910000,1890670,1902180,47.15,89460943.3
2019-04-18,BTCNGN,1885999,1900000,1878111,1898282,66.17,125290322.71
2019-04-17,BTCNGN,1873000,1890000,1872999,1885999,63.0,118746783.39
2019-04-16,BTCNGN,1839999,1873000,1835219,1873000,75.65,140425987.4
2019-04-15,BTCNGN,1856000,1870000,1835000,1839999,78.43,145969217.67
2019-04-14,BTCNGN,1835299,1863999,1832461,1856000,29.21,53746207.08
2019-04-13,BTCNGN,1829071,1845000,1829070,1835299,31.5,57905185.08
2019-04-12,BTCNGN,1841180,1849999,1810009,1829071,74.21,135678678.79
2019-04-11,BTCNGN,1916704,1926860,1824000,1841180,77.94,145656767.6
2019-04-10,BTCNGN,1893401,1949988,1887160,1916704,84.09,160404366.32
2019-04-09,BTCNGN,1918389,1918390,1885000,1893401,67.36,127728833.07
2019-04-08,BTCNGN,1879999,1935901,1879999,1918389,110.53,210400240.45
2019-04-07,BTCNGN,1829612,1880000,1829611,1879999,51.03,95219302.38
2019-04-06,BTCNGN,1810188,1896780,1804298,1829612,48.68,88910093.25
2019-04-05,BTCNGN,1774202,1840000,1774202,1810188,80.89,145615590.28
2019-04-04,BTCNGN,1804002,1849000,1750002,1774202,114.35,206220107.32
2019-04-03,BTCNGN,1755999,1939840,1755999,1804002,147.26,268205447.09
2019-04-02,BTCNGN,1502730,1800000,1502729,1755999,165.12,276917887.9
2019-04-01,BTCNGN,1480001,1507530,1480000,1502730,103.03,154052591.32
2019-03-31,BTCNGN,1474569,1480001,1474569,1480001,39.64,58656783.97
2019-03-30,BTCNGN,1474699,1485000,1470005,1474569,65.47,96671341.62
2019-03-29,BTCNGN,1452231,1485000,1452231,1474699,75.85,111181546.4
2019-03-28,BTCNGN,1450554,1459000,1445065,1452231,80.72,117130816.73
2019-03-27,BTCNGN,1425999,1450555,1425599,1450554,95.8,138427804.58
2019-03-26,BTCNGN,1429239,1432985,1424500,1425999,79.27,113253895.57
2019-03-25,BTCNGN,1446001,1454000,1420649,1429239,100.17,144842208.81
2019-03-24,BTCNGN,1444262,1450000,1444262,1446001,30.86,44670657.56
2019-03-23,BTCNGN,1442962,1448980,1442133,1444262,34.53,49927404.29
2019-03-22,BTCNGN,1444990,1455000,1440091,1442962,74.45,107591396.14
2019-03-21,BTCNGN,1455298,1465999,1437002,1444990,84.87,123288926.26
2019-03-20,BTCNGN,1441100,1459999,1436788,1455298,105.68,152732910.48
2019-03-19,BTCNGN,1430999,1443996,1430999,1441100,87.01,125072574.75
2019-03-18,BTCNGN,1430000,1449000,1425004,1430999,97.67,139919904.73
2019-03-17,BTCNGN,1425879,1431999,1416000,1430000,58.31,83095672.37
2019-03-16,BTCNGN,1401438,1449790,1401438,1425879,60.42,86410136.69
2019-03-15,BTCNGN,1389499,1407999,1389499,1401438,103.7,144941199.06
2019-03-14,BTCNGN,1387378,1394700,1385000,1389499,95.25,132403011.4
2019-03-13,BTCNGN,1392714,1394800,1383288,1387378,85.56,118858017.62
2019-03-12,BTCNGN,1386000,1396000,1373240,1392714,88.95,123468537.61
2019-03-11,BTCNGN,1399996,1400000,1385200,1386000,92.69,129046219.37
2019-03-10,BTCNGN,1394301,1401000,1390655,1399996,34.5,48170602.5
2019-03-09,BTCNGN,1389800,1405000,1376505,1394301,52.1,72644179.62
2019-03-08,BTCNGN,1385999,1400000,1371009,1389800,90.49,125791991.28
2019-03-07,BTCNGN,1371085,1399888,1370003,1385999,84.12,116282107.08
2019-03-06,BTCNGN,1366090,1381899,1364499,1371085,88.87,121813674.32
2019-03-05,BTCNGN,1318308,1370000,1317949,1366090,117.91,158345285.53
2019-03-04,BTCNGN,1345725,1352014,1300300,1318308,89.77,118955705.55
2019-03-03,BTCNGN,1352003,1358797,1345357,1345725,46.48,62853888.2
2019-03-02,BTCNGN,1357751,1359999,1350002,1352003,45.76,61990284.18
2019-03-01,BTCNGN,1360001,1364826,1355000,1357751,92.5,125695493.18
2019-02-28,BTCNGN,1354110,1370000,1354110,1360001,96.45,131514308.32
2019-02-27,BTCNGN,1351837,1364980,1340000,1354110,89.43,121157704.78
2019-02-26,BTCNGN,1351200,1365000,1351200,1351837,75.22,101891413.06
2019-02-25,BTCNGN,1350001,1377000,1340100,1351200,75.95,102727108.9
2019-02-24,BTCNGN,1450999,1469819,1330001,1350001,114.84,160042984.63
2019-02-23,BTCNGN,1408000,1474000,1390909,1450999,83.24,118582453.49
2019-02-22,BTCNGN,1399015,1420050,1380000,1408000,98.37,137751825.71
2019-02-21,BTCNGN,1405000,1409999,1395850,1399015,72.07,101248192.53
